Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,0,0,=AVERAGE(L2:R2),
1.5,57.232,39.984,28.56,28.56,28.56,28.56,28.56,240.016,16.1833,10.8819,57225,75521,73912,74414,75068,75622,76165,=AVERAGE(L3:R3),
1.6,230.16,241.92,253.456,246.064,247.632,236.992,223.552,1679.78,16.1833,10.8819,8599,9170,12653,13179,13240,13841,14267,=AVERAGE(L4:R4),
1.7,254.24,250.32,245.392,247.632,243.152,252.896,257.488,1751.12,16.1833,10.8819,8404,8885,8847,8986,8482,8724,8960,=AVERAGE(L5:R5),
1.8,248.416,249.76,258.496,249.648,252.112,244.16,244.832,1747.42,16.1833,10.8819,8554,8795,8739,8671,8865,8667,8454,=AVERAGE(L6:R6),
1.9,250.32,251.552,239.904,248.64,244.72,258.608,254.8,1748.54,16.1833,10.8819,8458,8871,9098,8935,8829,8406,8944,=AVERAGE(L7:R7),
2,253.232,242.704,249.76,249.088,253.904,249.76,243.712,1742.16,16.3097,11.7277,8719,8623,8883,8935,8785,8233,8764,=AVERAGE(L8:R8),
2.1,252.56,256.928,250.32,254.24,245.28,244.272,243.824,1747.42,15.9825,13.4636,8459,8659,8813,8833,8639,8826,9076,=AVERAGE(L9:R9),
2.2,249.2,250.544,248.752,247.632,253.456,248.08,246.736,1744.4,14.5861,14.9015,8338,8243,8949,8914,8763,8916,8937,=AVERAGE(L10:R10),
2.3,248.08,250.992,253.792,244.384,244.832,253.344,253.68,1749.1,11.792,15.9099,8631,8639,8624,8660,8869,8781,8567,=AVERAGE(L11:R11),
2.4,215.152,217.28,207.872,219.52,214.592,222.992,222.992,1520.4,6.59847,16.3159,8414,8803,8723,8900,8860,8912,8537,=AVERAGE(L12:R12),
2.5,0,0,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,0,0,=AVERAGE(L13:R13),
2.6,197.792,181.328,186.816,184.24,194.656,165.312,167.888,1278.03,16.9446,6.35785,29328,32860,31370,32192,30173,35683,34995,=AVERAGE(L14:R14),
2.7,169.344,127.792,151.312,132.048,146.16,146.496,159.936,1033.09,18.0955,6.87199,19445,25925,22440,25738,23269,23734,20979,=AVERAGE(L15:R15),
2.8,183.792,197.904,200.592,201.488,188.72,183.904,192.08,1348.48,6.77771,18.126,8787,8975,8826,8860,8900,8863,8818,=AVERAGE(L16:R16),
2.9,162.736,145.264,142.352,133.28,157.696,153.104,150.08,1044.51,6.39803,16.9157,21288,24042,24633,26045,21920,22633,22845,=AVERAGE(L17:R17),
3,203.616,198.464,199.36,201.264,215.6,215.04,212.128,1445.47,13.7425,6.74601,8741,8733,8877,8862,8893,8480,8855,=AVERAGE(L18:R18),
3.1,0,0,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,0,0,=AVERAGE(L19:R19),
3.2,254.464,248.304,241.136,233.632,226.688,217.616,227.472,1649.31,13.8149,15.774,25662,26242,26875,27945,28569,29815,28548,=AVERAGE(L20:R20),
3.3,246.624,251.44,248.752,250.768,247.408,251.664,252.224,1748.88,12.0224,16.3173,8631,8486,8653,8666,8603,8475,8387,=AVERAGE(L21:R21),
3.4,250.208,248.864,257.712,249.984,246.288,251.664,249.312,1754.03,11.8397,16.315,8802,8821,8422,8779,8738,8763,8802,=AVERAGE(L22:R22),
3.5,259.952,248.416,244.944,249.424,249.984,250.768,250.208,1753.7,11.6551,16.3046,8276,8753,9084,8869,8730,8703,8841,=AVERAGE(L23:R23),
3.6,243.6,250.768,255.024,255.808,249.536,250.768,252.112,1757.62,11.4684,16.2864,8590,8763,8663,8627,8530,8503,8470,=AVERAGE(L24:R24),
3.7,250.544,245.504,243.712,245.952,239.456,252.672,244.944,1722.78,11.28,16.2605,8931,8614,8847,8763,8443,8498,8730,=AVERAGE(L25:R25),
3.8,256.256,253.456,245.728,235.984,256.256,241.808,246.512,1736,11.2554,16.2566,8634,8636,8480,8049,8669,8457,8628,=AVERAGE(L26:R26),
3.9,237.328,242.256,246.4,260.96,233.632,254.352,250.768,1725.7,11.2554,16.2566,8487,8354,8568,8680,8587,8801,8480,=AVERAGE(L27:R27),
4,248.416,246.736,259.84,241.696,262.08,249.984,247.408,1756.16,11.2554,16.2566,8578,8161,8475,8220,9030,8310,8505,=AVERAGE(L28:R28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(I7:I28)
