Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,14.394,15.0139,0,0,0,=AVERAGE(H2:J2),
1.5,57.232,42.224,28.56,128.016,14.394,15.0139,57075,73334,73939,=AVERAGE(H3:J3),
1.6,280.896,287.504,295.904,864.304,14.394,15.0139,5779,6338,9622,=AVERAGE(H4:J4),
1.7,295.68,297.36,296.016,889.056,14.394,15.0139,5568,5544,5562,=AVERAGE(H5:J5),
1.8,296.576,299.376,298.368,894.32,14.394,15.0139,5535,5518,5530,=AVERAGE(H6:J6),
1.9,296.576,298.48,296.912,891.968,14.394,15.0139,5550,5535,5545,=AVERAGE(H7:J7),
2,296.688,297.472,296.912,891.072,14.2957,15.0676,5552,5541,5556,=AVERAGE(H8:J8),
2.1,297.36,298.704,297.696,893.76,14.0655,15.1842,5538,5518,5526,=AVERAGE(H9:J9),
2.2,297.696,296.576,297.248,891.52,13.8206,15.2962,5524,5552,5538,=AVERAGE(H10:J10),
2.3,298.48,295.904,299.376,893.76,13.5605,15.4034,5526,5544,5515,=AVERAGE(H11:J11),
2.4,297.808,296.576,295.792,890.176,13.2848,15.5056,5541,5547,5546,=AVERAGE(H12:J12),
2.5,297.696,296.464,299.152,893.312,12.9932,15.6027,5529,5553,5535,=AVERAGE(H13:J13),
2.6,296.576,296.352,299.6,892.528,12.6853,15.6945,5548,5553,5524,=AVERAGE(H14:J14),
2.7,296.464,298.256,296.576,891.296,12.3607,15.7809,5552,5535,5549,=AVERAGE(H15:J15),
2.8,296.576,297.136,296.576,890.288,12.019,15.8615,5536,5533,5538,=AVERAGE(H16:J16),
2.9,298.256,296.688,296.352,891.296,11.6597,15.9363,5540,5541,5559,=AVERAGE(H17:J17),
3,295.792,299.376,297.92,893.088,11.2826,16.0051,5545,5526,5526,=AVERAGE(H18:J18),
