Time [s],User1_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),Avg_latency(µs),
9,300.048,9.60249,14.2682,5072,=AVERAGE(F78:F78),
9.1,299.824,10.0548,13.7442,5144,=AVERAGE(F79:F79),
9.2,300.16,10.4875,13.1958,5065,=AVERAGE(F80:F80),
9.3,299.824,10.9011,12.6236,5061,=AVERAGE(F81:F81),
9.4,300.16,11.2959,12.028,5136,=AVERAGE(F82:F82),
9.5,300.048,11.6724,11.4093,5054,=AVERAGE(F83:F83),
9.6,299.936,12.0311,10.7681,5050,=AVERAGE(F84:F84),
9.7,299.936,12.3722,10.1049,5128,=AVERAGE(F85:F85),
9.8,299.936,12.6963,9.41996,5043,=AVERAGE(F86:F86),
9.9,300.16,13.0036,8.71391,5123,=AVERAGE(F87:F87),
10,300.048,13.2946,7.98717,5121,=AVERAGE(F88:F88),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(C7:C88)
