Time [s],User1_Tput(Mbps),User2_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),Avg_latency(µs),
1.4,0,0,0,14.394,15.0139,0,0,=AVERAGE(G2:H2),
1.5,57.232,45.136,102.368,14.394,15.0139,57092,70473,=AVERAGE(G3:H3),
1.6,284.592,288.4,572.992,14.394,15.0139,5610,5940,=AVERAGE(G4:H4),
1.7,298.144,298.704,596.848,14.394,15.0139,5379,5378,=AVERAGE(G5:H5),
1.8,298.48,298.032,596.512,14.394,15.0139,5381,5381,=AVERAGE(G6:H6),
1.9,299.264,298.256,597.52,14.394,15.0139,5373,5383,=AVERAGE(G7:H7),
2,299.264,298.48,597.744,14.2957,15.0676,5368,5381,=AVERAGE(G8:H8),
2.1,298.704,299.152,597.856,14.0656,15.1842,5384,5378,=AVERAGE(G9:H9),
2.2,299.264,298.816,598.08,13.8206,15.2962,5363,5378,=AVERAGE(G10:H10),
2.3,299.264,298.144,597.408,13.5605,15.4034,5369,5384,=AVERAGE(G11:H11),
2.4,298.704,298.256,596.96,13.2848,15.5056,5382,5382,=AVERAGE(G12:H12),
2.5,299.376,298.48,597.856,12.9932,15.6027,5368,5386,=AVERAGE(G13:H13),
2.6,298.368,298.592,596.96,12.6853,15.6945,5379,5385,=AVERAGE(G14:H14),
2.7,298.816,298.368,597.184,12.3607,15.7808,5373,5370,=AVERAGE(G15:H15),
2.8,298.032,298.144,596.176,12.019,15.8615,5391,5384,=AVERAGE(G16:H16),
2.9,299.376,298.592,597.968,11.6597,15.9363,5370,5382,=AVERAGE(G17:H17),
3,298.256,298.368,596.624,11.2826,16.0051,5378,5376,=AVERAGE(G18:H18),
3.1,298.928,298.256,597.184,10.8871,16.0676,5383,5390,=AVERAGE(G19:H19),
3.2,298.144,298.592,596.736,10.4728,16.1237,5368,5375,=AVERAGE(G20:H20),
3.3,298.256,298.816,597.072,10.0394,16.1731,5385,5390,=AVERAGE(G21:H21),
3.4,298.704,298.368,597.072,9.58645,16.2156,5379,5381,=AVERAGE(G22:H22),
3.5,297.92,298.032,595.952,9.11346,16.2511,5380,5381,=AVERAGE(G23:H23),
3.6,299.6,298.032,597.632,8.62009,16.2793,5373,5390,=AVERAGE(G24:H24),
3.7,298.144,298.368,596.512,8.10584,16.2999,5390,5387,=AVERAGE(G25:H25),
3.8,299.712,300.272,599.984,7.57031,16.3127,5373,5369,=AVERAGE(G26:H26),
3.9,300.048,298.592,598.64,7.01306,16.3175,5382,5372,=AVERAGE(G27:H27),
4,298.032,299.04,597.072,6.43368,16.3141,5368,5385,=AVERAGE(G28:H28),
4.1,298.816,298.256,597.072,5.83174,16.3021,5387,5376,=AVERAGE(G29:H29),
4.2,0,0.336,0.336,7.23397,13.572,0,5779,=AVERAGE(G30:H30),
4.3,263.76,258.384,522.144,7.32541,13.572,20797,21429,=AVERAGE(G31:H31),
4.4,298.48,297.696,596.176,7.98101,13.297,5386,5383,=AVERAGE(G32:H32),
4.5,298.368,299.824,598.192,8.70792,13.0061,5382,5383,=AVERAGE(G33:H33),
4.6,299.712,298.032,597.744,9.41411,12.6989,5387,5378,=AVERAGE(G34:H34),
4.7,298.032,298.592,596.624,10.0992,12.375,5360,5385,=AVERAGE(G35:H35),
4.8,299.04,299.04,598.08,10.7627,12.034,5375,5366,=AVERAGE(G36:H36),
4.9,298.816,298.816,597.632,11.404,11.6755,5392,5382,=AVERAGE(G37:H37),
5,298.816,298.48,597.296,12.0229,11.2991,5382,5403,=AVERAGE(G38:H38),
5.1,298.256,298.592,596.848,12.6187,10.9044,5374,5361,=AVERAGE(G39:H39),
5.2,298.144,298.032,596.176,13.1911,10.491,5370,5390,=AVERAGE(G40:H40),
5.3,298.704,299.152,597.856,13.7397,10.0585,5370,5391,=AVERAGE(G41:H41),
5.4,298.816,298.816,597.632,14.2639,9.60632,5372,5354,=AVERAGE(G42:H42),
