Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,16.1833,10.8819,0,0,0,=AVERAGE(H2:J2),
1.5,57.232,42.448,28.56,128.24,16.1833,10.8819,57077,73032,73878,=AVERAGE(H3:J3),
1.6,282.8,288.4,294.224,865.424,16.1833,10.8819,5766,6338,9662,=AVERAGE(H4:J4),
1.7,298.032,296.576,299.936,894.544,16.1833,10.8819,5526,5556,5525,=AVERAGE(H5:J5),
1.8,298.256,296.912,295.344,890.512,16.1833,10.8819,5529,5555,5551,=AVERAGE(H6:J6),
1.9,296.576,297.472,298.592,892.64,16.1833,10.8819,5550,5551,5538,=AVERAGE(H7:J7),
2,299.04,296.912,296.688,892.64,16.3097,11.7277,5527,5562,5548,=AVERAGE(H8:J8),
2.1,298.48,297.248,296.352,892.08,15.9825,13.4636,5527,5544,5543,=AVERAGE(H9:J9),
2.2,299.376,297.584,296.8,893.76,14.5862,14.9015,5522,5544,5551,=AVERAGE(H10:J10),
2.3,298.704,299.04,296.576,894.32,11.7921,15.9099,5524,5530,5545,=AVERAGE(H11:J11),
2.4,257.488,258.72,260.288,776.496,6.59847,16.3159,5572,5602,5591,=AVERAGE(H12:J12),
2.5,0,0,0,0,6.87199,13.6971,0,0,0,=AVERAGE(H13:J13),
2.6,172.704,167.216,161.84,501.76,16.9437,6.35754,32495,33838,35103,=AVERAGE(H14:J14),
2.7,194.32,187.824,183.68,565.824,18.0955,6.87199,16906,17607,18206,=AVERAGE(H15:J15),
2.8,224.112,225.232,225.568,674.912,6.77921,18.1254,5583,5566,5577,=AVERAGE(H16:J16),
2.9,197.68,188.272,184.016,569.968,6.39803,16.9157,15935,16988,17531,=AVERAGE(H17:J17),
3,38.304,48.944,43.792,131.04,13.742,6.74737,74917,57584,65254,=AVERAGE(H18:J18),
3.1,0,0,0,0,16.3136,6.39803,0,0,0,=AVERAGE(H19:J19),
3.2,294.336,288.736,283.36,866.432,13.8152,15.7737,19691,20115,20616,=AVERAGE(H20:J20),
3.3,296.24,297.36,296.8,890.4,12.0224,16.3173,5533,5539,5543,=AVERAGE(H21:J21),
3.4,298.816,296.688,297.696,893.2,11.8398,16.315,5526,5557,5542,=AVERAGE(H22:J22),
3.5,299.488,296.8,296.016,892.304,11.6551,16.3046,5511,5556,5546,=AVERAGE(H23:J23),
3.6,297.92,296.128,297.136,891.184,11.4685,16.2864,5547,5564,5557,=AVERAGE(H24:J24),
3.7,297.024,299.376,298.48,894.88,11.28,16.2605,5543,5529,5530,=AVERAGE(H25:J25),
3.8,299.264,299.04,300.048,898.352,11.2554,16.2566,5543,5552,5543,=AVERAGE(H26:J26),
3.9,296.688,298.144,297.024,891.856,11.2554,16.2566,5512,5546,5535,=AVERAGE(H27:J27),
4,299.152,297.472,296.128,892.752,11.2554,16.2566,5531,5542,5538,=AVERAGE(H28:J28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(E7:E28)
