Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),User8_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),User8_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,0,0,=AVERAGE(M2:T2),
1.5,57.232,42,28.56,28.56,28.56,28.56,28.56,28.56,270.592,14.394,15.0139,56993,73386,73862,74253,74954,75537,76075,76639,=AVERAGE(M3:T3),
1.6,210.56,224,236.88,230.048,230.832,218.064,215.264,200.144,1765.79,14.394,15.0139,9738,9802,13755,13994,14519,14875,15485,16138,=AVERAGE(M4:T4),
1.7,217.952,222.432,218.736,230.272,215.152,232.848,214.592,231.168,1783.15,14.394,15.0139,9927,9791,10054,9774,10037,10008,10357,9726,=AVERAGE(M5:T5),
1.8,230.496,231.504,219.968,216.16,221.2,220.192,231.728,226.576,1797.82,14.394,15.0139,9925,9993,10174,10523,10051,10036,10215,9616,=AVERAGE(M6:T6),
1.9,224.336,222.544,227.472,221.2,225.344,224.784,228.032,227.472,1801.18,14.394,15.0139,10319,10249,10103,10437,10253,10437,10228,10394,=AVERAGE(M7:T7),
2,231.392,228.928,231.056,225.568,226.8,228.032,220.976,224.224,1816.98,14.2957,15.0676,9681,9787,9882,10248,10380,9713,9911,9955,=AVERAGE(M8:T8),
2.1,219.408,223.216,229.04,224.112,228.816,222.88,227.808,219.856,1795.14,14.0655,15.1842,10436,10094,9688,10151,9797,9936,9946,10095,=AVERAGE(M9:T9),
2.2,226.24,223.216,225.904,227.136,228.48,226.912,222.208,226.688,1806.78,13.8206,15.2962,10399,9942,10106,10212,10089,10121,9898,9907,=AVERAGE(M10:T10),
2.3,224.224,231.616,219.968,225.568,223.216,218.288,225.904,222.88,1791.66,13.5605,15.4034,10498,9865,10240,10330,9794,10365,9855,10415,=AVERAGE(M11:T11),
2.4,225.568,220.64,227.248,226.128,217.392,228.592,234.864,225.904,1806.34,13.2848,15.5056,9978,10114,10033,10164,10308,9983,10161,10349,=AVERAGE(M12:T12),
2.5,227.808,223.104,221.76,218.736,228.928,227.248,216.832,227.136,1791.55,12.9932,15.6027,9907,10053,10332,9813,9983,10194,9866,9629,=AVERAGE(M13:T13),
2.6,230.272,228.704,225.456,220.64,227.472,220.304,227.248,217.168,1797.26,12.6853,15.6945,10088,9685,10197,9767,10484,10143,9839,10217,=AVERAGE(M14:T14),
2.7,224.224,229.264,220.976,227.136,232.96,224.112,229.936,230.384,1818.99,12.3607,15.7808,9624,10087,10223,9925,9949,10251,9976,10255,=AVERAGE(M15:T15),
2.8,224,224.784,231.616,222.096,215.152,219.52,223.44,226.8,1787.41,12.0189,15.8615,9932,10221,10346,10273,9945,10144,10264,9972,=AVERAGE(M16:T16),
2.9,218.512,223.776,224.56,225.344,225.232,233.072,229.152,229.04,1808.69,11.6597,15.9363,10427,10012,9911,9806,9992,10132,9625,9615,=AVERAGE(M17:T17),
3,227.92,230.496,222.88,230.72,222.208,231.28,219.968,227.584,1813.06,11.2825,16.0051,10048,10006,10221,10070,10131,9879,10389,10000,=AVERAGE(M18:T18),
3.1,228.368,227.024,225.344,221.648,225.792,225.568,228.368,215.824,1797.94,10.8871,16.0676,10255,10321,10086,10140,10209,9936,10271,10564,=AVERAGE(M19:T19),
3.2,224.448,230.72,220.528,229.264,230.384,216.384,230.944,225.456,1808.13,10.4728,16.1237,10602,9852,10354,10323,9448,9944,10395,10348,=AVERAGE(M20:T20),
3.3,229.712,223.776,220.64,229.152,229.376,233.632,224.224,220.08,1810.59,10.0394,16.1731,9815,9629,10316,9600,9857,10030,9937,10195,=AVERAGE(M21:T21),
3.4,223.104,221.872,230.72,219.408,224,219.408,228.704,230.608,1797.82,9.58647,16.2156,9889,9760,9668,9976,9748,9788,9703,10004,=AVERAGE(M22:T22),
3.5,225.12,224,224,227.92,227.584,230.384,222.768,220.304,1802.08,9.11346,16.2511,10193,10189,10121,10322,10197,9871,9942,10161,=AVERAGE(M23:T23),
3.6,214.592,228.368,223.328,219.632,215.936,222.656,232.624,224.896,1782.03,8.62007,16.2793,9652,9991,9996,9878,10076,10009,9958,10007,=AVERAGE(M24:T24),
3.7,230.16,230.608,221.2,218.064,232.848,221.088,224.672,222.88,1801.52,8.10581,16.2999,10345,9833,10238,9979,10408,10143,10168,10305,=AVERAGE(M25:T25),
3.8,223.216,216.272,229.712,230.16,227.808,231.056,213.584,220.864,1792.67,7.57028,16.3127,9516,9675,10148,9571,9672,10074,9779,9678,=AVERAGE(M26:T26),
3.9,241.024,218.624,226.576,220.976,220.64,213.808,234.192,229.264,1805.1,7.01303,16.3175,10069,9940,10121,9849,9852,9776,10271,10075,=AVERAGE(M27:T27),
4,224.448,228.144,216.496,226.688,220.752,237.888,216.384,236.208,1807.01,6.43366,16.3141,9887,9945,9977,9982,9895,10247,10187,9900,=AVERAGE(M28:T28),
4.1,216.16,235.312,231.168,228.144,232.064,213.472,228.144,217.728,1802.19,5.83171,16.3021,9810,9769,10071,9940,9951,9961,9970,9775,=AVERAGE(M29:T29),
4.2,26.544,34.944,36.624,33.488,22.96,37.632,25.76,30.8,248.752,7.23397,13.572,12726,11759,12014,10509,13342,12113,12399,12680,=AVERAGE(M30:T30),
4.3,235.312,221.872,196.336,214.816,240.24,204.4,226.688,223.216,1762.88,7.25002,13.572,22471,24257,27698,25918,22934,26731,23776,23590,=AVERAGE(M31:T31),
4.4,229.712,212.352,224.112,218.064,220.192,217.616,216.384,233.968,1772.4,7.98106,13.297,9792,9971,10157,10178,9995,10251,10063,10060,=AVERAGE(M32:T32),
4.5,228.704,236.768,220.416,221.536,221.088,227.248,225.456,207.648,1788.86,8.72222,13.0061,9905,10116,10073,10457,10376,10402,10502,10206,=AVERAGE(M33:T33),
4.6,219.296,216.496,232.288,228.256,235.536,230.384,224.224,230.384,1816.86,9.41417,12.6989,9979,10181,10290,10227,9880,9805,10129,10029,=AVERAGE(M34:T34),
4.7,228.928,229.04,229.936,214.928,221.424,218.848,227.472,217.728,1788.3,10.0992,12.375,10299,9744,9925,10160,10184,9912,10053,10196,=AVERAGE(M35:T35),
4.8,219.632,230.048,212.352,230.384,228.816,227.248,225.568,230.048,1804.1,10.7627,12.034,9907,9964,9490,10196,10129,10171,9985,10189,=AVERAGE(M36:T36),
4.9,222.208,223.888,231.28,217.616,218.064,231.392,227.808,232.176,1804.43,11.4041,11.6755,10234,9956,10267,10241,10387,10070,10361,10084,=AVERAGE(M37:T37),
5,227.248,221.2,223.776,228.032,229.152,227.248,219.968,222.88,1799.5,12.0229,11.2991,9940,10074,10202,10434,9675,9357,10307,10204,=AVERAGE(M38:T38),
5.1,225.008,229.152,219.856,226.576,219.632,223.216,227.36,224.784,1795.58,12.6187,10.9044,10271,10093,10363,10229,10458,9734,10328,10029,=AVERAGE(M39:T39),
5.2,220.08,225.456,230.608,227.136,221.2,226.8,225.344,223.216,1799.84,13.1911,10.491,9897,9865,10076,10049,10256,9867,10218,9902,=AVERAGE(M40:T40),
5.3,222.096,230.608,217.952,222.88,232.512,228.816,226.352,229.824,1811.04,13.7397,10.0585,10275,9765,10404,9912,9964,9858,9889,9768,=AVERAGE(M41:T41),
5.4,230.496,216.608,231.28,222.096,221.2,224.56,229.152,223.664,1799.06,14.264,9.60632,10043,9895,10036,10207,10109,10171,10112,10180,=AVERAGE(M42:T42),
5.5,212.688,227.584,221.872,227.248,230.944,222.544,220.752,225.456,1789.09,14.7636,9.1342,10075,9933,9758,9801,9835,9539,10047,9919,=AVERAGE(M43:T43),
5.6,226.128,221.872,230.496,233.184,220.192,230.608,220.416,226.912,1809.81,15.2382,8.64168,10083,9797,10097,10124,9989,10030,10007,9960,=AVERAGE(M44:T44),
5.7,230.832,222.768,225.456,220.752,221.2,228.928,224.784,228.928,1803.65,15.6874,8.12834,9904,9509,9635,9675,10335,9908,9489,9967,=AVERAGE(M45:T45),
5.8,226.464,227.024,224.896,223.44,230.16,212.8,229.824,231.392,1806,16.1108,7.59372,9767,9730,9956,9764,10083,10119,10034,9896,=AVERAGE(M46:T46),
5.9,222.544,220.976,215.936,235.088,227.248,226.352,223.888,215.936,1787.97,16.5081,7.03742,9972,10285,10244,9890,9916,9741,10243,10068,=AVERAGE(M47:T47),
6,221.536,229.376,229.264,216.944,221.424,224.336,233.52,226.352,1802.75,16.8791,6.45899,10389,10240,9861,10376,10355,10486,10112,10069,=AVERAGE(M48:T48),
6.1,8.736,10.864,37.632,9.296,37.52,16.128,3.024,38.304,161.504,18.4098,5.80459,10610,9617,50729,10690,48798,10042,10696,49228,=AVERAGE(M49:T49),
6.2,210.224,190.4,171.584,206.528,185.136,188.944,206.528,175.28,1534.62,17.8146,7.67852,28019,30614,22330,28576,21375,31064,28573,22404,=AVERAGE(M50:T50),
6.3,224.336,231.056,221.088,224.896,224.56,223.888,221.088,224.112,1795.02,17.5229,8.41367,10411,10370,10068,10315,10071,9742,10071,10138,=AVERAGE(M51:T51),
6.4,221.536,221.984,227.696,226.576,227.92,229.376,228.48,224.448,1808.02,17.2041,9.12839,9948,10036,10008,10008,10371,10225,9968,10384,=AVERAGE(M52:T52),
6.5,235.312,229.152,225.344,224,220.864,222.992,220.304,229.376,1807.34,16.8582,9.82215,10011,10217,9953,10436,10424,10217,9883,10041,=AVERAGE(M53:T53),
6.6,221.536,223.216,226.576,227.472,224.224,222.096,226.24,228.144,1799.5,16.4858,10.4945,10014,10370,10451,10032,9965,10033,9769,10141,=AVERAGE(M54:T54),
6.7,226.016,227.36,228.368,221.312,229.04,222.656,228.256,223.888,1806.9,16.0869,11.145,9895,10060,10433,10067,9996,10048,10125,10041,=AVERAGE(M55:T55),
6.8,236.32,222.88,227.136,215.152,231.056,227.808,223.328,226.576,1810.26,15.662,11.7731,10095,9909,9649,9684,10216,10285,10227,10118,=AVERAGE(M56:T56),
6.9,212.128,222.32,222.992,223.328,215.712,228.704,231.056,218.624,1774.86,15.2113,12.3783,9807,9606,10203,9735,10356,9954,10325,9895,=AVERAGE(M57:T57),
7,229.152,228.368,216.384,237.104,227.472,219.968,218.064,226.8,1803.31,14.7352,12.9603,9847,10012,10043,10062,10048,10148,9881,10157,=AVERAGE(M58:T58),
7.1,213.696,223.44,232.176,226.464,225.68,228.032,232.176,224.448,1806.11,14.2342,13.5187,10252,9965,9756,9988,10226,10254,10011,10067,=AVERAGE(M59:T59),
7.2,234.304,233.52,218.288,216.272,228.48,224.112,225.792,223.664,1804.43,13.7085,14.0529,9804,9864,10206,10312,10155,10495,10062,10201,=AVERAGE(M60:T60),
7.3,217.168,222.544,224.672,237.664,224.112,221.424,226.688,229.376,1803.65,13.1585,14.5627,10036,9386,10426,10290,9833,10135,9868,10359,=AVERAGE(M61:T61),
7.4,228.704,227.136,230.944,214.48,228.592,222.432,228.256,225.232,1805.78,12.5847,15.0475,10274,9877,9755,10265,9873,10112,9839,9532,=AVERAGE(M62:T62),
7.5,225.232,233.184,222.992,225.232,223.104,232.736,220.752,228.816,1812.05,11.9875,15.5071,10190,10151,9968,10331,10110,10232,10362,10193,=AVERAGE(M63:T63),
7.6,231.504,224.336,221.76,222.992,225.904,226.912,227.136,221.312,1801.86,11.3674,15.9411,9782,10466,10173,10189,10213,9666,9772,10691,=AVERAGE(M64:T64),
7.7,220.528,226.688,228.144,218.96,226.912,218.736,229.264,231.056,1800.29,10.7247,16.3491,10192,9741,10170,10402,10315,10571,9628,9989,=AVERAGE(M65:T65),
7.8,226.8,220.976,230.048,229.712,222.096,227.36,221.648,221.536,1800.18,10.06,16.7309,10250,10247,9735,9869,9605,10149,10355,10236,=AVERAGE(M66:T66),
