Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,=AVERAGE(K2:P2),
1.5,57.232,44.128,28.56,28.56,28.56,28.56,215.6,14.394,15.0139,56979,71380,73784,74508,75059,75649,=AVERAGE(K3:P3),
1.6,259.168,267.68,274.848,265.44,264.32,254.352,1585.81,14.394,15.0139,7580,7865,11579,12061,12087,12503,=AVERAGE(K4:P4),
1.7,275.52,280.56,278.544,280.336,274.4,276.864,1666.22,14.394,15.0139,7503,7312,7521,7413,7395,7474,=AVERAGE(K5:P5),
1.8,275.296,273.728,282.128,274.512,275.184,276.304,1657.15,14.394,15.0139,7655,7582,7379,7563,7483,7667,=AVERAGE(K6:P6),
1.9,275.184,274.848,274.624,273.728,273.952,272.384,1644.72,14.394,15.0139,7589,7640,7555,7691,7693,7701,=AVERAGE(K7:P7),
2,283.024,282.24,278.768,279.664,272.496,276.192,1672.38,14.2957,15.0676,7433,7512,7425,7350,7605,7541,=AVERAGE(K8:P8),
2.1,276.528,272.608,279.776,279.776,276.416,277.872,1662.98,14.0655,15.1842,7548,7586,7516,7362,7537,7465,=AVERAGE(K9:P9),
2.2,277.536,277.088,276.416,276.192,277.088,272.72,1657.04,13.8206,15.2962,7529,7418,7623,7529,7494,7634,=AVERAGE(K10:P10),
2.3,273.392,276.528,274.512,278.544,278.432,280.896,1662.3,13.5605,15.4034,7436,7642,7326,7443,7639,7583,=AVERAGE(K11:P11),
2.4,281.344,277.984,274.064,280.112,275.184,274.96,1663.65,13.2848,15.5056,7492,7483,7644,7575,7615,7546,=AVERAGE(K12:P12),
2.5,274.176,280.56,282.688,273.056,276.192,280.224,1666.9,12.9932,15.6027,7488,7542,7443,7527,7525,7425,=AVERAGE(K13:P13),
2.6,278.768,273.28,271.04,280.896,269.808,277.088,1650.88,12.6853,15.6945,7492,7601,7648,7499,7678,7559,=AVERAGE(K14:P14),
2.7,277.312,277.312,277.536,275.632,276.528,272.16,1656.48,12.3607,15.7808,7250,7385,7592,7396,7560,7633,=AVERAGE(K15:P15),
2.8,275.632,277.536,277.536,278.544,275.856,278.208,1663.31,12.019,15.8615,7588,7402,7562,7549,7373,7469,=AVERAGE(K16:P16),
2.9,280.224,273.952,275.632,273.28,277.2,275.296,1655.58,11.6597,15.9363,7430,7639,7483,7441,7414,7462,=AVERAGE(K17:P17),
3,281.68,281.12,268.352,277.088,273.616,276.752,1658.61,11.2825,16.0051,7566,7368,7726,7416,7681,7703,=AVERAGE(K18:P18),
3.1,275.856,275.632,274.064,273.728,278.208,278.32,1655.81,10.887,16.0676,7610,7473,7552,7663,7461,7457,=AVERAGE(K19:P19),
3.2,277.536,277.2,280.112,276.304,277.872,272.16,1661.18,10.4728,16.1237,7441,7456,7600,7632,7608,7690,=AVERAGE(K20:P20),
3.3,277.088,281.68,279.328,276.752,274.736,278.432,1668.02,10.0394,16.1731,7558,7510,7490,7567,7597,7582,=AVERAGE(K21:P21),
3.4,275.52,271.152,281.344,280.224,275.856,280.112,1664.21,9.58646,16.2156,7495,7672,7363,7508,7493,7380,=AVERAGE(K22:P22),
3.5,282.016,280.784,274.736,276.304,277.648,278.992,1670.48,9.11347,16.2511,7487,7585,7485,7615,7625,7448,=AVERAGE(K23:P23),
3.6,278.656,279.776,279.664,280,279.776,280.56,1678.43,8.62007,16.2793,7488,7493,7561,7573,7597,7608,=AVERAGE(K24:P24),
3.7,279.216,276.752,278.432,278.432,273.28,273.616,1659.73,8.10581,16.2999,7615,7613,7467,7610,7669,7634,=AVERAGE(K25:P25),
3.8,274.4,281.568,270.368,274.512,276.08,274.176,1651.1,7.57031,16.3127,7458,7424,7469,7401,7474,7453,=AVERAGE(K26:P26),
3.9,272.72,275.632,282.24,277.984,272.72,272.16,1653.46,7.01303,16.3175,7361,7313,7682,7475,7317,7370,=AVERAGE(K27:P27),
4,280.896,266.448,270.368,273.056,271.712,286.72,1649.2,6.43365,16.3141,7504,7471,7514,7345,7381,7470,=AVERAGE(K28:P28),
4.1,275.296,276.64,271.712,284.592,277.872,270.032,1656.14,5.8317,16.3021,7462,7531,7560,7473,7630,7416,=AVERAGE(K29:P29),
4.2,19.152,30.688,23.856,16.8,31.472,30.912,152.88,7.23405,13.572,10170,9092,10372,9661,9353,9617,=AVERAGE(K30:P30),
