Time [s],User1_Tput(Mbps),User2_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),Avg_latency(µs),
1.4,0,0,0,14.394,15.0139,0,0,=AVERAGE(G2:H2),
1.5,57.232,42.224,99.456,14.394,15.0139,57445,73267,=AVERAGE(G3:H3),
1.6,283.696,290.304,574,14.394,15.0139,5621,6202,=AVERAGE(G4:H4),
1.7,299.264,298.816,598.08,14.394,15.0139,5368,5383,=AVERAGE(G5:H5),
1.8,299.6,297.92,597.52,14.394,15.0139,5371,5390,=AVERAGE(G6:H6),
1.9,299.376,298.256,597.632,14.394,15.0139,5367,5388,=AVERAGE(G7:H7),
2,298.256,298.928,597.184,14.2957,15.0676,5383,5382,=AVERAGE(G8:H8),
2.1,298.592,299.04,597.632,14.0656,15.1842,5370,5386,=AVERAGE(G9:H9),
2.2,298.256,298.816,597.072,13.8206,15.2962,5381,5386,=AVERAGE(G10:H10),
2.3,299.376,297.696,597.072,13.5605,15.4034,5372,5390,=AVERAGE(G11:H11),
2.4,298.256,297.92,596.176,13.2848,15.5056,5381,5389,=AVERAGE(G12:H12),
2.5,299.6,298.48,598.08,12.9932,15.6027,5367,5385,=AVERAGE(G13:H13),
2.6,298.592,297.92,596.512,12.6853,15.6945,5376,5390,=AVERAGE(G14:H14),
2.7,297.808,299.04,596.848,12.3607,15.7808,5388,5379,=AVERAGE(G15:H15),
2.8,298.144,299.824,597.968,12.019,15.8615,5373,5383,=AVERAGE(G16:H16),
2.9,299.712,298.48,598.192,11.6597,15.9363,5376,5388,=AVERAGE(G17:H17),
3,298.704,297.92,596.624,11.2826,16.0051,5369,5380,=AVERAGE(G18:H18),
3.1,298.368,298.368,596.736,10.887,16.0676,5386,5396,=AVERAGE(G19:H19),
3.2,298.256,298.144,596.4,10.4728,16.1237,5372,5380,=AVERAGE(G20:H20),
3.3,298.704,298.48,597.184,10.0394,16.1731,5372,5378,=AVERAGE(G21:H21),
3.4,298.816,298.48,597.296,9.58647,16.2156,5383,5386,=AVERAGE(G22:H22),
3.5,298.032,298.032,596.064,9.1135,16.2511,5384,5406,=AVERAGE(G23:H23),
3.6,298.816,299.6,598.416,8.62009,16.2793,5375,5378,=AVERAGE(G24:H24),
3.7,298.144,299.376,597.52,8.10584,16.2999,5370,5371,=AVERAGE(G25:H25),
3.8,300.048,299.936,599.984,7.57027,16.3127,5376,5395,=AVERAGE(G26:H26),
3.9,298.48,298.256,596.736,7.01306,16.3175,5382,5377,=AVERAGE(G27:H27),
4,298.368,297.92,596.288,6.43368,16.3141,5371,5389,=AVERAGE(G28:H28),
4.1,299.712,298.48,598.192,5.83174,16.3021,5365,5382,=AVERAGE(G29:H29),
4.2,17.136,17.36,34.496,7.23404,13.572,5766,5333,=AVERAGE(G30:H30),
4.3,301.728,292.544,594.272,7.24949,13.572,16623,17338,=AVERAGE(G31:H31),
4.4,298.928,298.704,597.632,7.98104,13.297,5351,5383,=AVERAGE(G32:H32),
4.5,298.592,299.264,597.856,8.70789,13.0061,5380,5385,=AVERAGE(G33:H33),
4.6,298.48,298.816,597.296,9.41411,12.6989,5388,5390,=AVERAGE(G34:H34),
4.7,298.48,299.6,598.08,10.0992,12.375,5371,5373,=AVERAGE(G35:H35),
4.8,298.704,298.144,596.848,10.7627,12.034,5390,5386,=AVERAGE(G36:H36),
4.9,299.264,298.48,597.744,11.404,11.6755,5349,5376,=AVERAGE(G37:H37),
5,300.048,298.368,598.416,12.0229,11.2991,5377,5402,=AVERAGE(G38:H38),
5.1,298.144,298.48,596.624,12.6187,10.9045,5370,5400,=AVERAGE(G39:H39),
5.2,299.824,298.368,598.192,13.1911,10.491,5374,5363,=AVERAGE(G40:H40),
5.3,298.48,298.48,596.96,13.7397,10.0584,5375,5402,=AVERAGE(G41:H41),
5.4,298.032,299.488,597.52,14.2639,9.60634,5380,5372,=AVERAGE(G42:H42),
5.5,298.144,298.48,596.624,14.7636,9.13424,5389,5377,=AVERAGE(G43:H43),
5.6,298.48,298.48,596.96,15.2382,8.64168,5362,5387,=AVERAGE(G44:H44),
5.7,299.712,298.368,598.08,15.6873,8.12834,5377,5400,=AVERAGE(G45:H45),
5.8,299.376,297.92,597.296,16.1108,7.59376,5351,5373,=AVERAGE(G46:H46),
