Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,=AVERAGE(J2:N2),
1.5,57.232,45.92,28.56,28.56,28.56,188.832,16.1833,10.8819,56994,69196,73918,74374,74978,=AVERAGE(J3:N3),
1.6,272.496,277.872,292.32,285.712,273.504,1401.9,16.1833,10.8819,6584,6911,10358,10610,11097,=AVERAGE(J4:N4),
1.7,291.984,295.344,289.296,293.104,293.552,1463.28,16.1833,10.8819,6395,6378,6383,6402,6405,=AVERAGE(J5:N5),
1.8,294.784,291.424,289.072,289.856,294.448,1459.58,16.1833,10.8819,6354,6465,6446,6442,6379,=AVERAGE(J6:N6),
1.9,289.968,290.192,295.456,292.768,293.44,1461.82,16.1833,10.8819,6427,6435,6432,6423,6413,=AVERAGE(J7:N7),
2,293.888,292.096,290.304,294.112,290.752,1461.15,16.3097,11.7277,6426,6429,6445,6339,6457,=AVERAGE(J8:N8),
2.1,294.224,294,287.392,294.784,289.856,1460.26,15.9825,13.4635,6406,6436,6476,6462,6456,=AVERAGE(J9:N9),
2.2,294.112,294.112,295.68,292.768,290.08,1466.75,14.5862,14.9015,6409,6404,6394,6409,6408,=AVERAGE(J10:N10),
2.3,289.856,291.872,288.4,289.856,292.208,1452.19,11.792,15.9099,6434,6403,6454,6462,6414,=AVERAGE(J11:N11),
2.4,253.232,252.224,249.312,255.248,251.552,1261.57,6.59792,16.3159,6512,6445,6431,6385,6518,=AVERAGE(J12:N12),
2.5,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,=AVERAGE(J13:N13),
2.6,181.776,164.976,178.864,172.256,161.168,859.04,16.9442,6.35766,31062,35343,32413,33797,36418,=AVERAGE(J14:N14),
2.7,187.488,183.12,161.056,178.192,170.8,880.656,18.0955,6.87199,17907,18340,21259,18824,20058,=AVERAGE(J15:N15),
2.8,220.752,227.36,226.8,223.552,224.448,1122.91,6.7776,18.126,6398,6526,6465,6540,6464,=AVERAGE(J16:N16),
2.9,187.936,163.52,170.352,185.472,176.512,883.792,6.39803,16.9157,17517,20306,19453,17625,18710,=AVERAGE(J17:N17),
3,247.296,248.08,249.424,249.872,253.232,1247.9,13.7423,6.74609,6494,6517,6479,6452,6396,=AVERAGE(J18:N18),
3.1,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,=AVERAGE(J19:N19),
3.2,288.96,261.632,268.464,277.76,279.104,1375.92,13.8149,15.7739,20904,23625,22927,22102,21797,=AVERAGE(J20:N20),
3.3,290.192,292.768,294.336,292.88,291.2,1461.38,12.0224,16.3173,6438,6388,6458,6339,6483,=AVERAGE(J21:N21),
3.4,295.008,292.432,287.84,296.352,292.096,1463.73,11.8398,16.315,6324,6410,6412,6319,6395,=AVERAGE(J22:N22),
3.5,295.232,289.856,294.448,293.44,290.976,1463.95,11.6551,16.3046,6366,6417,6379,6366,6443,=AVERAGE(J23:N23),
3.6,293.44,293.216,296.688,292.88,295.456,1471.68,11.4685,16.2864,6416,6396,6356,6406,6360,=AVERAGE(J24:N24),
3.7,297.248,295.008,296.688,294.336,295.232,1478.51,11.28,16.2605,6410,6420,6416,6409,6419,=AVERAGE(J25:N25),
3.8,290.752,296.688,289.072,292.768,295.456,1464.74,11.2554,16.2566,6472,6355,6422,6403,6411,=AVERAGE(J26:N26),
3.9,286.72,294.448,296.24,293.552,287.28,1458.24,11.2554,16.2566,6370,6396,6394,6398,6336,=AVERAGE(J27:N27),
4,285.712,287.616,282.688,288.176,296.24,1440.43,11.2554,16.2566,6420,6351,6386,6337,6423,=AVERAGE(J28:N28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(G7:G28)
