Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,=AVERAGE(J2:N2),
1.5,50.064,52.976,28.56,28.56,28.56,188.72,16.1833,10.8819,64264,61568,73868,74391,74973,=AVERAGE(J3:N3),
1.6,280.784,271.6,285.6,286.608,278.096,1402.69,16.1833,10.8819,6650,6663,10588,10588,10994,=AVERAGE(J4:N4),
1.7,289.632,295.792,291.872,290.864,290.304,1458.46,16.1833,10.8819,6497,6411,6455,6414,6476,=AVERAGE(J5:N5),
1.8,295.344,290.528,292.32,292.88,294.896,1465.97,16.1833,10.8819,6406,6397,6404,6447,6368,=AVERAGE(J6:N6),
1.9,291.76,290.08,291.984,294.672,293.44,1461.94,16.1833,10.8819,6415,6435,6447,6359,6439,=AVERAGE(J7:N7),
2,290.976,292.432,294.784,289.184,289.632,1457.01,16.3097,11.7278,6444,6432,6339,6474,6441,=AVERAGE(J8:N8),
2.1,295.12,289.52,296.688,293.44,292.992,1467.76,15.9825,13.4636,6394,6449,6373,6425,6410,=AVERAGE(J9:N9),
2.2,289.744,291.2,290.192,293.104,290.304,1454.54,14.5862,14.9016,6526,6433,6449,6466,6487,=AVERAGE(J10:N10),
2.3,290.864,292.096,288.176,291.424,292.768,1455.33,11.7922,15.9099,6459,6407,6475,6470,6414,=AVERAGE(J11:N11),
2.4,251.328,257.04,249.536,254.016,255.808,1267.73,6.59817,16.3159,6386,6389,6496,6466,6430,=AVERAGE(J12:N12),
2.5,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,=AVERAGE(J13:N13),
2.6,170.352,149.968,166.096,151.648,158.816,796.88,16.9443,6.3579,33844,39291,35013,38575,36665,=AVERAGE(J14:N14),
2.7,192.192,169.232,169.568,183.008,172.928,886.928,18.0955,6.87199,17470,20628,20204,18519,19565,=AVERAGE(J15:N15),
2.8,181.104,173.152,174.608,165.984,183.568,878.416,6.77756,18.1253,7934,9172,8693,9621,8135,=AVERAGE(J16:N16),
2.9,190.96,167.328,182.224,178.08,173.712,892.304,6.39803,16.9157,17273,20245,18196,18857,19546,=AVERAGE(J17:N17),
3,211.008,199.024,192.64,206.864,205.184,1014.72,13.7425,6.74579,7769,8821,9106,8173,8262,=AVERAGE(J18:N18),
3.1,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,=AVERAGE(J19:N19),
3.2,280,258.72,262.528,270.928,274.288,1346.46,13.8148,15.7737,21704,24029,23731,22715,22513,=AVERAGE(J20:N20),
3.3,288.512,293.776,293.44,291.312,289.744,1456.78,12.0224,16.3173,6456,6382,6388,6453,6443,=AVERAGE(J21:N21),
3.4,294.784,292.88,286.944,291.872,293.44,1459.92,11.8398,16.315,6444,6452,6435,6461,6415,=AVERAGE(J22:N22),
3.5,292.656,291.536,295.904,294.448,292.208,1466.75,11.6551,16.3046,6381,6462,6347,6359,6445,=AVERAGE(J23:N23),
3.6,290.752,291.872,297.36,296.128,291.2,1467.31,11.4685,16.2864,6454,6380,6365,6374,6449,=AVERAGE(J24:N24),
3.7,295.792,297.248,295.12,295.792,295.232,1479.18,11.28,16.2605,6467,6418,6414,6437,6392,=AVERAGE(J25:N25),
3.8,289.072,292.656,296.8,293.328,294.896,1466.75,11.2554,16.2566,6451,6408,6399,6456,6430,=AVERAGE(J26:N26),
3.9,291.76,291.424,287.616,287.616,291.312,1449.73,11.2554,16.2566,6420,6299,6305,6418,6408,=AVERAGE(J27:N27),
4,289.856,290.976,293.44,288.4,285.712,1448.38,11.2554,16.2566,6361,6347,6395,6405,6365,=AVERAGE(J28:N28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(G7:G28)
