Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,14.394,15.0139,0,0,0,0,=AVERAGE(I2:L2),
1.5,57.232,39.872,28.56,28.56,154.224,14.394,15.0139,56951,75647,74003,74368,=AVERAGE(I3:L3),
1.6,277.424,286.496,295.232,285.712,1144.86,14.394,15.0139,6063,6899,9844,10217,=AVERAGE(I4:L4),
1.7,293.888,297.36,297.36,296.128,1184.74,14.394,15.0139,5834,5812,5824,5827,=AVERAGE(I5:L5),
1.8,294.448,296.128,295.344,297.136,1183.06,14.394,15.0139,5841,5821,5827,5802,=AVERAGE(I6:L6),
1.9,295.568,294.112,293.776,297.808,1181.26,14.394,15.0139,5830,5829,5837,5788,=AVERAGE(I7:L7),
2,293.888,294.224,295.456,296.128,1179.7,14.2957,15.0676,5838,5831,5823,5829,=AVERAGE(I8:L8),
2.1,297.808,298.368,295.456,295.008,1186.64,14.0655,15.1842,5799,5785,5805,5834,=AVERAGE(I9:L9),
2.2,293.44,295.568,294.448,296.128,1179.58,13.8206,15.2962,5839,5814,5827,5789,=AVERAGE(I10:L10),
2.3,295.12,297.024,294.56,297.808,1184.51,13.5605,15.4034,5821,5809,5835,5807,=AVERAGE(I11:L11),
2.4,297.248,293.664,294.672,294.896,1180.48,13.2848,15.5056,5788,5830,5815,5827,=AVERAGE(I12:L12),
2.5,294.784,296.352,294.448,293.44,1179.02,12.9932,15.6027,5828,5806,5828,5833,=AVERAGE(I13:L13),
2.6,298.48,294.112,296.464,295.008,1184.06,12.6853,15.6945,5811,5846,5827,5851,=AVERAGE(I14:L14),
2.7,294.336,294.784,294.784,297.024,1180.93,12.3607,15.7808,5844,5826,5825,5827,=AVERAGE(I15:L15),
2.8,294.784,297.248,294.112,293.44,1179.58,12.019,15.8615,5831,5810,5848,5850,=AVERAGE(I16:L16),
2.9,297.472,295.792,293.216,297.584,1184.06,11.6597,15.9363,5838,5827,5843,5814,=AVERAGE(I17:L17),
3,295.456,295.568,294.672,295.568,1181.26,11.2826,16.0051,5816,5820,5826,5824,=AVERAGE(I18:L18),
3.1,295.68,294.112,294.896,295.344,1180.03,10.887,16.0676,5817,5815,5823,5834,=AVERAGE(I19:L19),
3.2,294.112,295.456,294,295.344,1178.91,10.4728,16.1237,5850,5818,5819,5849,=AVERAGE(I20:L20),
3.3,293.328,296.016,296.576,292.432,1178.35,10.0394,16.1731,5852,5852,5819,5840,=AVERAGE(I21:L21),
3.4,295.12,295.792,295.904,298.144,1184.96,9.58647,16.2156,5812,5807,5823,5821,=AVERAGE(I22:L22),
3.5,296.352,293.776,294,294.336,1178.46,9.11346,16.2511,5835,5842,5838,5830,=AVERAGE(I23:L23),
3.6,292.544,292.656,298.368,296.24,1179.81,8.62007,16.2793,5840,5852,5792,5820,=AVERAGE(I24:L24),
3.7,297.808,298.928,297.248,297.248,1191.23,8.10584,16.2999,5847,5816,5824,5836,=AVERAGE(I25:L25),
3.8,297.92,298.256,296.24,298.48,1190.9,7.57029,16.3127,5805,5837,5822,5837,=AVERAGE(I26:L26),
3.9,298.144,292.768,296.016,295.12,1182.05,7.01306,16.3175,5835,5813,5828,5838,=AVERAGE(I27:L27),
4,291.984,294.672,295.344,291.872,1173.87,6.43368,16.3141,5841,5828,5839,5871,=AVERAGE(I28:L28),
4.1,291.088,295.008,285.264,285.04,1156.4,5.83174,16.3021,5807,5821,5736,5748,=AVERAGE(I29:L29),
4.2,20.944,18.928,25.424,26.32,91.616,7.23397,13.572,6585,6224,7141,6829,=AVERAGE(I30:L30),
4.3,297.024,279.664,291.76,284.928,1153.38,7.25009,13.572,17170,18715,17713,18218,=AVERAGE(I31:L31),
4.4,290.752,294.336,294.56,291.2,1170.85,7.98158,13.297,6049,6039,6002,6043,=AVERAGE(I32:L32),
4.5,297.696,292.88,295.792,296.576,1182.94,8.70794,13.0061,5848,5874,5813,5837,=AVERAGE(I33:L33),
4.6,294.224,298.032,294.896,295.344,1182.5,9.41411,12.6989,5848,5776,5845,5838,=AVERAGE(I34:L34),
4.7,296.576,297.472,294.56,294.56,1183.17,10.0992,12.375,5837,5811,5857,5846,=AVERAGE(I35:L35),
4.8,296.464,293.664,294.896,293.664,1178.69,10.7627,12.034,5791,5848,5811,5828,=AVERAGE(I36:L36),
4.9,294.896,293.216,296.576,295.232,1179.92,11.404,11.6755,5841,5836,5836,5852,=AVERAGE(I37:L37),
5,296.912,298.368,296.576,293.888,1185.74,12.0229,11.2991,5805,5806,5828,5841,=AVERAGE(I38:L38),
5.1,296.688,295.232,294.784,293.776,1180.48,12.6187,10.9045,5835,5827,5819,5836,=AVERAGE(I39:L39),
5.2,296.688,294.448,295.904,294.448,1181.49,13.1911,10.491,5799,5823,5819,5836,=AVERAGE(I40:L40),
5.3,293.44,293.104,294.56,296.464,1177.57,13.7397,10.0584,5868,5822,5818,5841,=AVERAGE(I41:L41),
5.4,295.792,298.368,294,293.552,1181.71,14.2639,9.60633,5842,5799,5859,5839,=AVERAGE(I42:L42),
5.5,293.776,295.568,298.032,297.024,1184.4,14.7636,9.13422,5808,5837,5798,5815,=AVERAGE(I43:L43),
5.6,295.904,295.008,293.776,293.44,1178.13,15.2382,8.64169,5823,5806,5838,5856,=AVERAGE(I44:L44),
5.7,294.784,294,297.808,297.472,1184.06,15.6873,8.12837,5834,5856,5817,5795,=AVERAGE(I45:L45),
5.8,295.904,294.784,295.344,293.664,1179.7,16.1108,7.59372,5810,5832,5827,5841,=AVERAGE(I46:L46),
5.9,293.776,297.584,298.48,295.344,1185.18,16.5081,7.03743,5867,5811,5806,5862,=AVERAGE(I47:L47),
6,295.792,293.328,293.328,298.144,1180.59,16.8791,6.459,5848,5866,5860,5799,=AVERAGE(I48:L48),
6.1,19.152,18.032,18.032,17.696,72.912,18.4098,5.80459,5640,5620,5613,5617,=AVERAGE(I49:L49),
6.2,262.752,249.872,248.192,256.032,1016.85,17.8146,7.67851,20228,21672,21988,21049,=AVERAGE(I50:L50),
6.3,291.872,296.8,294.112,288.624,1171.41,17.5229,8.4137,6035,5989,6027,6071,=AVERAGE(I51:L51),
6.4,296.912,292.88,293.328,296.352,1179.47,17.2041,9.12839,6068,6047,6047,6015,=AVERAGE(I52:L52),
6.5,292.208,293.888,295.12,297.024,1178.24,16.8582,9.82263,6037,6025,6027,5990,=AVERAGE(I53:L53),
6.6,294.56,293.664,296.016,294.224,1178.46,16.4858,10.4945,5970,6001,6004,6056,=AVERAGE(I54:L54),
6.7,293.888,293.328,294,296.576,1177.79,16.0869,11.145,6046,6027,5976,5939,=AVERAGE(I55:L55),
6.8,292.544,297.472,294.56,294,1178.58,15.662,11.773,6023,5962,6056,6061,=AVERAGE(I56:L56),
6.9,297.136,292.544,292.656,293.776,1176.11,15.2113,12.3783,6011,6032,6033,5989,=AVERAGE(I57:L57),
7,294.56,295.904,295.232,294.672,1180.37,14.7353,12.9603,6040,6018,6017,6021,=AVERAGE(I58:L58),
7.1,294.224,292.656,292.432,293.104,1172.42,14.2342,13.5187,6022,6047,6047,6053,=AVERAGE(I59:L59),
7.2,293.776,294,297.36,293.216,1178.35,13.7085,14.0529,6003,5976,5982,5980,=AVERAGE(I60:L60),
7.3,292.432,292.88,292.88,294.448,1172.64,13.1585,14.5626,6039,6010,6010,6074,=AVERAGE(I61:L61),
7.4,294,292.096,297.024,294.672,1177.79,12.5848,15.0475,6026,6049,5999,6002,=AVERAGE(I62:L62),
7.5,296.24,295.456,292.656,295.12,1179.47,11.9875,15.5071,5955,5980,5974,5984,=AVERAGE(I63:L63),
