Time [s],User1_Tput(Mbps),User2_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),Avg_latency(µs),
1.4,0,0,0,14.394,15.0139,0,0,=AVERAGE(G2:H2),
1.5,57.232,40.32,97.552,14.394,15.0139,56999,75175,=AVERAGE(G3:H3),
1.6,283.584,293.664,577.248,14.394,15.0139,5620,6320,=AVERAGE(G4:H4),
1.7,299.824,297.696,597.52,14.394,15.0139,5365,5387,=AVERAGE(G5:H5),
1.8,298.592,299.264,597.856,14.394,15.0139,5375,5379,=AVERAGE(G6:H6),
1.9,298.592,297.92,596.512,14.394,15.0139,5379,5389,=AVERAGE(G7:H7),
2,298.256,298.48,596.736,14.2957,15.0676,5380,5391,=AVERAGE(G8:H8),
2.1,298.704,298.144,596.848,14.0655,15.1842,5378,5388,=AVERAGE(G9:H9),
2.2,298.592,298.592,597.184,13.8206,15.2962,5380,5385,=AVERAGE(G10:H10),
2.3,299.264,298.368,597.632,13.5605,15.4034,5371,5387,=AVERAGE(G11:H11),
2.4,299.376,298.032,597.408,13.2848,15.5056,5377,5393,=AVERAGE(G12:H12),
2.5,299.152,298.368,597.52,12.9932,15.6027,5368,5389,=AVERAGE(G13:H13),
2.6,299.824,298.144,597.968,12.6853,15.6945,5362,5387,=AVERAGE(G14:H14),
2.7,298.704,298.928,597.632,12.3607,15.7808,5382,5387,=AVERAGE(G15:H15),
2.8,299.6,298.592,598.192,12.019,15.8615,5368,5376,=AVERAGE(G16:H16),
2.9,298.032,298.592,596.624,11.6597,15.9363,5378,5385,=AVERAGE(G17:H17),
3,299.6,298.48,598.08,11.2826,16.0051,5379,5394,=AVERAGE(G18:H18),
3.1,299.376,298.928,598.304,10.8871,16.0676,5365,5380,=AVERAGE(G19:H19),
3.2,298.592,298.928,597.52,10.4728,16.1237,5365,5379,=AVERAGE(G20:H20),
3.3,298.256,298.256,596.512,10.0394,16.1731,5382,5392,=AVERAGE(G21:H21),
3.4,300.272,299.04,599.312,9.58647,16.2156,5379,5366,=AVERAGE(G22:H22),
3.5,298.704,298.144,596.848,9.11346,16.2511,5358,5403,=AVERAGE(G23:H23),
3.6,298.48,298.592,597.072,8.62009,16.2793,5388,5373,=AVERAGE(G24:H24),
3.7,299.04,298.256,597.296,8.10582,16.2999,5366,5389,=AVERAGE(G25:H25),
3.8,300.272,299.712,599.984,7.57027,16.3127,5393,5393,=AVERAGE(G26:H26),
3.9,298.48,298.704,597.184,7.01304,16.3175,5376,5376,=AVERAGE(G27:H27),
4,37.408,29.232,66.64,6.43368,16.3141,96569,99792,=AVERAGE(G28:H28),
4.1,276.976,279.104,556.08,5.83174,16.3021,5500,8105,=AVERAGE(G29:H29),
4.2,17.36,18.032,35.392,7.23401,13.572,5364,5431,=AVERAGE(G30:H30),
4.3,297.92,292.656,590.576,7.24913,13.572,16821,17271,=AVERAGE(G31:H31),
4.4,298.704,297.92,596.624,7.98105,13.297,5379,5395,=AVERAGE(G32:H32),
4.5,298.816,299.04,597.856,8.70789,13.0061,5372,5362,=AVERAGE(G33:H33),
4.6,297.92,299.6,597.52,9.41411,12.6989,5400,5391,=AVERAGE(G34:H34),
4.7,298.704,298.144,596.848,10.0992,12.375,5385,5394,=AVERAGE(G35:H35),
4.8,298.144,299.04,597.184,10.7627,12.034,5372,5383,=AVERAGE(G36:H36),
4.9,299.6,297.92,597.52,11.4041,11.6755,5372,5372,=AVERAGE(G37:H37),
5,298.144,298.032,596.176,12.0229,11.2991,5367,5404,=AVERAGE(G38:H38),
5.1,298.592,298.368,596.96,12.6187,10.9044,5375,5377,=AVERAGE(G39:H39),
5.2,298.368,298.592,596.96,13.1911,10.491,5387,5388,=AVERAGE(G40:H40),
5.3,298.144,299.264,597.408,13.7397,10.0584,5369,5371,=AVERAGE(G41:H41),
5.4,299.6,297.92,597.52,14.2639,9.60632,5359,5387,=AVERAGE(G42:H42),
5.5,298.48,299.152,597.632,14.7636,9.13423,5382,5379,=AVERAGE(G43:H43),
5.6,298.48,298.368,596.848,15.2382,8.64169,5375,5407,=AVERAGE(G44:H44),
5.7,298.592,298.256,596.848,15.6873,8.12834,5412,5403,=AVERAGE(G45:H45),
5.8,299.264,298.256,597.52,16.1108,7.59376,5332,5361,=AVERAGE(G46:H46),
5.9,298.48,298.48,596.96,16.5081,7.03743,5373,5404,=AVERAGE(G47:H47),
6,299.6,298.144,597.744,16.8791,6.45904,5381,5365,=AVERAGE(G48:H48),
6.1,19.152,18.032,37.184,18.4098,5.80459,5464,5451,=AVERAGE(G49:H49),
6.2,257.936,252.56,510.496,17.8146,7.67848,20522,21230,=AVERAGE(G50:H50),
6.3,298.032,299.488,597.52,17.5229,8.41364,5378,5377,=AVERAGE(G51:H51),
