Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,0,=AVERAGE(K2:P2),
1.5,57.232,41.104,28.56,28.56,28.56,28.56,212.576,16.1833,10.8819,57041,74390,73842,74402,75004,75642,=AVERAGE(K3:P3),
1.6,258.832,267.232,280.448,272.16,259.84,255.472,1593.98,16.1833,10.8819,7484,8181,11296,11601,12370,12506,=AVERAGE(K4:P4),
1.7,277.424,273.952,274.176,273.728,278.432,278.544,1656.26,16.1833,10.8819,7505,7636,7505,7673,7512,7540,=AVERAGE(K5:P5),
1.8,274.96,274.848,279.328,280.896,271.712,279.216,1660.96,16.1833,10.8819,7667,7487,7488,7611,7634,7437,=AVERAGE(K6:P6),
1.9,275.072,276.752,279.44,279.552,277.312,278.432,1666.56,16.1833,10.8819,7626,7620,7500,7400,7493,7473,=AVERAGE(K7:P7),
2,274.736,269.696,276.752,274.848,276.976,274.624,1647.63,16.3097,11.7279,7513,7641,7506,7539,7584,7568,=AVERAGE(K8:P8),
2.1,274.176,276.64,273.504,276.304,273.056,276.976,1650.66,15.9825,13.4636,7754,7404,7568,7506,7536,7739,=AVERAGE(K9:P9),
2.2,279.216,275.296,279.888,275.968,279.104,274.064,1663.54,14.5862,14.9015,7598,7509,7590,7541,7543,7654,=AVERAGE(K10:P10),
2.3,280.672,273.616,273.952,278.096,279.552,280,1665.89,11.7921,15.9099,7536,7460,7588,7558,7474,7490,=AVERAGE(K11:P11),
2.4,242.48,242.368,243.376,243.152,239.792,234.976,1446.14,6.59819,16.3159,7577,7725,7620,7349,7664,7689,=AVERAGE(K12:P12),
2.5,0,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,0,=AVERAGE(K13:P13),
2.6,163.632,142.016,145.376,154.784,161.28,160.608,927.696,16.9444,6.35896,34795,42120,40916,38379,37039,36752,=AVERAGE(K14:P14),
2.7,178.416,163.632,162.848,148.96,155.232,168.672,977.76,18.0955,6.87199,19483,21362,21533,24044,22416,20440,=AVERAGE(K15:P15),
2.8,203.504,213.472,216.832,213.696,207.312,208.544,1263.36,6.77787,18.1259,7509,7545,7614,7511,7546,7540,=AVERAGE(K16:P16),
2.9,182.224,156.016,147.168,162.736,168.112,165.088,981.344,6.39803,16.9157,19038,21879,23395,21322,20423,20679,=AVERAGE(K17:P17),
3,227.136,235.312,233.632,231.952,234.528,236.992,1399.55,13.7426,6.74627,7562,7691,7666,7713,7796,7573,=AVERAGE(K18:P18),
3.1,0,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,0,=AVERAGE(K19:P19),
3.2,279.104,259.392,243.6,258.16,265.44,249.312,1555.01,13.815,15.774,22560,24207,26239,24154,23487,25366,=AVERAGE(K20:P20),
3.3,275.856,276.528,275.52,272.496,282.576,278.208,1661.18,12.0224,16.3173,7427,7656,7685,7637,7587,7404,=AVERAGE(K21:P21),
3.4,277.088,273.168,277.984,278.208,271.488,280.896,1658.83,11.8397,16.315,7604,7598,7434,7589,7652,7544,=AVERAGE(K22:P22),
3.5,277.648,277.984,277.648,277.984,280.672,275.856,1667.79,11.6551,16.3046,7455,7572,7545,7590,7461,7597,=AVERAGE(K23:P23),
3.6,278.432,278.88,279.216,280.672,277.984,279.44,1674.62,11.4685,16.2864,7700,7499,7506,7460,7446,7472,=AVERAGE(K24:P24),
3.7,282.464,282.128,281.568,280,276.304,275.184,1677.65,11.28,16.2605,7567,7578,7533,7648,7506,7535,=AVERAGE(K25:P25),
3.8,268.128,280.448,267.232,276.192,274.624,279.216,1645.84,11.2554,16.2566,7357,7373,7454,7355,7600,7393,=AVERAGE(K26:P26),
3.9,275.296,265.216,284.592,276.528,272.832,271.488,1645.95,11.2554,16.2566,7445,7517,7571,7459,7530,7527,=AVERAGE(K27:P27),
4,282.8,266.784,270.928,266.56,278.768,275.856,1641.7,11.2554,16.2566,7484,7409,7324,7348,7500,7441,=AVERAGE(K28:P28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(H7:H28)
