Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,14.394,15.0139,0,0,0,0,=AVERAGE(I2:L2),
1.5,37.744,57.232,28.56,28.56,152.096,14.394,15.0139,76932,57198,74206,74642,=AVERAGE(I3:L3),
1.6,293.104,278.656,291.872,288.288,1151.92,14.394,15.0139,7170,6045,10015,10105,=AVERAGE(I4:L4),
1.7,294.896,296.688,293.104,298.704,1183.39,14.394,15.0139,5828,5810,5863,5819,=AVERAGE(I5:L5),
1.8,299.04,294,295.792,293.216,1182.05,14.394,15.0139,5791,5851,5824,5819,=AVERAGE(I6:L6),
1.9,294.224,293.888,293.664,297.36,1179.14,14.394,15.0139,5825,5837,5864,5837,=AVERAGE(I7:L7),
2,296.8,297.36,297.92,293.664,1185.74,14.2957,15.0676,5804,5809,5813,5847,=AVERAGE(I8:L8),
2.1,294.336,297.36,294.224,294.784,1180.7,14.0656,15.1842,5847,5801,5855,5832,=AVERAGE(I9:L9),
2.2,294.672,293.552,296.128,298.592,1182.94,13.8206,15.2962,5842,5838,5837,5818,=AVERAGE(I10:L10),
2.3,297.136,294.448,292.992,294.56,1179.14,13.5605,15.4034,5822,5844,5869,5841,=AVERAGE(I11:L11),
2.4,293.328,296.352,296.464,294,1180.14,13.2848,15.5056,5855,5818,5864,5847,=AVERAGE(I12:L12),
2.5,298.032,293.552,295.904,293.552,1181.04,12.9932,15.6027,5824,5836,5843,5869,=AVERAGE(I13:L13),
2.6,296.464,293.888,295.344,297.36,1183.06,12.6853,15.6945,5811,5823,5827,5810,=AVERAGE(I14:L14),
2.7,295.68,294.112,293.104,297.248,1180.14,12.3607,15.7808,5839,5851,5854,5826,=AVERAGE(I15:L15),
2.8,294.448,295.344,293.44,295.68,1178.91,12.019,15.8615,5854,5813,5881,5813,=AVERAGE(I16:L16),
2.9,294.784,296.576,298.48,294.448,1184.29,11.6597,15.9363,5828,5799,5821,5853,=AVERAGE(I17:L17),
3,295.008,296.912,293.664,294.336,1179.92,11.2825,16.0051,5808,5807,5867,5860,=AVERAGE(I18:L18),
3.1,296.128,295.344,295.792,295.344,1182.61,10.8871,16.0676,5840,5818,5838,5829,=AVERAGE(I19:L19),
3.2,297.472,295.008,295.568,294.672,1182.72,10.4728,16.1237,5810,5819,5850,5840,=AVERAGE(I20:L20),
3.3,293.328,293.664,295.232,297.248,1179.47,10.0394,16.1731,5832,5833,5826,5804,=AVERAGE(I21:L21),
3.4,294.112,294.56,296.576,296.128,1181.38,9.58647,16.2156,5825,5809,5833,5841,=AVERAGE(I22:L22),
3.5,295.904,294.448,294.224,295.68,1180.26,9.1135,16.2511,5829,5850,5885,5859,=AVERAGE(I23:L23),
3.6,295.344,294.448,294.336,294.784,1178.91,8.62009,16.2793,5837,5842,5854,5845,=AVERAGE(I24:L24),
3.7,297.92,297.92,296.688,297.36,1189.89,8.10582,16.2999,5816,5846,5874,5844,=AVERAGE(I25:L25),
3.8,298.368,295.904,297.584,297.92,1189.78,7.57028,16.3127,5816,5847,5854,5822,=AVERAGE(I26:L26),
3.9,297.36,294.112,293.328,294.448,1179.25,7.01306,16.3175,5821,5830,5854,5868,=AVERAGE(I27:L27),
4,296.576,292.992,294.896,292.208,1176.67,6.43366,16.3141,5806,5818,5844,5829,=AVERAGE(I28:L28),
4.1,284.032,292.992,291.536,287.504,1156.06,5.83174,16.3021,5750,5810,5829,5786,=AVERAGE(I29:L29),
4.2,27.552,20.384,21.28,29.12,98.336,7.23406,13.572,7065,6216,6261,6780,=AVERAGE(I30:L30),
4.3,302.064,285.488,291.424,279.888,1158.86,7.24955,13.572,16852,18094,17666,18552,=AVERAGE(I31:L31),
4.4,294.224,294.672,292.208,293.776,1174.88,7.98108,13.297,5858,5877,5908,5919,=AVERAGE(I32:L32),
4.5,295.008,296.016,296.352,293.216,1180.59,8.70793,13.0061,6011,5972,6010,6010,=AVERAGE(I33:L33),
4.6,290.864,296.464,293.328,292.208,1172.86,9.41416,12.6989,6055,5989,6051,6055,=AVERAGE(I34:L34),
4.7,296.576,297.92,294.112,296.912,1185.52,10.0992,12.375,6000,5983,6014,6026,=AVERAGE(I35:L35),
4.8,293.776,290.752,297.36,293.776,1175.66,10.7627,12.034,6023,6061,6046,6046,=AVERAGE(I36:L36),
4.9,294,295.568,292.544,293.552,1175.66,11.4044,11.6755,6025,5972,6003,6012,=AVERAGE(I37:L37),
5,296.128,294.56,292.544,295.456,1178.69,12.0229,11.2991,5964,6005,6073,6015,=AVERAGE(I38:L38),
5.1,293.328,294.784,295.232,293.552,1176.9,12.6187,10.9044,6034,6011,6014,6015,=AVERAGE(I39:L39),
5.2,294.672,294.56,295.68,291.2,1176.11,13.1911,10.491,5973,6018,6021,6054,=AVERAGE(I40:L40),
5.3,297.472,290.304,294.336,295.904,1178.02,13.7397,10.0585,5987,6023,6028,6036,=AVERAGE(I41:L41),
5.4,296.016,298.592,293.216,291.088,1178.91,14.264,9.60634,6035,5974,6038,6040,=AVERAGE(I42:L42),
5.5,296.912,293.328,294.784,294.224,1179.25,14.7636,9.1342,5975,6018,6017,6021,=AVERAGE(I43:L43),
5.6,291.312,294.56,293.328,292.656,1171.86,15.2382,8.64168,6024,5998,6031,6035,=AVERAGE(I44:L44),
5.7,295.792,291.76,293.216,297.472,1178.24,15.6873,8.12837,5969,6013,6050,5980,=AVERAGE(I45:L45),
5.8,295.68,292.88,294.224,293.552,1176.34,16.1108,7.59376,6031,6037,6031,6076,=AVERAGE(I46:L46),
5.9,297.472,295.792,293.664,293.552,1180.48,16.5081,7.03742,5972,5980,6011,6015,=AVERAGE(I47:L47),
6,292.768,296.24,296.576,292.432,1178.02,16.8791,6.45902,5990,5961,6039,6037,=AVERAGE(I48:L48),
6.1,21.392,16.8,16.464,18.032,72.688,18.4098,5.80459,5771,6391,5633,5706,=AVERAGE(I49:L49),
6.2,255.248,241.36,251.328,239.456,987.392,17.8145,7.67851,21114,22737,21799,23149,=AVERAGE(I50:L50),
6.3,295.904,293.328,293.888,296.688,1179.81,17.5229,8.41364,5973,5993,6022,5998,=AVERAGE(I51:L51),
6.4,296.016,293.216,290.528,291.536,1171.3,17.204,9.1284,6037,6010,6079,6049,=AVERAGE(I52:L52),
6.5,291.984,293.664,296.688,296.576,1178.91,16.8583,9.82216,6002,6031,5971,6032,=AVERAGE(I53:L53),
6.6,294,292.432,292.544,295.68,1174.66,16.4858,10.4945,6030,6052,6079,6051,=AVERAGE(I54:L54),
6.7,294.56,297.808,294.672,291.872,1178.91,16.0869,11.1449,6007,5940,6059,6016,=AVERAGE(I55:L55),
6.8,294.336,295.68,294.336,294.448,1178.8,15.662,11.773,6034,6009,5983,6047,=AVERAGE(I56:L56),
6.9,295.568,293.888,293.552,292.544,1175.55,15.2113,12.3783,6014,6033,6060,6019,=AVERAGE(I57:L57),
7,293.44,294.672,291.984,296.128,1176.22,14.7352,12.9603,5988,6013,6035,6055,=AVERAGE(I58:L58),
7.1,295.008,296.128,296.128,295.008,1182.27,14.2342,13.5186,6024,5994,6021,6031,=AVERAGE(I59:L59),
7.2,297.136,293.44,291.872,293.104,1175.55,13.7085,14.0529,6008,6021,6046,6061,=AVERAGE(I60:L60),
7.3,290.528,295.12,297.248,293.44,1176.34,13.1585,14.5627,6032,6005,6036,6041,=AVERAGE(I61:L61),
7.4,294.784,293.216,295.568,296.8,1180.37,12.5847,15.0475,6022,5981,6013,5971,=AVERAGE(I62:L62),
