Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,=AVERAGE(J2:N2),
1.5,57.232,41.216,28.56,28.56,28.56,184.128,16.1833,10.8819,57051,74434,74055,74624,75198,=AVERAGE(J3:N3),
1.6,277.536,282.8,287.84,281.12,273.168,1402.46,16.1833,10.8819,6446,7197,10497,10785,11071,=AVERAGE(J4:N4),
1.7,287.504,291.872,293.776,291.536,292.544,1457.23,16.1833,10.8819,6446,6427,6448,6452,6425,=AVERAGE(J5:N5),
1.8,292.88,293.104,289.856,295.344,293.44,1464.62,16.1833,10.8819,6445,6435,6390,6304,6435,=AVERAGE(J6:N6),
1.9,292.096,290.192,293.888,293.328,292.544,1462.05,16.1833,10.8819,6482,6426,6457,6449,6439,=AVERAGE(J7:N7),
2,290.192,291.648,292.992,295.008,293.44,1463.28,16.3097,11.7277,6475,6438,6375,6361,6403,=AVERAGE(J8:N8),
2.1,289.408,291.424,296.24,291.984,289.632,1458.69,15.9825,13.4636,6435,6426,6424,6430,6483,=AVERAGE(J9:N9),
2.2,290.304,290.08,294,293.44,292.432,1460.26,14.5862,14.9015,6444,6496,6422,6461,6448,=AVERAGE(J10:N10),
2.3,294.784,290.64,289.744,293.888,290.864,1459.92,11.7919,15.9099,6383,6401,6387,6376,6404,=AVERAGE(J11:N11),
2.4,257.712,248.416,253.792,250.992,254.688,1265.6,6.59797,16.3159,6502,6535,6406,6510,6401,=AVERAGE(J12:N12),
2.5,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,=AVERAGE(J13:N13),
2.6,177.072,172.48,160.048,157.584,167.776,834.96,16.9444,6.35799,31787,33586,36319,37367,34806,=AVERAGE(J14:N14),
2.7,189.952,177.968,177.072,163.632,168,876.624,18.0955,6.87199,17615,19263,19275,21290,20366,=AVERAGE(J15:N15),
2.8,223.216,223.216,227.472,228.256,227.696,1129.86,6.77921,18.1253,6477,6504,6492,6438,6529,=AVERAGE(J16:N16),
2.9,187.376,180.096,175.952,163.408,167.664,874.496,6.39803,16.9157,17295,18066,18706,20546,19621,=AVERAGE(J17:N17),
3,245.952,249.2,247.52,251.44,246.96,1241.07,13.7424,6.74616,6481,6396,6473,6419,6506,=AVERAGE(J18:N18),
3.1,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,=AVERAGE(J19:N19),
3.2,288.064,280.56,271.824,281.232,267.568,1389.25,13.8148,15.7738,20913,21766,22675,21826,23102,=AVERAGE(J20:N20),
3.3,293.216,292.992,292.208,290.192,287.616,1456.22,12.0224,16.3173,6351,6403,6427,6477,6477,=AVERAGE(J21:N21),
3.4,294.448,291.648,291.536,293.104,291.088,1461.82,11.8397,16.315,6371,6435,6441,6379,6482,=AVERAGE(J22:N22),
3.5,289.408,291.536,291.424,294.224,294.672,1461.26,11.6551,16.3046,6462,6431,6439,6441,6444,=AVERAGE(J23:N23),
3.6,291.76,290.64,292.768,292.544,294.336,1462.05,11.4684,16.2864,6479,6494,6464,6459,6437,=AVERAGE(J24:N24),
3.7,295.12,295.456,296.912,296.464,295.456,1479.41,11.28,16.2605,6459,6451,6379,6467,6422,=AVERAGE(J25:N25),
3.8,290.752,291.088,294.112,289.296,294.896,1460.14,11.2554,16.2566,6451,6396,6337,6457,6320,=AVERAGE(J26:N26),
3.9,290.416,289.856,293.888,287.952,292.32,1454.43,11.2554,16.2566,6358,6370,6382,6421,6365,=AVERAGE(J27:N27),
4,286.384,293.216,286.832,290.304,295.344,1452.08,11.2554,16.2566,6348,6327,6422,6319,6382,=AVERAGE(J28:N28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(G7:G28)
