Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,0,=AVERAGE(L2:R2),
1.5,57.232,39.872,28.56,28.56,28.56,28.56,28.56,239.904,14.394,15.0139,56932,75551,73709,74437,75018,75558,76140,=AVERAGE(L3:R3),
1.6,234.416,243.264,251.552,247.856,247.184,240.8,223.888,1688.96,14.394,15.0139,8455,9491,13025,13434,13397,13967,14708,=AVERAGE(L4:R4),
1.7,249.648,253.904,246.736,256.256,249.536,243.04,253.232,1752.35,14.394,15.0139,8711,8909,8953,8765,8779,8681,8783,=AVERAGE(L5:R5),
1.8,251.552,254.8,255.584,241.248,249.312,251.552,242.816,1746.86,14.394,15.0139,8536,8446,8416,8812,8337,8506,8756,=AVERAGE(L6:R6),
1.9,251.888,252.672,242.816,252.448,248.864,253.344,249.872,1751.9,14.394,15.0139,8850,8690,8444,8442,8567,8802,8626,=AVERAGE(L7:R7),
2,246.96,246.288,254.8,245.616,252.448,249.648,247.52,1743.28,14.2957,15.0676,8598,8425,8593,8663,8485,8569,8655,=AVERAGE(L8:R8),
2.1,247.968,254.128,251.328,251.104,250.208,241.808,249.424,1745.97,14.0655,15.1842,8798,8826,8851,8557,8628,9027,8991,=AVERAGE(L9:R9),
2.2,251.104,252.56,248.08,246.624,247.632,253.12,249.536,1748.66,13.8206,15.2962,8829,8482,8811,8851,8760,8675,8828,=AVERAGE(L10:R10),
2.3,249.648,251.44,248.304,252.896,244.72,253.12,245.056,1745.18,13.5605,15.4034,8780,8757,8833,8488,8789,8855,8827,=AVERAGE(L11:R11),
2.4,252.112,249.088,246.96,249.872,249.76,241.36,251.104,1740.26,13.2848,15.5056,8631,8833,8761,8621,8682,8667,8701,=AVERAGE(L12:R12),
2.5,254.016,242.704,256.368,244.272,249.312,253.904,249.088,1749.66,12.9932,15.6027,8370,9008,8776,8668,8802,8664,8413,=AVERAGE(L13:R13),
2.6,238.112,255.36,239.344,255.248,249.312,241.248,249.76,1728.38,12.6853,15.6945,8806,8627,8696,8609,8590,8793,8714,=AVERAGE(L14:R14),
2.7,250.32,238.448,261.632,251.664,244.384,250.656,248.752,1745.86,12.3607,15.7808,8643,8818,8349,8575,8396,8714,9019,=AVERAGE(L15:R15),
2.8,248.752,261.856,241.696,242.704,260.4,247.632,245.168,1748.21,12.019,15.8615,8719,8379,8703,8645,8498,8886,8619,=AVERAGE(L16:R16),
2.9,247.856,244.496,246.848,253.792,244.944,249.984,245.504,1733.42,11.6597,15.9363,8843,8840,8868,8817,8747,8591,8817,=AVERAGE(L17:R17),
3,253.344,247.072,253.008,248.528,244.72,251.328,255.36,1753.36,11.2826,16.0051,8793,8826,8577,8797,8895,8974,8634,=AVERAGE(L18:R18),
3.1,246.848,247.968,246.736,251.664,256.032,247.632,247.408,1744.29,10.8871,16.0676,8784,8399,8799,8710,8326,8456,8584,=AVERAGE(L19:R19),
3.2,254.688,254.352,247.408,249.984,246.064,253.008,250.88,1756.38,10.4728,16.1237,8489,8413,8754,8762,8465,8407,8606,=AVERAGE(L20:R20),
3.3,249.088,246.176,250.208,257.488,247.184,250.32,251.104,1751.57,10.0394,16.1731,9019,9094,8774,8422,9039,8857,8405,=AVERAGE(L21:R21),
3.4,254.016,249.312,249.872,247.744,246.96,247.296,249.088,1744.29,9.58644,16.2156,8689,8687,8896,8872,8968,8880,8806,=AVERAGE(L22:R22),
3.5,253.232,252.56,248.416,253.008,248.752,251.552,251.44,1758.96,9.11347,16.2511,8681,8968,9006,8456,8874,8634,8885,=AVERAGE(L23:R23),
3.6,252.112,247.744,250.096,250.432,247.968,254.576,249.536,1752.46,8.62006,16.2793,8345,8994,8703,9057,8831,8381,8892,=AVERAGE(L24:R24),
3.7,249.2,240.24,254.352,240.688,243.824,238.112,247.856,1714.27,8.1058,16.2999,8583,8407,8525,8501,8623,8497,8533,=AVERAGE(L25:R25),
3.8,240.352,252.896,243.824,254.464,249.648,246.064,243.936,1731.18,7.57031,16.3127,8239,8353,8564,8408,8329,8710,8469,=AVERAGE(L26:R26),
3.9,262.416,248.192,242.144,244.832,249.424,252.56,254.24,1753.81,7.01302,16.3175,8655,8625,8948,8869,8731,8818,8643,=AVERAGE(L27:R27),
4,238.896,246.176,258.16,246.736,259.056,242.368,258.048,1749.44,6.43365,16.3141,8328,8549,8724,8261,8613,8533,8647,=AVERAGE(L28:R28),
4.1,253.456,254.8,243.936,246.624,240.8,251.44,241.696,1732.75,5.83169,16.3021,8984,8650,8309,8611,8795,8736,8556,=AVERAGE(L29:R29),
4.2,27.216,0,21.168,20.272,23.968,17.584,8.624,118.832,7.23397,13.572,12220,0,10699,10731,11853,10292,12963,=AVERAGE(L30:R30),
4.3,262.528,256.704,228.928,239.68,224.672,243.712,245.392,1701.62,7.25017,13.572,20152,22650,24662,23478,24605,23084,23064,=AVERAGE(L31:R31),
4.4,245.168,240.464,248.304,241.808,247.744,247.632,248.752,1719.87,7.99594,13.297,8858,8841,8727,8849,8839,8784,8841,=AVERAGE(L32:R32),
4.5,243.6,247.408,237.664,248.976,237.216,238.896,232.848,1686.61,9.01671,13.0061,8778,8809,8738,8584,8897,8687,8844,=AVERAGE(L33:R33),
4.6,244.16,235.088,244.384,241.024,251.104,249.2,249.536,1714.5,9.41415,12.6989,8793,8809,8948,8761,8830,8813,8786,=AVERAGE(L34:R34),
4.7,244.384,250.544,250.768,250.656,244.16,243.712,243.152,1727.38,10.0992,12.375,8526,8777,8767,8647,8819,8645,8610,=AVERAGE(L35:R35),
4.8,248.976,244.832,246.4,253.568,241.696,251.664,244.72,1731.86,10.7627,12.034,8744,8677,8828,8789,8796,8837,8748,=AVERAGE(L36:R36),
4.9,249.2,242.928,241.696,249.76,247.52,243.264,250.544,1724.91,11.4041,11.6755,8669,8822,8665,8633,8635,8665,8748,=AVERAGE(L37:R37),
5,248.416,249.648,249.984,238.224,247.072,245.616,237.776,1716.74,12.0229,11.2991,8726,8834,8744,8682,8854,8725,8547,=AVERAGE(L38:R38),
5.1,241.92,236.208,248.08,237.664,252.672,245.392,257.04,1718.98,12.6187,10.9044,8816,8833,8552,8930,8727,8855,8701,=AVERAGE(L39:R39),
5.2,251.552,254.912,242.144,247.968,237.552,247.184,240.24,1721.55,13.1911,10.491,8663,8739,8660,8706,8785,8679,8671,=AVERAGE(L40:R40),
5.3,237.552,246.512,254.128,248.752,248.192,247.632,248.752,1731.52,13.7397,10.0585,8819,8675,8727,8705,8741,8711,8692,=AVERAGE(L41:R41),
5.4,248.864,244.048,242.704,248.08,246.176,248.192,244.048,1722.11,14.2639,9.60634,8663,8589,8692,8742,8736,8596,8790,=AVERAGE(L42:R42),
5.5,234.864,242.592,239.68,238.112,244.384,237.328,243.936,1680.9,14.7636,9.1342,8965,8823,8887,8803,8933,8882,8835,=AVERAGE(L43:R43),
5.6,247.744,244.384,229.6,248.864,246.512,246.848,240.688,1704.64,15.2382,8.6417,8885,8717,9098,8960,8792,8715,8961,=AVERAGE(L44:R44),
5.7,236.208,246.4,248.304,239.904,243.824,248.752,248.304,1711.7,15.6874,8.12837,8845,8690,8778,8840,8797,8604,8708,=AVERAGE(L45:R45),
5.8,251.552,247.184,244.496,247.52,247.296,243.6,244.608,1726.26,16.1108,7.59374,8727,8618,8696,8705,8651,8807,8706,=AVERAGE(L46:R46),
5.9,242.592,250.992,243.04,240.688,246.736,240.016,249.76,1713.82,16.5082,7.03743,8902,8808,9055,8701,8918,8817,8645,=AVERAGE(L47:R47),
6,240.688,244.608,249.984,245.84,242.256,253.232,250.656,1727.26,16.8791,6.45904,8746,8861,8744,8776,8800,8821,8570,=AVERAGE(L48:R48),
6.1,25.536,30.128,23.856,28,25.424,22.624,23.968,179.536,18.4098,5.80459,8375,8569,8424,9298,8898,8359,8423,=AVERAGE(L49:R49),
6.2,215.936,197.792,197.12,206.304,219.52,202.16,213.92,1452.75,17.8145,7.67848,25510,28857,28556,27009,25244,27857,26269,=AVERAGE(L50:R50),
6.3,225.008,192.528,211.792,199.696,198.8,210.112,208.88,1446.82,17.5229,8.4137,9549,11828,10001,11846,11184,10742,10420,=AVERAGE(L51:R51),
6.4,247.744,243.488,255.248,244.048,253.232,242.592,251.552,1737.9,17.2041,9.12839,8651,8868,8594,8616,8658,8772,8519,=AVERAGE(L52:R52),
6.5,251.328,240.016,243.488,247.408,245.392,252.784,244.384,1724.8,16.8582,9.82216,8769,8724,8834,8730,8727,8723,8629,=AVERAGE(L53:R53),
6.6,240.464,252.448,242.256,239.008,247.632,242.48,245.616,1709.9,16.4858,10.4945,8905,8588,8746,8711,8746,8694,8641,=AVERAGE(L54:R54),
6.7,242.704,241.808,244.048,247.632,247.632,242.032,248.528,1714.38,16.0869,11.145,8784,8702,8919,8757,8760,8756,8712,=AVERAGE(L55:R55),
6.8,246.736,246.624,245.728,247.408,246.624,244.272,247.744,1725.14,15.6619,11.773,8665,8582,8691,8722,8621,8678,8623,=AVERAGE(L56:R56),
6.9,247.856,243.936,239.008,245.168,241.472,251.44,246.96,1715.84,15.2113,12.3783,8741,8636,8897,8732,8721,8822,8738,=AVERAGE(L57:R57),
7,240.464,250.096,247.408,241.696,245.056,241.472,237.552,1703.74,14.7352,12.9603,8636,8676,8736,8526,8649,8760,8618,=AVERAGE(L58:R58),
7.1,247.744,246.176,247.632,249.312,243.824,240.576,251.552,1726.82,14.2342,13.5187,8793,8682,8705,8840,8719,8616,8689,=AVERAGE(L59:R59),
7.2,240.912,235.536,251.44,245.056,246.288,247.632,245.84,1712.7,13.7084,14.0529,8864,8899,8686,8747,8642,8664,8637,=AVERAGE(L60:R60),
7.3,246.848,248.192,242.928,240.464,252.448,245.728,250.544,1727.15,13.1585,14.5627,8519,8797,8681,8704,8522,8850,8622,=AVERAGE(L61:R61),
7.4,247.072,246.064,245.392,253.344,243.488,248.416,245.728,1729.5,12.5847,15.0475,8717,8880,8774,8606,8797,8720,8916,=AVERAGE(L62:R62),
7.5,249.424,252.448,242.368,241.92,244.048,244.944,239.68,1714.83,11.9875,15.5071,8700,8590,8856,8768,8716,8798,8941,=AVERAGE(L63:R63),
7.6,246.848,244.384,246.736,245.84,249.424,249.648,248.528,1731.41,11.3674,15.9411,8668,8647,8728,8874,8648,8670,8649,=AVERAGE(L64:R64),
7.7,250.208,250.768,245.28,243.936,247.52,245.952,245.616,1729.28,10.7247,16.3491,8773,8699,8818,8971,8733,8570,8672,=AVERAGE(L65:R65),
7.8,245.952,240.8,245.168,251.776,247.744,241.36,246.624,1719.42,10.06,16.7309,8681,8954,8857,8611,8771,8772,8832,=AVERAGE(L66:R66),
7.9,242.144,250.992,243.936,244.048,239.344,245.392,243.936,1709.79,9.37372,17.0861,8521,8593,8834,8745,8725,8761,8868,=AVERAGE(L67:R67),
8,243.376,234.192,240.8,237.44,248.192,248.752,235.536,1688.29,8.66626,17.4144,8756,8702,8741,8638,8791,8686,8632,=AVERAGE(L68:R68),
8.1,254.912,247.744,247.856,255.024,243.488,239.008,250.544,1738.58,7.93819,17.7155,8702,8784,8740,8606,8694,8763,8593,=AVERAGE(L69:R69),
8.2,228.704,237.888,205.632,210.224,225.68,237.552,228.256,1573.94,7.18997,17.9894,9527,9142,10283,9475,9609,9346,9188,=AVERAGE(L70:R70),
8.3,220.864,216.048,222.096,246.96,224.896,200.592,233.184,1564.64,6.42214,18.2356,9245,9558,9731,9136,9544,10221,9256,=AVERAGE(L71:R71),
8.4,0,16.464,23.856,4.48,10.528,28,23.856,107.184,7.03269,16.5113,0,11385,11483,13024,12490,12323,11439,=AVERAGE(L72:R72),
