Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),User8_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),User8_latency(µs),Avg_latency(µs),
4,232.736,244.048,222.88,234.192,216.272,251.664,216.16,234.416,1852.37,6.43368,16.3141,14.394,15.0139,8931,9276,8797,9182,8769,9205,8886,9047,=AVERAGE(M28:T28),
4.1,234.528,218.96,235.088,239.456,227.584,221.312,227.584,216.16,1820.67,5.83174,16.3021,14.394,15.0139,9119,8895,9085,8960,9169,8928,9211,8890,=AVERAGE(M29:T29),
4.2,221.984,240.128,238.56,224.896,237.216,227.136,236.096,237.328,1863.34,5.20679,16.2814,14.394,15.0139,8983,9086,9005,8987,9207,9363,8960,9060,=AVERAGE(M30:T30),
4.3,233.408,226.24,237.328,230.832,221.76,234.304,234.304,235.536,1853.71,5.19355,16.2814,14.394,15.0139,9083,9172,9128,8963,9100,9134,8856,8931,=AVERAGE(M31:T31),
4.4,225.568,230.944,220.976,227.696,239.456,226.688,232.176,230.048,1833.55,4.55843,16.2516,14.394,15.0139,9249,9156,9137,9271,9018,9385,9062,9013,=AVERAGE(M32:T32),
4.5,224.224,232.064,236.656,234.864,219.968,231.952,231.952,227.248,1838.93,3.88622,16.2125,14.394,15.0139,8925,9106,9049,8968,9063,8961,9091,9271,=AVERAGE(M33:T33),
4.6,237.552,217.952,230.72,231.728,231.168,223.328,230.608,230.048,1833.1,3.18973,16.1639,14.394,15.0139,9132,9124,9041,8896,8933,9125,9001,8854,=AVERAGE(M34:T34),
4.7,229.712,223.776,234.864,230.384,234.08,226.016,228.928,233.744,1841.5,2.46855,16.1054,14.394,15.0139,8973,9311,8833,9210,9124,9040,8903,9041,=AVERAGE(M35:T35),
4.8,222.656,235.424,230.608,226.688,232.624,231.84,227.136,231.28,1838.26,1.72226,16.0367,14.394,15.0139,9273,8954,8917,8889,8937,8892,9032,9072,=AVERAGE(M36:T36),
4.9,223.888,233.184,219.632,238.224,228.928,227.92,232.96,230.496,1835.23,0.950446,15.9577,14.394,15.0139,9090,9087,9184,9180,9033,9121,8951,9044,=AVERAGE(M37:T37),
5,227.024,226.128,238.784,231.504,226.8,232.736,233.408,228.256,1844.64,0.152698,15.8679,14.394,15.0139,9148,9057,8918,8950,9325,9039,9062,9014,=AVERAGE(M38:T38),
5.1,236.432,225.456,229.152,226.128,234.864,233.632,226.352,225.68,1837.7,-0.671388,15.767,14.394,15.0139,8933,9036,9015,9024,9040,8981,9068,9166,=AVERAGE(M39:T39),
5.2,224.224,235.872,233.296,225.904,222.208,231.728,222.096,238.224,1833.55,-1.52221,15.6548,14.394,15.0139,9034,9140,9002,9306,9073,9062,9274,8951,=AVERAGE(M40:T40),
5.3,236.768,227.808,227.248,227.248,237.664,225.68,235.312,219.968,1837.7,-1.25147,15.531,14.394,15.0139,8997,8925,9010,9071,8967,9148,9051,9040,=AVERAGE(M41:T41),
5.4,231.728,230.496,230.608,223.776,220.864,231.504,237.104,232.288,1838.37,-0.330649,15.3951,14.394,15.0139,8930,8945,8958,9251,8950,8986,8922,9080,=AVERAGE(M42:T42),
5.5,223.104,235.2,235.088,231.056,238.672,225.904,217.28,224.56,1830.86,0.575172,15.247,14.394,15.0139,9388,9207,9221,9209,9077,8994,8941,9214,=AVERAGE(M43:T43),
5.6,231.616,220.304,216.496,228.256,232.96,235.2,238,232.4,1835.23,1.46547,15.0862,14.394,15.0139,8817,9016,8943,9033,8931,9030,9276,9049,=AVERAGE(M44:T44),
5.7,228.928,234.192,240.8,220.864,231.28,227.36,228.032,228.368,1839.82,2.33973,14.9124,14.394,15.0139,8996,8856,8844,9050,9032,8830,8929,8897,=AVERAGE(M45:T45),
5.8,230.608,227.36,218.512,237.664,231.504,229.936,222.992,241.92,1840.5,3.19741,14.7252,14.394,15.0139,9068,8947,9179,8849,8802,8982,9255,8902,=AVERAGE(M46:T46),
5.9,235.424,243.04,239.12,223.216,222.32,226.352,233.744,219.968,1843.18,4.03801,14.5244,14.394,15.0139,9062,9038,9015,9247,9027,9003,8821,9059,=AVERAGE(M47:T47),
6,224.56,221.312,227.696,239.008,234.08,236.096,224.784,228.704,1836.24,4.86101,14.3096,14.394,15.0139,9130,8902,9214,8988,9029,8957,9053,9012,=AVERAGE(M48:T48),
6.1,228.144,233.856,223.104,226.576,235.312,227.584,233.072,223.216,1830.86,5.66587,14.0804,14.394,15.0139,9218,8952,9161,9094,9106,9018,9096,9318,=AVERAGE(M49:T49),
6.2,222.208,232.624,230.272,224.56,226.576,235.2,231.728,232.512,1835.68,6.4521,13.8363,14.394,15.0139,9065,8980,9159,8937,9135,9152,9178,9179,=AVERAGE(M50:T50),
6.3,231.392,230.832,230.384,237.44,225.568,226.464,225.008,234.192,1841.28,7.21919,13.5772,14.394,15.0139,9017,9060,8961,8988,9323,9088,9021,9031,=AVERAGE(M51:T51),
