Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,14.394,15.0139,0,0,0,0,=AVERAGE(I2:L2),
1.5,57.232,53.2,28.56,28.56,167.552,14.394,15.0139,57052,61655,73759,74294,=AVERAGE(I3:L3),
1.6,277.872,280.336,295.232,287.28,1140.72,14.394,15.0139,6066,6089,9857,10104,=AVERAGE(I4:L4),
1.7,296.576,295.232,293.888,294.896,1180.59,14.394,15.0139,5841,5847,5857,5829,=AVERAGE(I5:L5),
1.8,295.68,296.352,294,294.896,1180.93,14.394,15.0139,5850,5835,5866,5842,=AVERAGE(I6:L6),
1.9,294.56,294.336,298.144,296.464,1183.5,14.394,15.0139,5828,5819,5813,5813,=AVERAGE(I7:L7),
2,292.88,296.8,297.248,296.352,1183.28,14.2957,15.0676,5833,5824,5827,5817,=AVERAGE(I8:L8),
2.1,296.24,293.776,297.36,295.344,1182.72,14.0655,15.1842,5828,5823,5797,5819,=AVERAGE(I9:L9),
2.2,292.992,296.128,297.584,297.36,1184.06,13.8206,15.2962,5831,5811,5807,5799,=AVERAGE(I10:L10),
2.3,296.464,292.768,294.112,294.448,1177.79,13.5605,15.4034,5833,5846,5866,5845,=AVERAGE(I11:L11),
2.4,297.36,294,298.368,295.344,1185.07,13.2848,15.5056,5830,5833,5829,5833,=AVERAGE(I12:L12),
2.5,297.248,295.68,294.784,295.568,1183.28,12.9932,15.6027,5796,5827,5817,5834,=AVERAGE(I13:L13),
2.6,295.792,295.12,294.448,293.888,1179.25,12.6853,15.6945,5840,5824,5863,5849,=AVERAGE(I14:L14),
2.7,295.232,294.224,296.24,294,1179.7,12.3607,15.7808,5843,5843,5856,5844,=AVERAGE(I15:L15),
2.8,297.248,294.448,292.656,297.136,1181.49,12.019,15.8615,5831,5852,5863,5826,=AVERAGE(I16:L16),
2.9,297.472,294.672,295.344,296.016,1183.5,11.6597,15.9363,5788,5840,5869,5839,=AVERAGE(I17:L17),
3,295.68,293.216,296.128,294.336,1179.36,11.2826,16.0051,5849,5832,5807,5839,=AVERAGE(I18:L18),
3.1,293.44,296.016,294.672,297.696,1181.82,10.8871,16.0676,5849,5824,5844,5780,=AVERAGE(I19:L19),
3.2,295.792,294.224,293.552,295.792,1179.36,10.4728,16.1237,5826,5836,5859,5815,=AVERAGE(I20:L20),
3.3,294.224,297.696,295.232,297.696,1184.85,10.0394,16.1731,5858,5806,5843,5811,=AVERAGE(I21:L21),
3.4,298.144,292.992,296.128,293.776,1181.04,9.58644,16.2156,5784,5841,5834,5865,=AVERAGE(I22:L22),
3.5,293.776,294.784,296.912,297.024,1182.5,9.1135,16.2511,5853,5847,5813,5813,=AVERAGE(I23:L23),
3.6,294.896,297.472,295.568,293.664,1181.6,8.62009,16.2793,5847,5821,5858,5855,=AVERAGE(I24:L24),
3.7,298.032,296.24,297.136,297.696,1189.1,8.10582,16.2999,5850,5835,5835,5835,=AVERAGE(I25:L25),
3.8,295.904,298.032,297.584,296.128,1187.65,7.57031,16.3127,5805,5839,5858,5833,=AVERAGE(I26:L26),
3.9,298.256,294.112,294.672,295.232,1182.27,7.01304,16.3175,5815,5793,5838,5838,=AVERAGE(I27:L27),
4,295.456,298.144,293.776,292.768,1180.14,6.43366,16.3141,5823,5834,5824,5821,=AVERAGE(I28:L28),
4.1,286.272,284.928,294.896,291.424,1157.52,5.83171,16.3021,5748,5754,5842,5809,=AVERAGE(I29:L29),
4.2,28.784,30.016,21.28,21.952,102.032,7.23397,13.572,7023,6738,6245,6242,=AVERAGE(I30:L30),
4.3,265.216,249.872,254.128,260.624,1029.84,7.32523,13.572,19938,21627,21147,20577,=AVERAGE(I31:L31),
4.4,293.776,291.424,295.232,293.216,1173.65,7.98106,13.297,5852,5855,5877,5834,=AVERAGE(I32:L32),
4.5,292.88,294.448,295.344,294,1176.67,8.70794,13.0061,5880,5832,5875,5891,=AVERAGE(I33:L33),
4.6,296.464,294.336,293.888,296.464,1181.15,9.41417,12.6989,5807,5864,5845,5784,=AVERAGE(I34:L34),
4.7,293.216,295.344,297.472,294.672,1180.7,10.0992,12.375,5870,5815,5832,5845,=AVERAGE(I35:L35),
4.8,294.336,294.896,294.784,296.464,1180.48,10.7627,12.034,5826,5858,5805,5800,=AVERAGE(I36:L36),
4.9,293.328,295.792,294.672,296.464,1180.26,11.4041,11.6755,5844,5814,5854,5849,=AVERAGE(I37:L37),
5,294.672,297.248,296.352,293.216,1181.49,12.0229,11.2991,5840,5806,5848,5831,=AVERAGE(I38:L38),
5.1,294.672,296.688,294.224,294.336,1179.92,12.6187,10.9044,5835,5795,5836,5792,=AVERAGE(I39:L39),
5.2,294.224,293.216,295.456,296.128,1179.02,13.1911,10.491,5868,5853,5871,5826,=AVERAGE(I40:L40),
5.3,295.904,295.68,294.56,295.232,1181.38,13.7397,10.0584,5838,5823,5833,5860,=AVERAGE(I41:L41),
5.4,295.904,293.664,294.56,297.024,1181.15,14.2639,9.60634,5804,5821,5835,5792,=AVERAGE(I42:L42),
5.5,294.336,295.12,294.56,295.568,1179.58,14.7636,9.13421,5845,5868,5879,5831,=AVERAGE(I43:L43),
5.6,295.456,294.448,293.664,297.248,1180.82,15.2382,8.6417,5817,5796,5807,5802,=AVERAGE(I44:L44),
5.7,293.888,298.368,295.008,292.88,1180.14,15.6874,8.12833,5867,5813,5860,5843,=AVERAGE(I45:L45),
5.8,296.128,296.24,296.016,295.792,1184.18,16.1108,7.59376,5803,5821,5834,5821,=AVERAGE(I46:L46),
5.9,256.144,241.584,247.408,250.992,996.128,16.5081,7.03742,7120,7965,7687,7404,=AVERAGE(I47:L47),
6,175.504,171.248,166.096,161.168,674.016,16.8791,6.45904,13722,14362,15006,15724,=AVERAGE(I48:L48),
6.1,20.496,18.256,18.032,17.92,74.704,18.4098,5.80485,5863,5826,5831,5815,=AVERAGE(I49:L49),
6.2,258.832,244.048,254.016,249.872,1006.77,17.8146,7.67853,20558,22348,21241,21725,=AVERAGE(I50:L50),
6.3,298.256,296.688,294.896,293.44,1183.28,17.5229,8.41364,5866,5831,5874,5817,=AVERAGE(I51:L51),
