Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,=AVERAGE(K2:P2),
1.5,57.232,48.832,28.56,28.56,28.56,28.56,220.304,14.394,15.0139,56980,65943,73851,74367,74956,75616,=AVERAGE(K3:P3),
1.6,261.52,259.056,276.64,267.344,259.392,258.16,1582.11,14.394,15.0139,7359,7839,11543,12012,12347,12504,=AVERAGE(K4:P4),
1.7,276.752,275.072,277.984,279.552,281.12,275.968,1666.45,14.394,15.0139,7599,7649,7669,7475,7627,7548,=AVERAGE(K5:P5),
1.8,280.56,281.008,275.184,278.992,274.96,273.728,1664.43,14.394,15.0139,7484,7396,7626,7595,7396,7391,=AVERAGE(K6:P6),
1.9,273.056,273.952,278.656,273.28,280.448,274.624,1654.02,14.394,15.0139,7552,7620,7474,7604,7487,7669,=AVERAGE(K7:P7),
2,278.992,268.576,277.312,281.12,273.168,277.088,1656.26,14.2957,15.0676,7477,7627,7548,7409,7490,7495,=AVERAGE(K8:P8),
2.1,274.624,277.76,271.264,275.184,276.752,280.336,1655.92,14.0655,15.1842,7594,7410,7679,7524,7637,7555,=AVERAGE(K9:P9),
2.2,278.096,276.304,276.304,273.728,276.64,274.4,1655.47,13.8206,15.2962,7536,7604,7579,7637,7633,7463,=AVERAGE(K10:P10),
2.3,276.752,275.968,274.96,278.88,270.48,277.2,1654.24,13.5605,15.4034,7492,7689,7668,7385,7635,7526,=AVERAGE(K11:P11),
2.4,277.648,275.52,277.984,276.08,278.208,278.432,1663.87,13.2848,15.5056,7442,7326,7509,7443,7510,7415,=AVERAGE(K12:P12),
2.5,277.2,275.632,270.592,276.528,278.096,277.536,1655.58,12.9932,15.6027,7516,7613,7648,7557,7571,7602,=AVERAGE(K13:P13),
2.6,281.456,281.456,274.288,275.968,277.648,274.288,1665.1,12.6853,15.6945,7534,7398,7644,7563,7330,7615,=AVERAGE(K14:P14),
2.7,275.744,273.392,279.216,275.52,279.776,276.192,1659.84,12.3607,15.7808,7373,7461,7323,7466,7390,7454,=AVERAGE(K15:P15),
2.8,271.936,275.184,281.232,273.84,280.56,277.312,1660.06,12.0189,15.8615,7507,7588,7418,7640,7544,7622,=AVERAGE(K16:P16),
2.9,280.224,276.752,274.064,273.952,273.84,275.856,1654.69,11.6597,15.9363,7478,7680,7638,7618,7561,7610,=AVERAGE(K17:P17),
3,272.384,281.232,272.496,286.048,278.096,276.304,1666.56,11.2826,16.0051,7572,7493,7467,7324,7531,7525,=AVERAGE(K18:P18),
3.1,277.76,279.888,277.536,272.72,279.664,278.208,1665.78,10.8871,16.0676,7468,7381,7401,7397,7396,7483,=AVERAGE(K19:P19),
3.2,273.728,277.088,282.24,277.536,277.984,272.944,1661.52,10.4728,16.1237,7526,7486,7506,7562,7364,7466,=AVERAGE(K20:P20),
