Time [s],User1_Tput(Mbps),User2_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),Avg_latency(µs),
1.4,0,0,0,14.394,15.0139,0,0,=AVERAGE(G2:H2),
1.5,52.752,57.232,109.984,14.394,15.0139,61773,57200,=AVERAGE(G3:H3),
1.6,289.296,282.128,571.424,14.394,15.0139,5658,5633,=AVERAGE(G4:H4),
1.7,297.808,297.92,595.728,14.394,15.0139,5387,5382,=AVERAGE(G5:H5),
1.8,298.816,299.6,598.416,14.394,15.0139,5387,5381,=AVERAGE(G6:H6),
1.9,298.256,297.92,596.176,14.394,15.0139,5388,5381,=AVERAGE(G7:H7),
2,298.592,298.592,597.184,14.2957,15.0676,5387,5376,=AVERAGE(G8:H8),
2.1,298.144,299.936,598.08,14.0655,15.1842,5383,5368,=AVERAGE(G9:H9),
2.2,297.92,299.376,597.296,13.8206,15.2962,5392,5375,=AVERAGE(G10:H10),
2.3,299.376,298.032,597.408,13.5605,15.4034,5374,5382,=AVERAGE(G11:H11),
2.4,298.592,299.264,597.856,13.2848,15.5056,5380,5369,=AVERAGE(G12:H12),
2.5,299.6,298.48,598.08,12.9932,15.6027,5371,5373,=AVERAGE(G13:H13),
2.6,298.48,299.376,597.856,12.6853,15.6945,5388,5379,=AVERAGE(G14:H14),
2.7,298.256,298.592,596.848,12.3607,15.7808,5390,5379,=AVERAGE(G15:H15),
2.8,298.816,298.032,596.848,12.019,15.8615,5373,5385,=AVERAGE(G16:H16),
2.9,298.256,298.48,596.736,11.6597,15.9363,5383,5373,=AVERAGE(G17:H17),
3,298.256,299.712,597.968,11.2825,16.0051,5394,5372,=AVERAGE(G18:H18),
3.1,298.592,298.592,597.184,10.8871,16.0676,5382,5386,=AVERAGE(G19:H19),
3.2,298.144,298.256,596.4,10.4728,16.1237,5382,5372,=AVERAGE(G20:H20),
3.3,298.256,299.6,597.856,10.0394,16.1731,5381,5374,=AVERAGE(G21:H21),
3.4,298.704,299.264,597.968,9.58647,16.2156,5393,5364,=AVERAGE(G22:H22),
3.5,297.92,299.376,597.296,9.1135,16.2511,5394,5385,=AVERAGE(G23:H23),
3.6,298.704,299.264,597.968,8.62009,16.2793,5385,5354,=AVERAGE(G24:H24),
3.7,298.48,298.928,597.408,8.10584,16.2999,5381,5392,=AVERAGE(G25:H25),
3.8,299.376,300.272,599.648,7.57031,16.3127,5385,5375,=AVERAGE(G26:H26),
3.9,299.6,298.144,597.744,7.01306,16.3175,5369,5380,=AVERAGE(G27:H27),
4,298.704,299.152,597.856,6.43368,16.3141,5380,5371,=AVERAGE(G28:H28),
4.1,297.696,298.592,596.288,5.83174,16.3021,5397,5388,=AVERAGE(G29:H29),
4.2,0.896,0.224,1.12,7.23397,13.572,5776,5766,=AVERAGE(G30:H30),
4.3,266.448,299.712,566.16,7.32541,13.572,20561,17458,=AVERAGE(G31:H31),
4.4,297.696,299.376,597.072,7.98104,13.297,5392,5383,=AVERAGE(G32:H32),
4.5,298.368,299.936,598.304,8.70789,13.0061,5390,5355,=AVERAGE(G33:H33),
4.6,298.592,298.48,597.072,9.41411,12.6989,5363,5386,=AVERAGE(G34:H34),
4.7,297.92,298.48,596.4,10.0992,12.375,5398,5367,=AVERAGE(G35:H35),
4.8,298.368,298.928,597.296,10.7627,12.034,5381,5384,=AVERAGE(G36:H36),
4.9,299.824,298.256,598.08,11.4041,11.6755,5370,5372,=AVERAGE(G37:H37),
5,297.92,298.368,596.288,12.0229,11.2991,5387,5399,=AVERAGE(G38:H38),
5.1,298.816,298.032,596.848,12.6187,10.9045,5382,5360,=AVERAGE(G39:H39),
5.2,298.256,299.264,597.52,13.1911,10.491,5377,5397,=AVERAGE(G40:H40),
5.3,298.144,299.824,597.968,13.7397,10.0585,5413,5364,=AVERAGE(G41:H41),
5.4,298.592,298.256,596.848,14.2639,9.60634,5380,5365,=AVERAGE(G42:H42),
5.5,298.368,298.48,596.848,14.7636,9.13421,5385,5373,=AVERAGE(G43:H43),
5.6,299.488,298.704,598.192,15.2382,8.64172,5355,5383,=AVERAGE(G44:H44),
5.7,298.704,298.368,597.072,15.6874,8.12837,5403,5396,=AVERAGE(G45:H45),
5.8,297.92,298.48,596.4,16.1108,7.59376,5374,5370,=AVERAGE(G46:H46),
5.9,298.816,298.256,597.072,16.5081,7.03746,5391,5387,=AVERAGE(G47:H47),
6,297.808,298.48,596.288,16.8791,6.459,5407,5407,=AVERAGE(G48:H48),
6.1,18.928,18.928,37.856,18.4098,5.80772,5229,5185,=AVERAGE(G49:H49),
6.2,265.888,261.296,527.184,17.8146,7.67848,19714,20213,=AVERAGE(G50:H50),
6.3,298.704,299.152,597.856,17.5229,8.41364,5369,5377,=AVERAGE(G51:H51),
6.4,298.592,298.704,597.296,17.2041,9.12836,5380,5342,=AVERAGE(G52:H52),
6.5,298.592,298.256,596.848,16.8583,9.82213,5394,5403,=AVERAGE(G53:H53),
6.6,297.92,298.256,596.176,16.4858,10.4945,5409,5373,=AVERAGE(G54:H54),
6.7,298.256,298.816,597.072,16.0869,11.145,5380,5394,=AVERAGE(G55:H55),
6.8,298.256,298.032,596.288,15.662,11.773,5401,5365,=AVERAGE(G56:H56),
6.9,298.256,299.936,598.192,15.2113,12.3783,5373,5393,=AVERAGE(G57:H57),
7,297.92,298.368,596.288,14.7353,12.9603,5397,5363,=AVERAGE(G58:H58),
7.1,298.928,299.04,597.968,14.2342,13.5186,5374,5393,=AVERAGE(G59:H59),
7.2,298.256,298.928,597.184,13.7085,14.0529,5401,5369,=AVERAGE(G60:H60),
7.3,298.816,298.816,597.632,13.1585,14.5626,5378,5401,=AVERAGE(G61:H61),
7.4,298.48,298.48,596.96,12.5848,15.0475,5354,5321,=AVERAGE(G62:H62),
7.5,298.256,298.368,596.624,11.9876,15.5071,5387,5413,=AVERAGE(G63:H63),
7.6,298.144,298.816,596.96,11.3674,15.9411,5365,5394,=AVERAGE(G64:H64),
7.7,298.592,298.032,596.624,10.7248,16.3491,5404,5372,=AVERAGE(G65:H65),
7.8,298.48,298.592,597.072,10.06,16.7309,5384,5353,=AVERAGE(G66:H66),
7.9,298.144,298.48,596.624,9.37372,17.086,5425,5395,=AVERAGE(G67:H67),
8,299.6,299.488,599.088,8.66629,17.4143,5347,5379,=AVERAGE(G68:H68),
8.1,298.816,299.04,597.856,7.93823,17.7155,5389,5360,=AVERAGE(G69:H69),
8.2,299.152,298.256,597.408,7.19003,17.9894,5372,5406,=AVERAGE(G70:H70),
8.3,298.592,299.824,598.416,6.4222,18.2356,5419,5393,=AVERAGE(G71:H71),
8.4,19.152,19.488,38.64,7.03269,16.5113,4909,4897,=AVERAGE(G72:H72),
8.5,296.24,290.304,586.544,7.58918,16.1142,16815,17308,=AVERAGE(G73:H73),
8.6,263.536,265.776,529.312,7.65497,16.1142,6714,6611,=AVERAGE(G74:H74),
8.7,293.888,291.648,585.536,8.12397,15.691,5406,5446,=AVERAGE(G75:H75),
8.8,298.928,298.48,597.408,8.6375,15.242,5398,5373,=AVERAGE(G76:H76),
8.9,298.144,298.592,596.736,9.13019,14.7677,5376,5424,=AVERAGE(G77:H77),
9,298.256,299.712,597.968,9.60246,14.2682,5429,5337,=AVERAGE(G78:H78),
9.1,298.704,298.48,597.184,10.0548,13.7442,5339,5387,=AVERAGE(G79:H79),
9.2,298.032,299.936,597.968,10.4875,13.1958,5391,5372,=AVERAGE(G80:H80),
9.3,298.592,298.368,596.96,10.9011,12.6236,5374,5351,=AVERAGE(G81:H81),
9.4,298.368,298.928,597.296,11.2959,12.028,5432,5410,=AVERAGE(G82:H82),
9.5,298.256,299.04,597.296,11.6725,11.4093,5339,5394,=AVERAGE(G83:H83),
9.6,299.6,298.816,598.416,12.0311,10.7681,5401,5378,=AVERAGE(G84:H84),
9.7,298.816,299.264,598.08,12.3722,10.1049,5384,5363,=AVERAGE(G85:H85),
9.8,298.032,299.6,597.632,12.6963,9.41996,5366,5347,=AVERAGE(G86:H86),
9.9,298.368,299.264,597.632,13.0036,8.71391,5351,5411,=AVERAGE(G87:H87),
10,299.488,298.48,597.968,13.2946,7.98717,5419,5314,=AVERAGE(G88:H88),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(D7:D88)
