Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,14.394,15.0139,0,0,0,=AVERAGE(H2:J2),
1.5,57.232,39.312,28.56,125.104,14.394,15.0139,57082,76082,73934,=AVERAGE(H3:J3),
1.6,280.784,293.328,295.792,869.904,14.394,15.0139,5788,6613,9619,=AVERAGE(H4:J4),
1.7,298.704,297.584,296.128,892.416,14.394,15.0139,5526,5538,5554,=AVERAGE(H5:J5),
1.8,297.36,297.024,298.816,893.2,14.394,15.0139,5542,5544,5539,=AVERAGE(H6:J6),
1.9,296.24,297.472,297.136,890.848,14.394,15.0139,5554,5536,5551,=AVERAGE(H7:J7),
2,298.032,296.352,298.256,892.64,14.2957,15.0676,5523,5546,5523,=AVERAGE(H8:J8),
2.1,296.912,296.464,298.592,891.968,14.0656,15.1842,5545,5560,5532,=AVERAGE(H9:J9),
2.2,296.464,298.816,296.912,892.192,13.8206,15.2962,5539,5529,5541,=AVERAGE(H10:J10),
2.3,296.912,296.8,296.688,890.4,13.5605,15.4034,5552,5537,5553,=AVERAGE(H11:J11),
2.4,296.576,296.912,297.92,891.408,13.2848,15.5056,5553,5552,5538,=AVERAGE(H12:J12),
2.5,295.68,299.824,298.368,893.872,12.9932,15.6027,5533,5507,5522,=AVERAGE(H13:J13),
2.6,296.352,297.92,296.352,890.624,12.6853,15.6945,5550,5543,5556,=AVERAGE(H14:J14),
2.7,298.592,297.36,295.792,891.744,12.3607,15.7808,5525,5527,5538,=AVERAGE(H15:J15),
2.8,298.256,297.92,297.472,893.648,12.019,15.8615,5527,5530,5543,=AVERAGE(H16:J16),
2.9,296.688,297.024,296.688,890.4,11.6597,15.9363,5548,5565,5548,=AVERAGE(H17:J17),
3,298.592,296.128,296.688,891.408,11.2825,16.0051,5520,5531,5539,=AVERAGE(H18:J18),
3.1,296.912,296.688,297.92,891.52,10.8871,16.0676,5547,5563,5539,=AVERAGE(H19:J19),
3.2,298.032,297.36,296.352,891.744,10.4728,16.1237,5536,5534,5550,=AVERAGE(H20:J20),
3.3,295.68,297.136,296.352,889.168,10.0394,16.1731,5548,5530,5547,=AVERAGE(H21:J21),
3.4,298.592,296.464,299.376,894.432,9.58647,16.2156,5528,5557,5523,=AVERAGE(H22:J22),
3.5,296.8,298.928,296.464,892.192,9.1135,16.2511,5545,5523,5554,=AVERAGE(H23:J23),
3.6,297.92,296.24,296.912,891.072,8.62009,16.2793,5537,5547,5543,=AVERAGE(H24:J24),
3.7,298.032,297.584,298.816,894.432,8.10582,16.2999,5534,5545,5518,=AVERAGE(H25:J25),
3.8,300.272,298.928,300.048,899.248,7.57027,16.3127,5539,5526,5541,=AVERAGE(H26:J26),
3.9,37.408,37.856,37.408,112.672,7.01306,16.3175,97163,93831,95904,=AVERAGE(H27:J27),
4,271.824,283.248,277.76,832.832,6.43368,16.3141,5677,5555,5660,=AVERAGE(H28:J28),
4.1,294.784,296.352,296.128,887.264,5.83174,16.3021,5552,5549,5546,=AVERAGE(H29:J29),
4.2,20.384,19.264,18.704,58.352,7.23397,13.572,5669,5619,5618,=AVERAGE(H30:J30),
4.3,297.472,292.096,286.832,876.4,7.2492,13.572,16897,17431,17899,=AVERAGE(H31:J31),
4.4,297.584,295.008,297.136,889.728,7.98106,13.297,5524,5574,5535,=AVERAGE(H32:J32),
4.5,296.576,296.24,297.92,890.736,8.70792,13.0061,5567,5546,5527,=AVERAGE(H33:J33),
4.6,296.128,297.92,297.248,891.296,9.41414,12.6989,5540,5525,5551,=AVERAGE(H34:J34),
4.7,296.8,298.032,296.688,891.52,10.0992,12.375,5554,5534,5527,=AVERAGE(H35:J35),
4.8,296.688,296.352,297.92,890.96,10.7627,12.034,5542,5546,5547,=AVERAGE(H36:J36),
4.9,296.576,298.48,297.024,892.08,11.4041,11.6755,5536,5548,5568,=AVERAGE(H37:J37),
5,295.568,297.36,298.368,891.296,12.0229,11.2991,5567,5544,5540,=AVERAGE(H38:J38),
5.1,296.8,297.36,295.456,889.616,12.6187,10.9045,5545,5551,5535,=AVERAGE(H39:J39),
5.2,296.576,297.808,297.696,892.08,13.1911,10.491,5557,5529,5553,=AVERAGE(H40:J40),
5.3,299.264,296.352,296.128,891.744,13.7397,10.0585,5512,5541,5564,=AVERAGE(H41:J41),
5.4,297.808,296.576,298.928,893.312,14.2639,9.60632,5527,5527,5521,=AVERAGE(H42:J42),
5.5,297.696,299.04,295.904,892.64,14.7636,9.13424,5553,5523,5536,=AVERAGE(H43:J43),
5.6,296.8,297.024,297.92,891.744,15.2382,8.6417,5544,5587,5533,=AVERAGE(H44:J44),
5.7,296.576,296.016,296.8,889.392,15.6874,8.12837,5499,5542,5564,=AVERAGE(H45:J45),
5.8,299.04,297.248,296.128,892.416,16.1108,7.59374,5545,5545,5562,=AVERAGE(H46:J46),
5.9,296.24,298.144,298.816,893.2,16.5081,7.03743,5539,5507,5529,=AVERAGE(H47:J47),
6,296.8,296.016,297.584,890.4,16.8791,6.45901,5546,5591,5529,=AVERAGE(H48:J48),
6.1,16.464,16.8,17.696,50.96,18.4098,5.80459,5526,5546,5603,=AVERAGE(H49:J49),
6.2,263.984,258.944,252.224,775.152,17.8146,7.67848,20088,20612,21297,=AVERAGE(H50:J50),
6.3,298.032,296.912,298.928,893.872,17.5229,8.41364,5547,5553,5540,=AVERAGE(H51:J51),
6.4,297.136,298.48,297.248,892.864,17.204,9.12836,5544,5513,5532,=AVERAGE(H52:J52),
6.5,298.032,295.792,298.928,892.752,16.8583,9.82213,5503,5552,5539,=AVERAGE(H53:J53),
6.6,296.912,296.912,296.912,890.736,16.4858,10.4945,5552,5562,5536,=AVERAGE(H54:J54),
6.7,296.576,297.36,296.24,890.176,16.0869,11.1449,5560,5523,5541,=AVERAGE(H55:J55),
6.8,296.688,296.912,297.584,891.184,15.662,11.773,5522,5532,5556,=AVERAGE(H56:J56),
6.9,297.808,295.904,295.904,889.616,15.2113,12.3783,5539,5594,5563,=AVERAGE(H57:J57),
7,296.464,296.8,298.256,891.52,14.7353,12.9603,5551,5510,5535,=AVERAGE(H58:J58),
7.1,299.824,297.696,296.8,894.32,14.2342,13.5187,5527,5583,5547,=AVERAGE(H59:J59),
7.2,298.032,297.248,296.016,891.296,13.7085,14.0529,5542,5550,5565,=AVERAGE(H60:J60),
7.3,297.024,296.576,298.144,891.744,13.1585,14.5626,5507,5516,5539,=AVERAGE(H61:J61),
7.4,296.8,297.92,297.36,892.08,12.5848,15.0475,5587,5544,5505,=AVERAGE(H62:J62),
7.5,297.024,296.912,298.256,892.192,11.9875,15.5071,5502,5568,5533,=AVERAGE(H63:J63),
7.6,297.024,297.808,296.352,891.184,11.3674,15.9411,5588,5543,5556,=AVERAGE(H64:J64),
7.7,298.592,297.36,296.688,892.64,10.7248,16.3491,5508,5513,5588,=AVERAGE(H65:J65),
7.8,296.8,298.368,296.352,891.52,10.06,16.7308,5535,5548,5501,=AVERAGE(H66:J66),
7.9,298.816,297.36,296.576,892.752,9.37372,17.086,5514,5520,5596,=AVERAGE(H67:J67),
8,299.152,299.04,299.712,897.904,8.66623,17.4143,5551,5560,5518,=AVERAGE(H68:J68),
8.1,297.36,298.704,297.36,893.424,7.93823,17.7155,5586,5535,5549,=AVERAGE(H69:J69),
8.2,296.016,297.92,296.128,890.064,7.18999,17.9894,5496,5509,5521,=AVERAGE(H70:J70),
8.3,298.032,296.576,298.48,893.088,6.4222,18.2356,5542,5547,5568,=AVERAGE(H71:J71),
8.4,18.032,18.368,18.032,54.432,7.03269,16.5113,6247,5199,5196,=AVERAGE(H72:J72),
8.5,296.352,284.144,290.08,870.576,7.58918,16.1142,16947,17957,17521,=AVERAGE(H73:J73),
8.6,297.248,299.6,298.368,895.216,7.59992,16.1142,5533,5556,5499,=AVERAGE(H74:J74),
8.7,295.792,296.688,299.04,891.52,8.124,15.691,5571,5589,5541,=AVERAGE(H75:J75),
8.8,299.6,297.136,295.792,892.528,8.63753,15.242,5489,5497,5575,=AVERAGE(H76:J76),
8.9,298.48,296.576,296.8,891.856,9.13019,14.7677,5530,5540,5553,=AVERAGE(H77:J77),
9,296.464,298.256,297.808,892.528,9.60246,14.2682,5572,5521,5532,=AVERAGE(H78:J78),
9.1,296.688,297.808,297.92,892.416,10.0548,13.7442,5550,5568,5509,=AVERAGE(H79:J79),
9.2,297.696,296.8,296.688,891.184,10.4875,13.1958,5531,5543,5554,=AVERAGE(H80:J80),
9.3,296.912,297.248,297.024,891.184,10.9011,12.6236,5507,5522,5533,=AVERAGE(H81:J81),
9.4,296.352,297.808,296.576,890.736,11.2959,12.0279,5559,5577,5585,=AVERAGE(H82:J82),
9.5,295.904,296.352,296.688,888.944,11.6724,11.4093,5537,5553,5566,=AVERAGE(H83:J83),
9.6,297.024,296.8,297.92,891.744,12.0311,10.7681,5598,5534,5549,=AVERAGE(H84:J84),
9.7,298.032,296.128,296.464,890.624,12.3722,10.1048,5504,5591,5525,=AVERAGE(H85:J85),
9.8,297.024,296.688,299.488,893.2,12.6963,9.41991,5561,5495,5513,=AVERAGE(H86:J86),
9.9,296.464,299.04,295.792,891.296,13.0036,8.71386,5541,5561,5564,=AVERAGE(H87:J87),
10,297.808,296.464,296.912,891.184,13.2946,7.9872,5527,5537,5548,=AVERAGE(H88:J88),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(E7:E88)
