Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,=AVERAGE(K2:P2),
1.5,57.232,46.928,28.56,28.56,28.56,28.56,218.4,14.394,15.0139,56903,68230,73834,74330,74927,75554,=AVERAGE(K3:P3),
1.6,259.84,260.176,279.216,272.384,260.736,259.84,1592.19,14.394,15.0139,7423,7753,11503,11667,12131,12283,=AVERAGE(K4:P4),
1.7,278.208,276.08,274.624,273.728,275.072,275.296,1653.01,14.394,15.0139,7599,7575,7544,7524,7553,7608,=AVERAGE(K5:P5),
1.8,277.984,271.264,276.976,280.448,279.664,273.168,1659.5,14.394,15.0139,7340,7521,7412,7374,7491,7489,=AVERAGE(K6:P6),
1.9,276.192,278.992,279.776,277.424,281.344,272.496,1666.22,14.394,15.0139,7570,7417,7607,7433,7387,7655,=AVERAGE(K7:P7),
2,277.76,279.216,280,276.752,275.072,273.056,1661.86,14.2957,15.0676,7540,7394,7463,7538,7634,7574,=AVERAGE(K8:P8),
2.1,278.096,274.512,272.944,280.784,276.864,280.896,1664.1,14.0655,15.1842,7594,7437,7482,7455,7562,7572,=AVERAGE(K9:P9),
2.2,276.416,281.12,276.192,274.064,275.856,277.312,1660.96,13.8206,15.2962,7485,7438,7578,7709,7413,7620,=AVERAGE(K10:P10),
2.3,282.8,273.392,275.744,275.632,278.992,277.312,1663.87,13.5605,15.4034,7565,7557,7545,7599,7477,7424,=AVERAGE(K11:P11),
2.4,270.928,278.432,273.616,279.328,272.496,274.848,1649.65,13.2848,15.5056,7547,7568,7589,7477,7573,7495,=AVERAGE(K12:P12),
2.5,278.432,279.44,276.416,276.752,276.864,271.936,1659.84,12.9932,15.6027,7552,7344,7609,7618,7565,7657,=AVERAGE(K13:P13),
2.6,280.224,277.312,272.944,280.336,278.096,275.408,1664.32,12.6853,15.6945,7444,7440,7610,7601,7464,7597,=AVERAGE(K14:P14),
2.7,282.128,272.608,278.096,275.296,282.464,278.544,1669.14,12.3607,15.7808,7555,7375,7391,7277,7280,7586,=AVERAGE(K15:P15),
2.8,272.272,280.672,279.328,277.088,281.232,273.392,1663.98,12.019,15.8615,7525,7468,7454,7513,7411,7631,=AVERAGE(K16:P16),
2.9,278.992,275.968,271.376,276.304,270.144,281.456,1654.24,11.6597,15.9363,7435,7574,7592,7500,7571,7534,=AVERAGE(K17:P17),
3,276.864,271.264,283.36,280.784,274.848,275.072,1662.19,11.2826,16.0051,7549,7526,7444,7483,7537,7454,=AVERAGE(K18:P18),
3.1,275.968,280.896,274.288,278.096,276.192,276.752,1662.19,10.887,16.0676,7392,7475,7592,7591,7634,7464,=AVERAGE(K19:P19),
3.2,274.176,277.76,276.64,274.176,278.992,279.552,1661.3,10.4728,16.1237,7653,7499,7637,7450,7598,7348,=AVERAGE(K20:P20),
3.3,275.856,276.416,282.016,277.872,278.432,281.904,1672.5,10.0394,16.1731,7691,7603,7600,7609,7633,7617,=AVERAGE(K21:P21),
3.4,278.768,276.08,273.952,277.872,274.848,272.048,1653.57,9.58644,16.2156,7459,7510,7480,7454,7527,7547,=AVERAGE(K22:P22),
3.5,277.424,277.76,276.528,277.312,280.224,283.136,1672.38,9.11346,16.2511,7531,7616,7640,7543,7515,7545,=AVERAGE(K23:P23),
3.6,280.896,281.008,278.096,278.992,278.656,277.872,1675.52,8.62007,16.2793,7569,7433,7554,7534,7535,7576,=AVERAGE(K24:P24),
3.7,276.528,273.952,278.096,279.552,277.088,277.312,1662.53,8.10583,16.2999,7540,7563,7504,7398,7502,7523,=AVERAGE(K25:P25),
3.8,268.128,280.224,273.952,281.568,274.736,277.2,1655.81,7.57028,16.3127,7483,7557,7446,7390,7587,7425,=AVERAGE(K26:P26),
3.9,280.224,276.976,283.696,267.12,275.296,269.248,1652.56,7.01303,16.3175,7654,7516,7369,7502,7404,7547,=AVERAGE(K27:P27),
4,275.296,275.632,266.112,274.4,272.048,281.12,1644.61,6.43363,16.3141,7420,7428,7430,7350,7373,7577,=AVERAGE(K28:P28),
4.1,269.472,281.68,277.76,278.992,278.992,270.816,1657.71,5.8317,16.3021,7340,7399,7385,7727,7624,7391,=AVERAGE(K29:P29),
4.2,19.152,15.904,34.832,21.056,28.224,32.592,151.76,7.23397,13.572,9803,9260,10017,10338,9744,10197,=AVERAGE(K30:P30),
4.3,284.592,269.36,254.576,274.512,264.32,259.056,1606.42,7.24909,13.572,19148,20125,21278,19642,20592,20880,=AVERAGE(K31:P31),
4.4,267.12,265.328,274.848,271.824,270.144,271.712,1620.98,7.98105,13.297,7578,7747,7547,7672,7737,7664,=AVERAGE(K32:P32),
4.5,270.032,274.176,266,268.688,267.904,273.616,1620.42,8.70792,13.0061,7683,7637,7670,7676,7536,7645,=AVERAGE(K33:P33),
4.6,273.392,274.96,263.984,270.48,271.712,269.248,1623.78,9.41417,12.6989,7649,7624,7714,7575,7645,7643,=AVERAGE(K34:P34),
4.7,261.632,268.352,274.4,275.072,271.04,266.56,1617.06,10.0992,12.375,7743,7595,7604,7539,7660,7683,=AVERAGE(K35:P35),
4.8,274.96,270.816,268.912,269.472,271.264,266.784,1622.21,10.7627,12.034,7639,7658,7576,7673,7586,7675,=AVERAGE(K36:P36),
4.9,270.144,270.704,275.632,271.6,269.808,277.536,1635.42,11.404,11.6755,7658,7621,7616,7642,7640,7595,=AVERAGE(K37:P37),
5,269.92,275.072,269.92,269.808,272.72,265.776,1623.22,12.0229,11.2991,7659,7561,7701,7602,7712,7696,=AVERAGE(K38:P38),
5.1,270.592,269.024,260.176,269.696,274.064,276.192,1619.74,12.6187,10.9044,7556,7652,7723,7637,7612,7614,=AVERAGE(K39:P39),
5.2,266.672,266.224,268.464,275.744,268.352,269.36,1614.82,13.1911,10.491,7623,7729,7637,7582,7600,7633,=AVERAGE(K40:P40),
5.3,276.08,267.792,274.624,263.648,266.784,267.344,1616.27,13.7397,10.0584,7612,7669,7618,7675,7677,7709,=AVERAGE(K41:P41),
5.4,265.664,270.816,268.576,275.856,274.176,271.152,1626.24,14.264,9.60632,7600,7610,7650,7633,7548,7650,=AVERAGE(K42:P42),
5.5,273.952,270.816,272.048,271.824,269.024,271.6,1629.26,14.7636,9.1342,7510,7582,7550,7558,7702,7700,=AVERAGE(K43:P43),
5.6,268.688,268.24,273.28,272.832,265.104,270.816,1618.96,15.2382,8.64168,7589,7672,7562,7651,7712,7632,=AVERAGE(K44:P44),
5.7,268.912,277.088,273.728,269.472,270.368,269.024,1628.59,15.6874,8.12834,7690,7583,7656,7579,7657,7642,=AVERAGE(K45:P45),
5.8,272.384,265.776,270.704,273.392,265.216,268.016,1615.49,16.1108,7.59372,7547,7665,7670,7646,7711,7700,=AVERAGE(K46:P46),
5.9,273.056,271.824,273.504,268.24,273.952,272.832,1633.41,16.5081,7.03741,7653,7655,7523,7615,7618,7686,=AVERAGE(K47:P47),
6,262.528,272.272,266.112,271.152,269.472,274.288,1615.82,16.8791,6.45899,7708,7546,7705,7598,7631,7667,=AVERAGE(K48:P48),
6.1,20.608,24.08,27.664,23.52,20.272,20.272,136.416,18.4098,5.80803,8070,8069,8106,8080,8114,7543,=AVERAGE(K49:P49),
6.2,243.6,219.408,212.128,227.584,232.176,229.152,1364.05,17.8145,7.67853,22820,25650,26844,24898,24071,24508,=AVERAGE(K50:P50),
6.3,270.368,273.728,269.808,265.664,269.808,272.944,1622.32,17.5229,8.41369,7517,7688,7539,7626,7665,7704,=AVERAGE(K51:P51),
