Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),User8_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),User8_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,0,0,=AVERAGE(M2:T2),
1.5,57.232,41.44,28.56,28.56,28.56,28.56,28.56,28.56,270.032,14.394,15.0139,56902,74118,73759,74521,75068,75675,76249,76850,=AVERAGE(M3:T3),
1.6,206.976,220.192,237.328,227.024,227.136,214.928,212.128,205.184,1750.9,14.394,15.0139,9556,9757,13650,14225,14558,15802,15704,16126,=AVERAGE(M4:T4),
1.7,228.704,227.36,212.8,229.936,229.376,224.448,220.416,235.088,1808.13,14.394,15.0139,10253,9731,10333,10375,10077,10095,9868,10401,=AVERAGE(M5:T5),
1.8,221.76,227.136,230.72,224.336,222.768,224.224,229.6,217.28,1797.82,14.394,15.0139,9856,9997,10292,10436,9847,10261,10281,9960,=AVERAGE(M6:T6),
1.9,226.576,234.64,225.68,225.344,225.12,229.6,221.872,225.12,1813.95,14.394,15.0139,9950,9972,9955,10119,9858,10046,10051,9979,=AVERAGE(M7:T7),
2,228.48,221.2,219.968,224.112,218.96,232.176,231.28,223.104,1799.28,14.2957,15.0676,10292,10033,9823,10232,10288,9813,9776,9903,=AVERAGE(M8:T8),
2.1,227.136,221.872,222.88,224.56,223.776,224.56,225.456,230.72,1800.96,14.0656,15.1842,9869,10228,10475,10277,10317,9659,10503,10181,=AVERAGE(M9:T9),
2.2,223.888,224.448,230.384,219.856,226.688,224.896,227.472,224.672,1802.3,13.8206,15.2962,10351,10411,10179,10246,9889,10262,10477,10278,=AVERAGE(M10:T10),
2.3,226.352,228.928,226.352,224.224,225.456,217.504,226.24,223.552,1798.61,13.5605,15.4034,9672,10304,9872,9929,9638,9772,9564,10010,=AVERAGE(M11:T11),
2.4,227.36,222.88,222.992,221.536,230.048,229.824,217.728,227.136,1799.5,13.2848,15.5056,10156,10126,10000,10011,10113,10240,10182,10113,=AVERAGE(M12:T12),
2.5,222.208,216.72,220.976,237.104,226.24,223.104,221.76,224,1792.11,12.9932,15.6027,10301,10321,9519,10109,10096,9674,9945,10584,=AVERAGE(M13:T13),
2.6,223.888,225.344,234.976,216.384,225.904,216.496,229.152,229.936,1802.08,12.6853,15.6945,10128,10133,10154,9904,10245,10413,10098,9566,=AVERAGE(M14:T14),
2.7,220.64,225.456,217.056,221.76,231.28,232.624,223.104,222.096,1794.02,12.3607,15.7809,10332,10103,9727,9781,9728,9811,9828,9891,=AVERAGE(M15:T15),
2.8,230.16,224.784,229.376,228.48,218.288,223.664,239.344,220.64,1814.74,12.019,15.8615,10072,10205,10212,9854,10127,10161,9549,10027,=AVERAGE(M16:T16),
2.9,226.8,229.376,219.072,224,221.2,230.16,220.528,236.544,1807.68,11.6597,15.9363,9950,10022,10181,10025,10102,10012,10050,9900,=AVERAGE(M17:T17),
3,233.072,227.024,227.808,230.16,230.048,220.976,219.52,215.712,1804.32,11.2825,16.0051,10054,9692,10329,10145,9894,10321,10044,10426,=AVERAGE(M18:T18),
3.1,220.416,222.88,227.248,230.384,224,226.128,233.184,227.696,1811.94,10.8871,16.0676,10439,10142,10444,10255,10261,10377,9931,10014,=AVERAGE(M19:T19),
3.2,227.472,229.936,215.824,220.64,225.456,224.448,225.12,231.84,1800.74,10.4728,16.1237,10284,9758,10512,10614,10259,10129,10178,10088,=AVERAGE(M20:T20),
3.3,229.824,224.336,233.408,227.36,230.496,221.872,217.168,221.536,1806,10.0394,16.1731,10227,10374,10028,10017,10135,10138,10298,10403,=AVERAGE(M21:T21),
3.4,221.312,226.352,220.752,220.64,227.584,226.576,233.408,230.832,1807.46,9.58644,16.2156,9929,9803,10264,10502,9958,10338,9670,10202,=AVERAGE(M22:T22),
3.5,222.768,229.712,223.888,228.368,226.464,229.488,220.192,221.872,1802.75,9.1135,16.2511,10157,9701,10016,10084,10010,10017,10199,9980,=AVERAGE(M23:T23),
3.6,222.656,224,224.896,222.768,219.072,231.056,227.248,230.608,1802.3,8.62008,16.2793,10253,10025,10053,9844,10047,9963,10185,10197,=AVERAGE(M24:T24),
3.7,224.448,228.816,218.736,219.408,227.696,211.344,222.208,226.016,1778.67,8.10579,16.2999,10238,10113,10064,9880,10100,10115,10145,9884,=AVERAGE(M25:T25),
3.8,223.216,214.032,227.584,232.736,224.672,237.216,220.304,217.84,1797.6,7.57028,16.3127,10128,10085,9919,9989,9788,10064,9951,9914,=AVERAGE(M26:T26),
3.9,230.832,220.864,221.536,222.096,223.44,214.032,233.52,231.84,1798.16,7.01304,16.3175,9983,9937,10227,10334,9784,10368,9699,9708,=AVERAGE(M27:T27),
4,213.472,229.04,224.56,222.768,228.816,220.304,221.536,214.816,1775.31,6.43363,16.3141,9478,10305,10427,10105,10208,10250,10028,10098,=AVERAGE(M28:T28),
4.1,237.552,230.16,226.24,221.088,221.76,226.016,224.224,226.464,1813.5,5.83168,16.3021,9930,10083,10102,10006,10116,9969,9964,10162,=AVERAGE(M29:T29),
4.2,0.672,19.936,17.472,22.288,27.552,25.872,32.256,8.512,154.56,7.23406,13.572,10527,12877,11251,12447,13317,12895,12923,12683,=AVERAGE(M30:T30),
4.3,233.744,212.8,233.856,221.424,205.296,218.736,207.76,234.304,1767.92,7.24958,13.572,24395,26242,24010,25442,27151,25853,26737,24625,=AVERAGE(M31:T31),
4.4,226.128,227.024,224.224,227.248,219.632,225.568,219.072,218.064,1786.96,7.99614,13.297,10126,9683,10271,9854,10604,10217,10615,10454,=AVERAGE(M32:T32),
4.5,228.032,226.24,218.064,224.224,223.888,225.456,232.512,225.792,1804.21,8.70792,13.0061,10096,10279,10069,10008,9846,9771,9734,9965,=AVERAGE(M33:T33),
4.6,213.472,223.664,227.696,226.464,236.432,222.32,223.552,232.176,1805.78,9.41415,12.6989,10288,9825,9985,10035,10201,10390,10070,10238,=AVERAGE(M34:T34),
4.7,230.832,216.496,228.928,219.856,214.032,233.072,222.768,223.664,1789.65,10.0992,12.375,10114,10392,10289,10032,10384,10105,10223,9709,=AVERAGE(M35:T35),
4.8,221.76,228.816,226.912,237.664,227.696,222.208,229.264,221.088,1815.41,10.7627,12.034,10317,9817,9853,9892,9874,9440,10353,10131,=AVERAGE(M36:T36),
4.9,230.048,226.688,223.104,216.608,229.488,231.28,216.16,232.064,1805.44,11.4041,11.6755,9716,10364,9865,9851,9943,9825,9826,9829,=AVERAGE(M37:T37),
5,221.312,228.368,224.448,228.368,227.36,216.72,232.512,218.512,1797.6,12.0229,11.2991,9803,9998,9567,9439,10007,9604,9807,9580,=AVERAGE(M38:T38),
5.1,229.936,216.272,222.656,235.984,221.536,229.264,223.552,225.008,1804.21,12.6187,10.9044,10300,10446,10190,9971,10394,10119,10048,10315,=AVERAGE(M39:T39),
5.2,224.896,231.28,228.592,217.616,228.144,228.928,222.88,227.472,1809.81,13.1911,10.491,9747,9816,10169,9765,10273,10037,9925,10073,=AVERAGE(M40:T40),
5.3,222.992,221.2,224.224,227.136,229.376,220.864,228.368,222.88,1797.04,13.7397,10.0584,9716,10204,9782,9937,9840,10185,10005,9972,=AVERAGE(M41:T41),
5.4,223.664,227.36,232.736,224.336,221.872,225.792,221.312,222.992,1800.06,14.264,9.60632,10508,10415,10282,10338,9944,9821,10320,10464,=AVERAGE(M42:T42),
5.5,222.208,227.584,215.04,226.912,228.032,228.48,222.208,230.608,1801.07,14.7636,9.13422,10015,9930,10170,10125,10115,10049,10098,10189,=AVERAGE(M43:T43),
5.6,226.464,222.208,234.192,228.368,223.888,222.096,232.4,219.52,1809.14,15.2382,8.64172,9871,9906,9959,9778,9905,9824,10055,9957,=AVERAGE(M44:T44),
5.7,230.16,224.56,218.96,230.384,222.88,224.672,223.104,231.616,1806.34,15.6874,8.12834,10124,9749,10072,9696,9898,9540,9903,9960,=AVERAGE(M45:T45),
5.8,222.32,227.92,226.576,216.496,223.328,224.56,230.608,227.696,1799.5,16.1108,7.59374,9859,10216,10440,10235,10071,10198,9766,9654,=AVERAGE(M46:T46),
5.9,226.016,227.92,226.576,226.576,221.76,226.128,228.032,216.16,1799.17,16.5081,7.03743,9703,9978,9610,10321,10297,10004,9877,10214,=AVERAGE(M47:T47),
6,232.624,224,229.712,229.936,221.2,229.488,229.824,228.704,1825.49,16.8791,6.45904,9943,9976,9834,9572,10006,9937,9887,9741,=AVERAGE(M48:T48),
6.1,17.136,31.136,33.6,17.36,37.632,20.048,17.36,30.688,204.96,18.4098,5.80459,10072,10672,10086,10673,10444,10202,10116,10068,=AVERAGE(M49:T49),
6.2,205.296,183.904,179.424,198.576,169.344,199.36,191.856,188.384,1516.14,17.8145,7.67851,27041,30643,30911,28461,32887,28293,29594,29693,=AVERAGE(M50:T50),
6.3,228.928,223.664,230.048,226.016,227.92,222.096,225.456,231.168,1815.3,17.5229,8.41368,10118,10010,9951,10053,9530,10576,10033,9719,=AVERAGE(M51:T51),
6.4,219.52,229.04,218.064,226.464,227.248,228.48,222.992,227.36,1799.17,17.2041,9.12842,9849,9433,9746,9731,9784,10522,10216,9590,=AVERAGE(M52:T52),
6.5,223.664,221.312,231.504,218.4,225.232,217.392,227.36,222.88,1787.74,16.8583,9.82215,10067,10143,10048,10226,10200,10125,10054,10228,=AVERAGE(M53:T53),
6.6,223.328,227.024,224.56,224.56,219.296,224.448,223.888,232.288,1799.39,16.4858,10.4945,9831,10277,10127,10167,10144,10068,10148,10133,=AVERAGE(M54:T54),
6.7,229.152,213.136,234.64,233.968,232.736,224.448,227.584,214.928,1810.59,16.0869,11.1449,9716,9939,9744,9635,9965,10131,10276,9975,=AVERAGE(M55:T55),
6.8,225.232,240.128,213.136,226.464,221.648,220.864,217.616,235.536,1800.62,15.662,11.773,9750,9438,9680,9334,10288,10031,10164,9926,=AVERAGE(M56:T56),
6.9,221.872,215.04,237.888,217.056,227.36,236.32,231.84,219.632,1807.01,15.2113,12.3783,9530,9694,10159,9583,10227,10205,10233,10024,=AVERAGE(M57:T57),
7,233.968,235.872,224.896,229.152,217.056,218.176,219.072,230.272,1808.46,14.7353,12.9603,9805,10010,9873,9656,10165,10004,9836,9928,=AVERAGE(M58:T58),
7.1,225.008,216.944,213.696,225.904,230.608,223.104,239.456,219.072,1793.79,14.2342,13.5187,10104,10407,9782,10241,9865,9553,10042,9839,=AVERAGE(M59:T59),
7.2,219.632,237.664,224.336,223.104,218.624,230.72,219.968,221.76,1795.81,13.7085,14.0529,9891,10064,10183,10267,9994,10140,10044,10206,=AVERAGE(M60:T60),
7.3,229.6,219.52,236.656,231.056,223.552,221.984,225.68,228.592,1816.64,13.1585,14.5627,10064,9969,9980,10376,10152,10310,10091,10368,=AVERAGE(M61:T61),
7.4,225.904,234.752,226.24,221.76,223.328,225.568,226.24,222.992,1806.78,12.5847,15.0475,9741,9720,9851,9877,10182,10071,9895,9876,=AVERAGE(M62:T62),
7.5,226.016,218.96,222.096,229.936,226.016,228.816,221.872,231.504,1805.22,11.9875,15.5071,10112,10260,10271,9878,10166,10455,10255,10161,=AVERAGE(M63:T63),
7.6,229.264,227.36,226.016,223.104,230.832,226.352,232.288,218.736,1813.95,11.3674,15.9411,10273,9968,10204,10177,9811,9790,9802,10158,=AVERAGE(M64:T64),
7.7,224.672,227.808,228.48,220.192,226.128,225.008,222.432,219.968,1794.69,10.7248,16.3491,9946,10359,10249,10149,9634,10108,9903,10140,=AVERAGE(M65:T65),
7.8,230.384,222.88,221.088,226.576,223.888,224.56,225.12,223.888,1798.38,10.06,16.7309,10239,10274,10089,10085,9889,10451,10190,10560,=AVERAGE(M66:T66),
7.9,209.776,219.744,217.392,224.672,225.568,229.376,219.632,223.328,1769.49,9.37367,17.086,9908,10187,10120,9933,10176,9958,10027,9925,=AVERAGE(M67:T67),
8,236.432,221.424,233.856,226.352,215.488,211.568,227.696,230.944,1803.76,8.66629,17.4144,10216,9852,10327,9976,9995,9993,10030,10234,=AVERAGE(M68:T68),
8.1,217.952,224.448,205.296,226.688,232.064,239.792,223.776,215.712,1785.73,7.93817,17.7156,10093,9643,10043,10400,10152,10124,10380,10310,=AVERAGE(M69:T69),
8.2,201.376,204.064,202.16,194.768,210.448,208.656,183.232,196.336,1601.04,7.19003,17.9894,10754,10864,11316,11616,10903,10916,12198,11591,=AVERAGE(M70:T70),
8.3,221.088,215.264,239.568,227.36,222.096,214.928,223.552,233.52,1797.38,6.42215,18.2356,10480,9963,10310,10267,10030,9947,10248,10210,=AVERAGE(M71:T71),
8.4,17.584,23.408,15.344,19.376,21.728,19.488,21.392,19.264,157.584,7.03269,16.5113,12376,13893,10738,12257,12809,11530,14247,12318,=AVERAGE(M72:T72),
8.5,207.2,205.52,167.888,189.616,178.192,191.744,204.4,181.104,1525.66,7.5892,16.1142,27760,28055,34335,30380,32390,30508,28326,31977,=AVERAGE(M73:T73),
8.6,223.104,215.152,229.712,229.152,221.536,225.232,232.4,226.464,1802.75,7.60004,16.1142,10021,10098,9736,10098,10531,9930,10158,10221,=AVERAGE(M74:T74),
8.7,224.896,227.696,226.8,223.44,221.76,229.712,215.936,226.352,1796.59,8.12399,15.691,9933,10121,9887,10259,10098,9716,9995,10265,=AVERAGE(M75:T75),
8.8,215.936,227.472,228.704,229.936,226.128,219.52,230.272,224.56,1802.53,8.63753,15.242,10304,9681,9933,10327,10298,10337,9688,10307,=AVERAGE(M76:T76),
8.9,227.36,230.832,218.96,227.584,224.896,218.624,219.408,236.432,1804.1,9.13021,14.7677,10317,9732,10148,10514,10061,10170,10022,9579,=AVERAGE(M77:T77),
9,231.28,218.4,228.48,220.08,231.392,231.392,233.856,218.96,1813.84,9.60249,14.2682,9959,10077,10302,9971,9921,9842,9708,9646,=AVERAGE(M78:T78),
9.1,215.04,227.584,227.584,227.248,226.128,228.144,217.28,223.216,1792.22,10.0548,13.7441,9941,10160,10353,10337,10085,9794,10106,10223,=AVERAGE(M79:T79),
9.2,227.696,225.344,222.768,225.344,224.56,221.872,228.032,235.424,1811.04,10.4875,13.1958,10188,9837,9876,10021,10277,9880,10050,10312,=AVERAGE(M80:T80),
9.3,222.656,225.68,223.776,226.128,226.128,226.912,229.936,222.096,1803.31,10.9011,12.6236,10079,10334,10004,10074,10040,9652,9960,9952,=AVERAGE(M81:T81),
9.4,229.152,224,228.144,226.24,227.024,221.536,228.704,222.208,1807.01,11.2959,12.0279,10006,9858,10072,10204,10019,10359,10004,10234,=AVERAGE(M82:T82),
9.5,221.2,229.152,220.192,232.736,224.896,229.376,219.968,231.952,1809.47,11.6725,11.4093,10268,9854,10178,10131,10449,10137,10102,9946,=AVERAGE(M83:T83),
9.6,219.072,228.704,230.272,220.416,226.464,229.152,223.328,224,1801.41,12.0311,10.7681,10329,9519,9276,9431,9820,9810,9936,9964,=AVERAGE(M84:T84),
9.7,226.688,223.664,229.936,226.016,223.216,222.992,238,219.296,1809.81,12.3722,10.1048,9862,10013,10160,10139,9936,10151,10045,10163,=AVERAGE(M85:T85),
9.8,222.208,228.368,230.16,228.48,225.232,230.608,213.696,223.552,1802.3,12.6963,9.41991,10143,10246,9751,9892,9681,10078,10098,10079,=AVERAGE(M86:T86),
9.9,224.672,227.696,219.968,223.328,225.344,225.68,222.432,225.344,1794.46,13.0036,8.71387,10378,10310,9755,9765,10217,10203,10110,10388,=AVERAGE(M87:T87),
10,230.496,225.12,220.08,224.448,225.68,219.184,226.016,227.808,1798.83,13.2946,7.98718,9897,9800,10233,10073,9875,10083,9369,10058,=AVERAGE(M88:T88),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(J7:J88)
