Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,14.394,15.0139,0,0,0,=AVERAGE(H2:J2),
1.5,57.232,45.472,28.56,131.264,14.394,15.0139,57285,69732,73916,=AVERAGE(H3:J3),
1.6,283.36,289.072,294.672,867.104,14.394,15.0139,5746,6059,9658,=AVERAGE(H4:J4),
1.7,296.24,298.592,297.36,892.192,14.394,15.0139,5543,5528,5537,=AVERAGE(H5:J5),
1.8,296.912,296.912,298.032,891.856,14.394,15.0139,5547,5548,5539,=AVERAGE(H6:J6),
1.9,296.016,297.136,297.92,891.072,14.394,15.0139,5550,5547,5543,=AVERAGE(H7:J7),
2,296.352,297.696,296.464,890.512,14.2957,15.0676,5554,5532,5560,=AVERAGE(H8:J8),
2.1,297.36,295.792,298.032,891.184,14.0656,15.1842,5545,5557,5534,=AVERAGE(H9:J9),
2.2,295.904,297.808,296.464,890.176,13.8206,15.2962,5548,5527,5542,=AVERAGE(H10:J10),
2.3,297.696,296.24,298.928,892.864,13.5605,15.4034,5526,5538,5531,=AVERAGE(H11:J11),
2.4,298.48,298.48,296.464,893.424,13.2848,15.5056,5538,5529,5553,=AVERAGE(H12:J12),
2.5,296.016,296.688,298.032,890.736,12.9932,15.6027,5536,5554,5525,=AVERAGE(H13:J13),
2.6,296.688,296.912,296.24,889.84,12.6853,15.6945,5553,5535,5549,=AVERAGE(H14:J14),
2.7,297.808,297.024,296.24,891.072,12.3607,15.7808,5536,5545,5555,=AVERAGE(H15:J15),
2.8,297.696,296.688,296.352,890.736,12.019,15.8615,5541,5550,5557,=AVERAGE(H16:J16),
2.9,297.584,298.144,296.016,891.744,11.6597,15.9363,5540,5539,5551,=AVERAGE(H17:J17),
3,296.24,297.472,296.576,890.288,11.2826,16.0051,5548,5531,5545,=AVERAGE(H18:J18),
3.1,296.8,297.696,299.04,893.536,10.887,16.0676,5536,5530,5531,=AVERAGE(H19:J19),
3.2,295.904,297.136,296.912,889.952,10.4728,16.1237,5553,5546,5538,=AVERAGE(H20:J20),
3.3,297.248,297.92,297.248,892.416,10.0394,16.1731,5538,5527,5552,=AVERAGE(H21:J21),
3.4,297.584,296.24,298.368,892.192,9.58646,16.2156,5549,5552,5524,=AVERAGE(H22:J22),
3.5,298.144,297.248,297.248,892.64,9.11347,16.2511,5533,5556,5558,=AVERAGE(H23:J23),
3.6,299.264,297.248,297.024,893.536,8.62006,16.2793,5523,5525,5546,=AVERAGE(H24:J24),
3.7,296.688,299.6,297.696,893.984,8.10584,16.2999,5557,5523,5541,=AVERAGE(H25:J25),
3.8,298.928,299.712,299.04,897.68,7.57026,16.3127,5518,5546,5566,=AVERAGE(H26:J26),
3.9,298.816,296.464,297.472,892.752,7.01303,16.3175,5548,5550,5548,=AVERAGE(H27:J27),
4,296.24,297.248,296.016,889.504,6.43368,16.3141,5559,5515,5558,=AVERAGE(H28:J28),
4.1,295.12,296.688,293.44,885.248,5.83174,16.3021,5552,5557,5547,=AVERAGE(H29:J29),
4.2,21.392,21.28,22.848,65.52,7.23397,13.572,5567,5568,5613,=AVERAGE(H30:J30),
4.3,297.808,291.872,285.824,875.504,7.24912,13.572,16820,17343,17797,=AVERAGE(H31:J31),
4.4,294.784,296.464,297.136,888.384,7.98106,13.297,5564,5554,5557,=AVERAGE(H32:J32),
4.5,296.8,299.6,298.256,894.656,8.70793,13.0061,5544,5506,5531,=AVERAGE(H33:J33),
4.6,296.352,296.8,297.248,890.4,9.41415,12.6989,5552,5564,5532,=AVERAGE(H34:J34),
4.7,297.92,296.24,296.24,890.4,10.0992,12.375,5539,5546,5571,=AVERAGE(H35:J35),
4.8,296.24,296.688,297.584,890.512,10.7627,12.034,5553,5565,5529,=AVERAGE(H36:J36),
4.9,295.904,297.584,296.912,890.4,11.404,11.6755,5544,5525,5580,=AVERAGE(H37:J37),
5,296.24,296.8,298.48,891.52,12.0229,11.2991,5539,5550,5510,=AVERAGE(H38:J38),
5.1,297.472,297.696,297.136,892.304,12.6187,10.9045,5539,5549,5535,=AVERAGE(H39:J39),
5.2,295.792,296.8,297.696,890.288,13.1911,10.491,5572,5547,5570,=AVERAGE(H40:J40),
5.3,298.144,296.576,296.128,890.848,13.7397,10.0585,5544,5550,5533,=AVERAGE(H41:J41),
5.4,297.472,297.248,297.136,891.856,14.264,9.60631,5549,5558,5539,=AVERAGE(H42:J42),
5.5,295.456,296.8,297.808,890.064,14.7636,9.13421,5555,5527,5548,=AVERAGE(H43:J43),
5.6,297.808,296.912,297.92,892.64,15.2382,8.64172,5531,5578,5558,=AVERAGE(H44:J44),
5.7,296.912,297.808,296.8,891.52,15.6873,8.12836,5543,5512,5528,=AVERAGE(H45:J45),
5.8,298.256,298.144,296.688,893.088,16.1108,7.59376,5519,5527,5542,=AVERAGE(H46:J46),
5.9,299.04,297.584,295.344,891.968,16.5081,7.03741,5537,5543,5600,=AVERAGE(H47:J47),
