Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,=AVERAGE(J2:N2),
1.5,47.152,53.872,28.56,28.56,28.56,186.704,14.394,15.0139,67150,60784,73894,74420,75044,=AVERAGE(J3:N3),
1.6,282.24,272.72,289.744,284.48,280.336,1409.52,14.394,15.0139,6804,6637,10457,10610,10903,=AVERAGE(J4:N4),
1.7,293.776,290.08,290.864,296.016,290.64,1461.38,14.394,15.0139,6434,6461,6452,6389,6447,=AVERAGE(J5:N5),
1.8,293.552,288.848,290.528,291.424,294.672,1459.02,14.394,15.0139,6358,6438,6443,6434,6455,=AVERAGE(J6:N6),
1.9,294.448,293.888,293.328,290.64,288.736,1461.04,14.394,15.0139,6413,6445,6443,6477,6457,=AVERAGE(J7:N7),
2,293.664,292.992,294.672,290.192,290.192,1461.71,14.2957,15.0676,6452,6395,6414,6416,6422,=AVERAGE(J8:N8),
2.1,293.216,291.536,289.744,289.744,294.336,1458.58,14.0656,15.1842,6410,6414,6424,6452,6408,=AVERAGE(J9:N9),
2.2,289.632,294.784,290.64,293.888,292.096,1461.04,13.8206,15.2962,6467,6383,6453,6423,6435,=AVERAGE(J10:N10),
2.3,289.296,289.856,292.32,291.2,292.88,1455.55,13.5605,15.4034,6514,6528,6398,6491,6478,=AVERAGE(J11:N11),
2.4,295.68,289.52,291.984,293.44,292.768,1463.39,13.2848,15.5056,6346,6411,6425,6422,6398,=AVERAGE(J12:N12),
2.5,292.992,293.552,290.528,291.536,295.792,1464.4,12.9932,15.6027,6392,6400,6433,6408,6319,=AVERAGE(J13:N13),
2.6,290.304,290.192,289.072,294.896,292.656,1457.12,12.6853,15.6945,6480,6447,6487,6379,6435,=AVERAGE(J14:N14),
2.7,289.072,293.216,292.32,292.32,292.88,1459.81,12.3607,15.7809,6480,6448,6465,6407,6468,=AVERAGE(J15:N15),
2.8,292.88,293.552,291.872,295.344,288.288,1461.94,12.019,15.8615,6417,6404,6427,6408,6414,=AVERAGE(J16:N16),
2.9,291.312,288.288,293.328,290.528,292.432,1455.89,11.6597,15.9363,6424,6454,6408,6409,6428,=AVERAGE(J17:N17),
3,289.072,294.112,294.336,291.984,292.096,1461.6,11.2825,16.0051,6476,6453,6351,6461,6397,=AVERAGE(J18:N18),
3.1,295.568,291.312,290.528,288.848,291.872,1458.13,10.8871,16.0676,6403,6416,6405,6422,6417,=AVERAGE(J19:N19),
3.2,295.232,288.96,294.224,294.56,290.976,1463.95,10.4728,16.1237,6399,6411,6409,6416,6477,=AVERAGE(J20:N20),
3.3,289.408,297.696,290.08,294.896,293.44,1465.52,10.0394,16.1731,6417,6372,6392,6390,6372,=AVERAGE(J21:N21),
3.4,290.64,289.296,292.32,293.328,293.776,1459.36,9.58647,16.2156,6508,6491,6478,6446,6466,=AVERAGE(J22:N22),
3.5,289.072,292.32,295.232,290.976,290.528,1458.13,9.11348,16.2511,6536,6485,6427,6523,6399,=AVERAGE(J23:N23),
3.6,292.096,294.224,293.552,292.208,296.464,1468.54,8.62009,16.2793,6414,6440,6389,6436,6372,=AVERAGE(J24:N24),
3.7,297.248,296.352,296.912,296.128,295.792,1482.43,8.10581,16.2999,6461,6352,6494,6415,6487,=AVERAGE(J25:N25),
3.8,291.312,294,290.416,289.968,291.984,1457.68,7.57029,16.3127,6340,6318,6351,6403,6347,=AVERAGE(J26:N26),
3.9,294.672,296.688,292.544,293.216,286.608,1463.73,7.01303,16.3175,6466,6368,6451,6460,6384,=AVERAGE(J27:N27),
4,288.512,295.456,288.4,283.92,291.424,1447.71,6.43368,16.3141,6347,6324,6333,6384,6376,=AVERAGE(J28:N28),
