Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,16.1833,10.8819,0,0,0,=AVERAGE(H2:J2),
1.5,57.232,48.048,28.56,133.84,16.1833,10.8819,57017,66867,73831,=AVERAGE(H3:J3),
1.6,280.784,286.272,295.68,862.736,16.1833,10.8819,5796,5997,9628,=AVERAGE(H4:J4),
1.7,295.456,297.92,295.792,889.168,16.1833,10.8819,5554,5550,5545,=AVERAGE(H5:J5),
1.8,298.816,296.24,296.912,891.968,16.1833,10.8819,5528,5554,5548,=AVERAGE(H6:J6),
1.9,296.576,297.584,297.808,891.968,16.1833,10.8819,5550,5562,5535,=AVERAGE(H7:J7),
2,297.024,297.024,296.688,890.736,16.3097,11.7277,5553,5549,5560,=AVERAGE(H8:J8),
2.1,296.016,298.48,296.8,891.296,15.9825,13.4635,5553,5539,5552,=AVERAGE(H9:J9),
2.2,297.248,296.352,297.696,891.296,14.5863,14.9015,5541,5559,5539,=AVERAGE(H10:J10),
2.3,296.352,298.144,296.016,890.512,11.7919,15.9099,5551,5553,5561,=AVERAGE(H11:J11),
2.4,256.704,256.256,256.48,769.44,6.59847,16.3159,5567,5563,5557,=AVERAGE(H12:J12),
2.5,0,0,0,0,6.87199,13.6971,0,0,0,=AVERAGE(H13:J13),
2.6,174.608,168.56,163.072,506.24,16.9443,6.35767,32193,33636,35008,=AVERAGE(H14:J14),
2.7,195.552,187.6,181.888,565.04,18.0955,6.87199,16815,17778,18476,=AVERAGE(H15:J15),
2.8,225.008,222.32,222.656,669.984,6.77921,18.1261,5570,5599,5549,=AVERAGE(H16:J16),
2.9,0,0,0,0,6.39803,16.9157,0,0,0,=AVERAGE(H17:J17),
3,0,0,0,0,13.7445,6.74737,0,0,0,=AVERAGE(H18:J18),
3.1,0,0,0,0,16.3136,6.39803,0,0,0,=AVERAGE(H19:J19),
3.2,0,0,0,0,13.8152,15.7737,0,0,0,=AVERAGE(H20:J20),
3.3,1.232,0,0,1.232,12.0224,16.3173,520618,0,0,=AVERAGE(H21:J21),
3.4,1.456,0,0,1.456,11.8398,16.315,529819,0,0,=AVERAGE(H22:J22),
3.5,0,0,0,0,11.655,16.3046,0,0,0,=AVERAGE(H23:J23),
3.6,0,0,0,0,11.4684,16.2864,0,0,0,=AVERAGE(H24:J24),
3.7,0,0,0,0,11.28,16.2605,0,0,0,=AVERAGE(H25:J25),
3.8,0,0,0,0,11.2554,16.2566,0,0,0,=AVERAGE(H26:J26),
3.9,0,209.104,203.392,412.496,11.2554,16.2566,0,195935,201520,=AVERAGE(H27:J27),
4,0,298.928,298.704,597.632,11.2554,16.2566,0,5370,5376,=AVERAGE(H28:J28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(E7:E28)
