Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,16.1833,10.8819,0,0,0,=AVERAGE(H2:J2),
1.5,57.232,42.224,28.56,128.016,16.1833,10.8819,57075,73334,73939,=AVERAGE(H3:J3),
1.6,280.896,288.4,295.456,864.752,16.1833,10.8819,5782,6340,9631,=AVERAGE(H4:J4),
1.7,298.256,296.352,296.24,890.848,16.1833,10.8819,5530,5546,5559,=AVERAGE(H5:J5),
1.8,297.92,296.912,299.712,894.544,16.1833,10.8819,5525,5545,5518,=AVERAGE(H6:J6),
1.9,299.264,297.136,295.792,892.192,16.1833,10.8819,5526,5538,5549,=AVERAGE(H7:J7),
2,296.576,297.584,296.464,890.624,16.3097,11.7278,5546,5534,5551,=AVERAGE(H8:J8),
2.1,296.128,298.032,296.8,890.96,15.9825,13.4635,5544,5536,5544,=AVERAGE(H9:J9),
2.2,297.024,298.368,296.128,891.52,14.5863,14.9015,5543,5527,5550,=AVERAGE(H10:J10),
2.3,296.352,296.688,298.256,891.296,11.7922,15.9099,5545,5545,5540,=AVERAGE(H11:J11),
2.4,259.84,260.064,262.192,782.096,6.59847,16.3159,5557,5589,5579,=AVERAGE(H12:J12),
2.5,0,0,0,0,6.87199,13.6971,0,0,0,=AVERAGE(H13:J13),
2.6,180.432,174.832,169.232,524.496,16.9437,6.35896,30885,32101,33301,=AVERAGE(H14:J14),
2.7,0,0,0,0,18.0955,6.87199,0,0,0,=AVERAGE(H15:J15),
2.8,187.264,181.328,176.064,544.656,6.77738,18.1253,32732,33994,35374,=AVERAGE(H16:J16),
2.9,198.24,188.72,183.904,570.864,6.39803,16.9157,16037,16995,17649,=AVERAGE(H17:J17),
3,37.52,38.192,43.344,119.056,13.742,6.74737,75012,75505,64511,=AVERAGE(H18:J18),
3.1,0,0,0,0,16.3136,6.39803,0,0,0,=AVERAGE(H19:J19),
3.2,294.224,281.568,286.272,862.064,13.8152,15.774,19925,20862,20565,=AVERAGE(H20:J20),
3.3,299.264,298.032,296.688,893.984,12.0224,16.3173,5516,5537,5546,=AVERAGE(H21:J21),
3.4,297.584,298.256,296.24,892.08,11.8398,16.315,5556,5527,5545,=AVERAGE(H22:J22),
3.5,296.576,298.256,296.8,891.632,11.6551,16.3046,5544,5527,5553,=AVERAGE(H23:J23),
3.6,298.592,297.808,296.912,893.312,11.4685,16.2864,5516,5530,5529,=AVERAGE(H24:J24),
3.7,297.92,297.696,298.032,893.648,11.28,16.2605,5543,5558,5550,=AVERAGE(H25:J25),
3.8,299.152,298.928,299.712,897.792,11.2554,16.2566,5550,5544,5531,=AVERAGE(H26:J26),
3.9,296.352,296.576,297.248,890.176,11.2554,16.2566,5533,5548,5539,=AVERAGE(H27:J27),
4,297.024,296.352,298.144,891.52,11.2554,16.2566,5561,5548,5543,=AVERAGE(H28:J28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(E7:E28)
