Time [s],User1_Tput(Mbps),User2_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),Avg_latency(µs),
1.4,0,0,0,14.394,15.0139,0,0,=AVERAGE(G2:H2),
1.5,57.232,39.312,96.544,14.394,15.0139,57111,75360,=AVERAGE(G3:H3),
1.6,284.368,298.928,583.296,14.394,15.0139,5620,6454,=AVERAGE(G4:H4),
1.7,298.48,299.712,598.192,14.394,15.0139,5377,5367,=AVERAGE(G5:H5),
1.8,298.592,299.264,597.856,14.394,15.0139,5379,5373,=AVERAGE(G6:H6),
1.9,298.704,298.144,596.848,14.394,15.0139,5379,5382,=AVERAGE(G7:H7),
2,298.256,298.928,597.184,14.2957,15.0676,5381,5383,=AVERAGE(G8:H8),
2.1,298.48,299.712,598.192,14.0656,15.1842,5379,5366,=AVERAGE(G9:H9),
2.2,298.816,299.152,597.968,13.8206,15.2962,5382,5375,=AVERAGE(G10:H10),
2.3,297.92,298.704,596.624,13.5605,15.4034,5380,5383,=AVERAGE(G11:H11),
2.4,299.6,297.808,597.408,13.2848,15.5056,5368,5375,=AVERAGE(G12:H12),
2.5,297.92,299.264,597.184,12.9932,15.6027,5380,5378,=AVERAGE(G13:H13),
2.6,298.144,299.824,597.968,12.6853,15.6945,5385,5369,=AVERAGE(G14:H14),
2.7,299.152,298.256,597.408,12.3607,15.7808,5368,5374,=AVERAGE(G15:H15),
2.8,297.92,299.712,597.632,12.019,15.8615,5384,5371,=AVERAGE(G16:H16),
2.9,299.04,299.04,598.08,11.6597,15.9363,5374,5380,=AVERAGE(G17:H17),
3,298.256,299.264,597.52,11.2826,16.0051,5383,5362,=AVERAGE(G18:H18),
3.1,298.704,297.808,596.512,10.8871,16.0676,5371,5390,=AVERAGE(G19:H19),
3.2,299.936,298.928,598.864,10.4728,16.1237,5375,5379,=AVERAGE(G20:H20),
3.3,297.92,299.04,596.96,10.0394,16.1731,5388,5377,=AVERAGE(G21:H21),
3.4,298.816,298.256,597.072,9.58647,16.2156,5364,5386,=AVERAGE(G22:H22),
3.5,299.04,298.256,597.296,9.1135,16.2511,5385,5369,=AVERAGE(G23:H23),
3.6,298.368,298.368,596.736,8.62006,16.2793,5374,5378,=AVERAGE(G24:H24),
3.7,299.04,298.48,597.52,8.10582,16.2999,5371,5397,=AVERAGE(G25:H25),
