Time [s],User1_Tput(Mbps),User2_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),Avg_latency(µs),
1.4,0,0,0,16.1833,10.8819,0,0,=AVERAGE(G2:H2),
1.5,57.232,39.312,96.544,16.1833,10.8819,56989,76393,=AVERAGE(G3:H3),
1.6,284.144,293.664,577.808,16.1833,10.8819,5619,6446,=AVERAGE(G4:H4),
1.7,298.368,298.592,596.96,16.1833,10.8819,5376,5387,=AVERAGE(G5:H5),
1.8,298.48,298.256,596.736,16.1833,10.8819,5377,5383,=AVERAGE(G6:H6),
1.9,300.048,298.704,598.752,16.1833,10.8819,5367,5383,=AVERAGE(G7:H7),
2,298.592,298.48,597.072,16.3097,11.7279,5376,5388,=AVERAGE(G8:H8),
2.1,299.376,298.48,597.856,15.9825,13.4635,5373,5381,=AVERAGE(G9:H9),
2.2,298.48,298.816,597.296,14.5863,14.9015,5376,5385,=AVERAGE(G10:H10),
2.3,298.816,298.032,596.848,11.792,15.9099,5373,5391,=AVERAGE(G11:H11),
2.4,261.968,261.52,523.488,6.59847,16.3159,5402,5394,=AVERAGE(G12:H12),
2.5,0,0,0,6.87199,13.6971,0,0,=AVERAGE(G13:H13),
2.6,184.688,215.488,400.176,16.9437,6.35819,29673,24505,=AVERAGE(G14:H14),
2.7,195.888,189.168,385.056,18.0955,6.87199,16700,17461,=AVERAGE(G15:H15),
2.8,223.216,223.216,446.432,6.77921,18.1253,5376,5393,=AVERAGE(G16:H16),
2.9,199.92,192.08,392,6.39803,16.9157,15834,16612,=AVERAGE(G17:H17),
3,246.288,246.624,492.912,13.742,6.74737,5394,5400,=AVERAGE(G18:H18),
3.1,0,0,0,16.3136,6.39803,0,0,=AVERAGE(G19:H19),
3.2,299.264,292.208,591.472,13.8152,15.7739,19711,20326,=AVERAGE(G20:H20),
3.3,299.6,298.368,597.968,12.0224,16.3173,5373,5395,=AVERAGE(G21:H21),
3.4,299.6,298.704,598.304,11.8398,16.315,5365,5384,=AVERAGE(G22:H22),
3.5,299.264,298.256,597.52,11.6551,16.3046,5377,5382,=AVERAGE(G23:H23),
3.6,299.6,297.92,597.52,11.4685,16.2864,5363,5400,=AVERAGE(G24:H24),
3.7,298.592,298.704,597.296,11.28,16.2605,5386,5374,=AVERAGE(G25:H25),
3.8,300.272,299.712,599.984,11.2554,16.2566,5365,5383,=AVERAGE(G26:H26),
3.9,297.808,299.6,597.408,11.2554,16.2566,5392,5391,=AVERAGE(G27:H27),
4,298.704,298.032,596.736,11.2554,16.2566,5371,5389,=AVERAGE(G28:H28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(D7:D28)
