Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),User8_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),User8_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,0,0,0,=AVERAGE(M2:T2),
1.5,57.232,49.616,28.56,28.56,28.56,28.56,28.56,28.56,278.208,16.1833,10.8819,57181,65197,73754,74476,75015,76118,75590,76672,=AVERAGE(M3:T3),
1.6,212.8,214.032,230.16,232.96,228.256,215.04,220.64,204.064,1757.95,16.1833,10.8819,9396,9372,13925,14002,14554,15511,15225,16273,=AVERAGE(M4:T4),
1.7,220.304,236.32,224.672,219.968,220.528,227.696,227.024,228.032,1804.54,16.1833,10.8819,9704,9744,10406,10286,10531,9846,10239,10182,=AVERAGE(M5:T5),
1.8,230.272,215.488,220.976,226.464,228.368,232.624,227.136,221.536,1802.86,16.1833,10.8819,10161,10071,10020,9989,9950,10050,9786,10105,=AVERAGE(M6:T6),
1.9,221.2,230.944,221.984,223.664,227.92,221.312,224.336,228.144,1799.5,16.1833,10.8819,9915,9659,10052,10459,10231,9918,10295,10110,=AVERAGE(M7:T7),
2,231.504,224.56,226.016,220.192,226.24,219.744,228.48,227.808,1804.54,16.3097,11.7279,9553,9805,9707,10694,9719,9952,10450,9859,=AVERAGE(M8:T8),
2.1,223.888,229.712,228.816,225.568,218.96,230.496,219.52,228.144,1805.1,15.9825,13.4636,10210,10270,9955,10295,9883,10252,9948,9657,=AVERAGE(M9:T9),
2.2,224.112,228.48,224.896,232.288,225.792,220.976,227.584,227.136,1811.26,14.5862,14.9015,9907,10094,9995,9880,9976,10317,9902,10043,=AVERAGE(M10:T10),
2.3,219.744,213.808,222.32,223.776,229.824,223.104,229.04,230.496,1792.11,11.7919,15.9099,10521,9547,10160,9371,10216,10496,9952,9467,=AVERAGE(M11:T11),
2.4,207.312,228.032,219.408,216.272,214.704,212.352,209.104,198.352,1705.54,6.59847,16.3159,9643,9498,10387,9582,9894,10079,9604,9837,=AVERAGE(M12:T12),
2.5,0,0,0,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,0,0,0,=AVERAGE(M13:T13),
2.6,139.216,124.768,124.88,132.72,116.256,134.848,131.936,139.216,1043.84,16.9445,6.35747,40819,46629,46600,44548,49362,42817,44204,41722,=AVERAGE(M14:T14),
2.7,154.224,122.192,128.24,111.552,137.76,149.52,135.744,150.64,1089.87,18.0955,6.87199,23014,28138,27081,31134,25781,24213,25704,23708,=AVERAGE(M15:T15),
2.8,171.136,178.528,187.488,194.32,169.456,171.696,188.832,185.136,1446.59,6.77713,18.1256,10330,10330,10591,10217,10507,10446,10319,10197,=AVERAGE(M16:T16),
2.9,146.048,149.632,127.456,116.704,148.176,134.288,128.688,119.616,1070.61,6.39803,16.9157,22731,22031,25040,28146,22922,25111,26304,28148,=AVERAGE(M17:T17),
3,170.688,139.552,160.384,150.304,140.336,150.08,154,148.4,1213.74,13.7424,6.7462,11306,13640,11845,14277,13534,13775,12752,12666,=AVERAGE(M18:T18),
3.1,0,0,0,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,0,0,0,=AVERAGE(M19:T19),
3.2,231.504,229.824,216.72,198.576,215.936,200.368,205.968,220.64,1719.54,13.8147,15.774,27322,29532,30963,32781,31250,32787,32143,30833,=AVERAGE(M20:T20),
3.3,225.792,227.024,221.088,224.784,220.528,232.064,227.36,229.6,1808.24,12.0224,16.3173,10162,9962,10120,9802,10344,9802,10359,10243,=AVERAGE(M21:T21),
3.4,218.176,227.584,233.632,233.856,228.256,230.944,224.336,220.528,1817.31,11.8397,16.315,9687,9793,9653,9841,9986,9925,10122,9757,=AVERAGE(M22:T22),
3.5,231.056,230.384,222.096,213.136,223.776,222.992,229.824,229.6,1802.86,11.6551,16.3046,9821,9874,10127,9784,9990,9993,9988,9831,=AVERAGE(M23:T23),
3.6,224,221.2,222.992,222.208,231.168,223.888,217.392,227.92,1790.77,11.4685,16.2864,10176,10369,10003,10024,10129,10120,10336,10258,=AVERAGE(M24:T24),
3.7,225.12,215.488,229.824,225.904,224.448,217.728,217.616,229.712,1785.84,11.28,16.2605,9951,10073,9766,9957,9678,9998,9860,9897,=AVERAGE(M25:T25),
3.8,223.104,240.464,231.616,221.872,225.792,224.56,238.336,212.576,1818.32,11.2554,16.2566,10021,9617,9866,10309,9539,9646,9701,9501,=AVERAGE(M26:T26),
3.9,219.968,213.696,207.984,221.648,225.904,223.552,221.536,240.24,1774.53,11.2554,16.2566,10075,10059,10145,10293,9993,9951,10235,10284,=AVERAGE(M27:T27),
4,246.96,221.088,222.096,226.464,222.88,227.472,226.576,215.824,1809.36,11.2554,16.2566,9767,9607,9765,10051,9728,10091,9749,9600,=AVERAGE(M28:T28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(J7:J28)
