Time [s],User1_Tput(Mbps),User2_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),Avg_latency(µs),
1.4,0,0,0,14.394,15.0139,0,0,=AVERAGE(G2:H2),
1.5,57.232,42,99.232,14.394,15.0139,57011,73396,=AVERAGE(G3:H3),
1.6,283.248,291.872,575.12,14.394,15.0139,5627,6197,=AVERAGE(G4:H4),
1.7,298.704,298.704,597.408,14.394,15.0139,5380,5381,=AVERAGE(G5:H5),
1.8,298.256,298.144,596.4,14.394,15.0139,5379,5385,=AVERAGE(G6:H6),
1.9,299.264,298.368,597.632,14.394,15.0139,5367,5379,=AVERAGE(G7:H7),
2,298.368,298.704,597.072,14.2957,15.0676,5384,5383,=AVERAGE(G8:H8),
2.1,298.48,298.368,596.848,14.0656,15.1842,5383,5382,=AVERAGE(G9:H9),
2.2,298.592,298.704,597.296,13.8206,15.2962,5372,5383,=AVERAGE(G10:H10),
2.3,298.816,298.48,597.296,13.5605,15.4034,5381,5385,=AVERAGE(G11:H11),
2.4,298.032,298.816,596.848,13.2848,15.5056,5377,5375,=AVERAGE(G12:H12),
2.5,299.04,299.152,598.192,12.9932,15.6027,5383,5377,=AVERAGE(G13:H13),
2.6,298.368,298.368,596.736,12.6853,15.6945,5385,5382,=AVERAGE(G14:H14),
2.7,298.256,298.816,597.072,12.3607,15.7808,5377,5381,=AVERAGE(G15:H15),
2.8,298.592,299.04,597.632,12.019,15.8615,5386,5385,=AVERAGE(G16:H16),
2.9,299.376,298.48,597.856,11.6597,15.9363,5361,5381,=AVERAGE(G17:H17),
3,299.488,298.704,598.192,11.2826,16.0051,5370,5375,=AVERAGE(G18:H18),
3.1,298.704,297.808,596.512,10.8871,16.0676,5369,5372,=AVERAGE(G19:H19),
3.2,298.928,298.592,597.52,10.4728,16.1237,5388,5390,=AVERAGE(G20:H20),
3.3,298.144,298.928,597.072,10.0394,16.1731,5369,5371,=AVERAGE(G21:H21),
3.4,298.256,299.712,597.968,9.58645,16.2156,5380,5362,=AVERAGE(G22:H22),
3.5,299.6,298.032,597.632,9.11347,16.2511,5384,5397,=AVERAGE(G23:H23),
3.6,298.592,298.592,597.184,8.62007,16.2793,5373,5367,=AVERAGE(G24:H24),
3.7,298.032,298.592,596.624,8.10584,16.2999,5368,5384,=AVERAGE(G25:H25),
3.8,300.272,300.272,600.544,7.57031,16.3127,5397,5366,=AVERAGE(G26:H26),
3.9,297.92,298.928,596.848,7.01306,16.3175,5380,5394,=AVERAGE(G27:H27),
4,298.144,298.592,596.736,6.43368,16.3141,5369,5382,=AVERAGE(G28:H28),
4.1,298.368,299.264,597.632,5.83174,16.3021,5388,5375,=AVERAGE(G29:H29),
4.2,18.256,18.256,36.512,7.23397,13.572,5337,5348,=AVERAGE(G30:H30),
4.3,298.368,292.432,590.8,7.2492,13.572,16791,17261,=AVERAGE(G31:H31),
4.4,298.144,298.592,596.736,7.98107,13.297,5379,5401,=AVERAGE(G32:H32),
4.5,298.816,298.48,597.296,8.70789,13.0061,5383,5374,=AVERAGE(G33:H33),
4.6,298.816,299.04,597.856,9.41414,12.6989,5361,5381,=AVERAGE(G34:H34),
4.7,298.48,298.704,597.184,10.0992,12.375,5372,5393,=AVERAGE(G35:H35),
4.8,298.48,299.712,598.192,10.7627,12.034,5391,5381,=AVERAGE(G36:H36),
4.9,298.256,298.368,596.624,11.404,11.6755,5382,5367,=AVERAGE(G37:H37),
5,298.368,298.928,597.296,12.0229,11.2991,5376,5361,=AVERAGE(G38:H38),
5.1,298.144,298.256,596.4,12.6187,10.9044,5373,5390,=AVERAGE(G39:H39),
5.2,299.824,298.592,598.416,13.1911,10.491,5377,5391,=AVERAGE(G40:H40),
5.3,299.488,298.592,598.08,13.7397,10.0585,5379,5394,=AVERAGE(G41:H41),
5.4,298.368,298.368,596.736,14.2639,9.60634,5383,5361,=AVERAGE(G42:H42),
5.5,299.6,297.696,597.296,14.7636,9.13424,5355,5406,=AVERAGE(G43:H43),
5.6,298.368,299.6,597.968,15.2382,8.64172,5403,5382,=AVERAGE(G44:H44),
5.7,298.256,299.376,597.632,15.6873,8.12836,5377,5354,=AVERAGE(G45:H45),
5.8,298.48,299.04,597.52,16.1108,7.59376,5394,5367,=AVERAGE(G46:H46),
5.9,299.264,298.256,597.52,16.5081,7.03744,5371,5383,=AVERAGE(G47:H47),
6,299.264,298.592,597.856,16.8791,6.45904,5347,5404,=AVERAGE(G48:H48),
6.1,18.368,17.36,35.728,18.4098,5.80902,5865,5118,=AVERAGE(G49:H49),
6.2,298.368,292.544,590.912,17.8146,7.67848,16784,17323,=AVERAGE(G50:H50),
6.3,298.48,298.256,596.736,17.5229,8.41368,5365,5385,=AVERAGE(G51:H51),
6.4,298.256,299.488,597.744,17.2041,9.12839,5380,5403,=AVERAGE(G52:H52),
6.5,299.824,298.144,597.968,16.8583,9.82213,5401,5370,=AVERAGE(G53:H53),
6.6,299.152,298.816,597.968,16.4858,10.4945,5372,5391,=AVERAGE(G54:H54),
6.7,298.144,298.48,596.624,16.0869,11.1449,5342,5362,=AVERAGE(G55:H55),
6.8,299.712,298.256,597.968,15.662,11.773,5368,5385,=AVERAGE(G56:H56),
6.9,298.144,298.592,596.736,15.2113,12.3783,5391,5412,=AVERAGE(G57:H57),
7,298.368,297.92,596.288,14.7353,12.9603,5368,5333,=AVERAGE(G58:H58),
7.1,298.48,298.928,597.408,14.2342,13.5186,5398,5418,=AVERAGE(G59:H59),
7.2,298.704,298.256,596.96,13.7085,14.0529,5377,5394,=AVERAGE(G60:H60),
7.3,297.808,298.48,596.288,13.1585,14.5626,5409,5373,=AVERAGE(G61:H61),
7.4,298.48,299.264,597.744,12.5848,15.0475,5333,5353,=AVERAGE(G62:H62),
7.5,298.48,298.928,597.408,11.9876,15.5071,5428,5388,=AVERAGE(G63:H63),
7.6,299.824,298.032,597.856,11.3674,15.9411,5353,5366,=AVERAGE(G64:H64),
7.7,298.368,298.816,597.184,10.7248,16.3491,5391,5408,=AVERAGE(G65:H65),
7.8,298.144,299.488,597.632,10.06,16.7309,5372,5391,=AVERAGE(G66:H66),
7.9,299.712,298.256,597.968,9.37368,17.086,5357,5371,=AVERAGE(G67:H67),
8,299.488,299.376,598.864,8.66624,17.4143,5402,5355,=AVERAGE(G68:H68),
8.1,299.04,299.264,598.304,7.93823,17.7155,5321,5401,=AVERAGE(G69:H69),
8.2,299.824,297.808,597.632,7.18999,17.9894,5434,5382,=AVERAGE(G70:H70),
8.3,297.92,298.928,596.848,6.4222,18.2356,5351,5368,=AVERAGE(G71:H71),
8.4,18.368,18.256,36.624,7.03269,16.5113,4796,5890,=AVERAGE(G72:H72),
8.5,296.576,291.088,587.664,7.58918,16.1142,16789,17204,=AVERAGE(G73:H73),
8.6,264.096,258.272,522.368,7.65443,16.1142,6729,6999,=AVERAGE(G74:H74),
8.7,298.144,298.592,596.736,8.12397,15.691,5350,5374,=AVERAGE(G75:H75),
8.8,297.92,298.704,596.624,8.63751,15.242,5400,5425,=AVERAGE(G76:H76),
8.9,298.48,298.144,596.624,9.13019,14.7676,5383,5334,=AVERAGE(G77:H77),
9,299.264,298.48,597.744,9.60249,14.2682,5367,5387,=AVERAGE(G78:H78),
9.1,298.368,298.928,597.296,10.0548,13.7442,5347,5370,=AVERAGE(G79:H79),
9.2,299.6,298.368,597.968,10.4875,13.1958,5406,5425,=AVERAGE(G80:H80),
9.3,298.704,299.6,598.304,10.9011,12.6236,5388,5337,=AVERAGE(G81:H81),
9.4,297.92,298.816,596.736,11.2959,12.028,5370,5393,=AVERAGE(G82:H82),
9.5,298.704,298.144,596.848,11.6724,11.4093,5356,5376,=AVERAGE(G83:H83),
9.6,298.592,299.376,597.968,12.0311,10.7681,5418,5362,=AVERAGE(G84:H84),
9.7,298.368,298.816,597.184,12.3722,10.1049,5404,5424,=AVERAGE(G85:H85),
9.8,298.368,299.376,597.744,12.6963,9.41996,5309,5331,=AVERAGE(G86:H86),
9.9,299.712,298.032,597.744,13.0036,8.71387,5377,5394,=AVERAGE(G87:H87),
10,298.592,298.592,597.184,13.2946,7.9872,5361,5381,=AVERAGE(G88:H88),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(D7:D88)
