Time [s],User1_Tput(Mbps),User2_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),Avg_latency(µs),
1.4,0,0,0,16.1833,10.8819,0,0,=AVERAGE(G2:H2),
1.5,55.888,47.6,103.488,16.1833,10.8819,58853,67063,=AVERAGE(G3:H3),
1.6,285.376,289.184,574.56,16.1833,10.8819,5648,5879,=AVERAGE(G4:H4),
1.7,298.48,298.256,596.736,16.1833,10.8819,5379,5386,=AVERAGE(G5:H5),
1.8,298.368,299.152,597.52,16.1833,10.8819,5376,5374,=AVERAGE(G6:H6),
1.9,298.704,298.368,597.072,16.1833,10.8819,5383,5381,=AVERAGE(G7:H7),
2,298.816,299.376,598.192,16.3097,11.7277,5375,5372,=AVERAGE(G8:H8),
2.1,297.808,298.592,596.4,15.9825,13.4634,5380,5379,=AVERAGE(G9:H9),
2.2,299.712,297.92,597.632,14.5863,14.9015,5371,5383,=AVERAGE(G10:H10),
2.3,298.592,298.592,597.184,11.7922,15.9099,5373,5380,=AVERAGE(G11:H11),
2.4,261.632,259.28,520.912,6.59815,16.3159,5392,5374,=AVERAGE(G12:H12),
2.5,0,0,0,6.87199,13.6971,0,0,=AVERAGE(G13:H13),
2.6,179.984,174.384,354.368,16.9437,6.35896,30463,32002,=AVERAGE(G14:H14),
2.7,197.904,191.296,389.2,18.0955,6.87199,16598,17428,=AVERAGE(G15:H15),
2.8,224.112,224.672,448.784,6.77798,18.1253,5408,5383,=AVERAGE(G16:H16),
2.9,197.792,191.296,389.088,6.39803,16.9157,15878,16670,=AVERAGE(G17:H17),
3,246.064,246.624,492.688,13.742,6.74737,5377,5384,=AVERAGE(G18:H18),
3.1,0,0,0,16.3136,6.39803,0,0,=AVERAGE(G19:H19),
3.2,297.024,290.64,587.664,13.8149,15.7739,19944,20471,=AVERAGE(G20:H20),
3.3,298.368,298.256,596.624,12.0224,16.3173,5385,5391,=AVERAGE(G21:H21),
3.4,298.592,298.704,597.296,11.8398,16.315,5379,5364,=AVERAGE(G22:H22),
3.5,298.48,298.256,596.736,11.6551,16.3046,5375,5382,=AVERAGE(G23:H23),
3.6,299.488,298.032,597.52,11.4685,16.2864,5364,5395,=AVERAGE(G24:H24),
3.7,298.48,299.6,598.08,11.28,16.2605,5383,5375,=AVERAGE(G25:H25),
3.8,299.712,299.936,599.648,11.2554,16.2566,5392,5379,=AVERAGE(G26:H26),
3.9,298.592,299.264,597.856,11.2554,16.2566,5368,5366,=AVERAGE(G27:H27),
4,298.48,299.6,598.08,11.2554,16.2566,5375,5365,=AVERAGE(G28:H28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(D7:D28)
