Time [s],User1_Tput(Mbps),User2_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),Avg_latency(µs),
1.4,0,0,0,14.394,15.0139,0,0,=AVERAGE(G2:H2),
1.5,57.232,41.328,98.56,14.394,15.0139,56898,74520,=AVERAGE(G3:H3),
1.6,283.248,292.768,576.016,14.394,15.0139,5618,6222,=AVERAGE(G4:H4),
1.7,298.368,298.256,596.624,14.394,15.0139,5375,5382,=AVERAGE(G5:H5),
1.8,298.144,298.928,597.072,14.394,15.0139,5378,5377,=AVERAGE(G6:H6),
1.9,298.144,298.816,596.96,14.394,15.0139,5378,5382,=AVERAGE(G7:H7),
2,299.488,298.032,597.52,14.2957,15.0676,5370,5386,=AVERAGE(G8:H8),
2.1,299.712,298.48,598.192,14.0656,15.1842,5365,5381,=AVERAGE(G9:H9),
2.2,298.592,298.592,597.184,13.8206,15.2962,5376,5387,=AVERAGE(G10:H10),
2.3,299.264,298.368,597.632,13.5605,15.4034,5366,5380,=AVERAGE(G11:H11),
2.4,300.16,297.808,597.968,13.2848,15.5056,5375,5392,=AVERAGE(G12:H12),
2.5,298.144,299.04,597.184,12.9932,15.6027,5370,5372,=AVERAGE(G13:H13),
2.6,299.376,298.368,597.744,12.6853,15.6945,5379,5386,=AVERAGE(G14:H14),
2.7,299.6,297.92,597.52,12.3607,15.7808,5371,5383,=AVERAGE(G15:H15),
2.8,298.144,298.816,596.96,12.019,15.8615,5375,5389,=AVERAGE(G16:H16),
2.9,300.048,298.48,598.528,11.6597,15.9363,5367,5385,=AVERAGE(G17:H17),
3,298.48,298.816,597.296,11.2825,16.0051,5389,5379,=AVERAGE(G18:H18),
3.1,298.368,298.368,596.736,10.8871,16.0676,5378,5377,=AVERAGE(G19:H19),
3.2,299.264,298.144,597.408,10.4728,16.1237,5366,5393,=AVERAGE(G20:H20),
3.3,298.592,299.824,598.416,10.0394,16.1731,5381,5359,=AVERAGE(G21:H21),
3.4,298.368,298.48,596.848,9.58647,16.2156,5374,5382,=AVERAGE(G22:H22),
3.5,298.256,299.376,597.632,9.1135,16.2511,5377,5384,=AVERAGE(G23:H23),
3.6,299.152,298.032,597.184,8.62009,16.2793,5369,5370,=AVERAGE(G24:H24),
3.7,298.704,299.6,598.304,8.1058,16.2999,5386,5389,=AVERAGE(G25:H25),
3.8,300.384,299.712,600.096,7.57031,16.3127,5370,5368,=AVERAGE(G26:H26),
3.9,298.256,298.928,597.184,7.01306,16.3175,5375,5397,=AVERAGE(G27:H27),
4,298.816,298.256,597.072,6.43366,16.3141,5365,5385,=AVERAGE(G28:H28),
4.1,299.824,298.592,598.416,5.83174,16.3021,5385,5378,=AVERAGE(G29:H29),
4.2,17.36,17.696,35.056,7.23428,13.572,5309,5338,=AVERAGE(G30:H30),
4.3,265.328,259.84,525.168,7.32653,13.572,19827,20389,=AVERAGE(G31:H31),
4.4,298.144,298.704,596.848,7.98101,13.297,5376,5379,=AVERAGE(G32:H32),
4.5,299.152,298.256,597.408,8.70789,13.0061,5377,5374,=AVERAGE(G33:H33),
4.6,298.48,298.48,596.96,9.41411,12.6989,5379,5377,=AVERAGE(G34:H34),
4.7,299.152,298.256,597.408,10.0992,12.375,5360,5384,=AVERAGE(G35:H35),
4.8,299.264,298.368,597.632,10.7627,12.034,5374,5399,=AVERAGE(G36:H36),
4.9,297.92,298.816,596.736,11.404,11.6755,5391,5387,=AVERAGE(G37:H37),
5,298.704,299.152,597.856,12.0229,11.2991,5385,5378,=AVERAGE(G38:H38),
5.1,298.704,298.256,596.96,12.6187,10.9045,5380,5369,=AVERAGE(G39:H39),
5.2,298.704,298.368,597.072,13.1911,10.491,5379,5365,=AVERAGE(G40:H40),
5.3,298.256,298.592,596.848,13.7397,10.0585,5379,5402,=AVERAGE(G41:H41),
5.4,298.592,299.376,597.968,14.2639,9.60634,5345,5369,=AVERAGE(G42:H42),
5.5,299.488,298.48,597.968,14.7636,9.1342,5391,5372,=AVERAGE(G43:H43),
5.6,298.592,298.368,596.96,15.2382,8.64172,5360,5380,=AVERAGE(G44:H44),
5.7,298.256,298.144,596.4,15.6873,8.12837,5411,5391,=AVERAGE(G45:H45),
5.8,299.04,299.712,598.752,16.1108,7.59376,5345,5366,=AVERAGE(G46:H46),
5.9,298.816,298.032,596.848,16.5081,7.03744,5402,5421,=AVERAGE(G47:H47),
6,299.488,298.592,598.08,16.8791,6.45904,5336,5354,=AVERAGE(G48:H48),
6.1,19.488,18.928,38.416,18.4098,5.80512,5895,5218,=AVERAGE(G49:H49),
6.2,258.496,253.232,511.728,17.8146,7.67852,20415,21129,=AVERAGE(G50:H50),
6.3,297.92,299.6,597.52,17.5229,8.41364,5389,5375,=AVERAGE(G51:H51),
6.4,299.152,298.144,597.296,17.2041,9.12836,5405,5382,=AVERAGE(G52:H52),
6.5,298.928,298.704,597.632,16.8583,9.82213,5372,5349,=AVERAGE(G53:H53),
6.6,298.48,298.704,597.184,16.4858,10.4945,5388,5413,=AVERAGE(G54:H54),
6.7,298.256,299.712,597.968,16.0869,11.1449,5358,5336,=AVERAGE(G55:H55),
6.8,297.92,298.816,596.736,15.662,11.773,5378,5403,=AVERAGE(G56:H56),
6.9,299.712,298.368,598.08,15.2113,12.3783,5406,5374,=AVERAGE(G57:H57),
7,299.04,298.256,597.296,14.7353,12.9603,5326,5399,=AVERAGE(G58:H58),
7.1,299.152,298.48,597.632,14.2342,13.5186,5406,5374,=AVERAGE(G59:H59),
7.2,298.928,298.256,597.184,13.7085,14.0529,5382,5402,=AVERAGE(G60:H60),
7.3,298.592,298.256,596.848,13.1585,14.5626,5357,5378,=AVERAGE(G61:H61),
7.4,299.824,298.592,598.416,12.5847,15.0475,5392,5355,=AVERAGE(G62:H62),
7.5,298.816,297.808,596.624,11.9876,15.5071,5368,5387,=AVERAGE(G63:H63),
7.6,298.592,298.928,597.52,11.3674,15.9411,5346,5368,=AVERAGE(G64:H64),
7.7,299.04,297.808,596.848,10.7248,16.3491,5385,5403,=AVERAGE(G65:H65),
7.8,298.368,299.264,597.632,10.06,16.7308,5363,5386,=AVERAGE(G66:H66),
7.9,298.592,298.704,597.296,9.37372,17.086,5406,5365,=AVERAGE(G67:H67),
8,299.488,299.824,599.312,8.66629,17.4143,5327,5410,=AVERAGE(G68:H68),
8.1,299.264,299.712,598.976,7.93823,17.7156,5434,5392,=AVERAGE(G69:H69),
8.2,298.368,298.816,597.184,7.19003,17.9894,5351,5372,=AVERAGE(G70:H70),
8.3,298.256,298.48,596.736,6.4222,18.2356,5399,5354,=AVERAGE(G71:H71),
8.4,17.696,18.368,36.064,7.03269,16.5113,4805,5939,=AVERAGE(G72:H72),
8.5,260.512,254.688,515.2,7.58921,16.1142,20127,20759,=AVERAGE(G73:H73),
8.6,298.816,300.608,599.424,7.60002,16.1142,5425,5386,=AVERAGE(G74:H74),
8.7,297.92,298.928,596.848,8.12401,15.691,5403,5360,=AVERAGE(G75:H75),
8.8,299.712,298.592,598.304,8.6375,15.242,5387,5337,=AVERAGE(G76:H76),
8.9,298.032,299.264,597.296,9.13019,14.7677,5363,5387,=AVERAGE(G77:H77),
9,298.48,299.376,597.856,9.60247,14.2682,5344,5367,=AVERAGE(G78:H78),
9.1,298.592,299.936,598.528,10.0548,13.7441,5397,5421,=AVERAGE(G79:H79),
9.2,298.928,299.488,598.416,10.4875,13.1958,5380,5329,=AVERAGE(G80:H80),
9.3,297.696,299.376,597.072,10.9011,12.6236,5359,5383,=AVERAGE(G81:H81),
9.4,299.824,298.368,598.192,11.2959,12.028,5346,5363,=AVERAGE(G82:H82),
9.5,300.048,298.816,598.864,11.6725,11.4093,5405,5423,=AVERAGE(G83:H83),
9.6,297.92,298.144,596.064,12.0311,10.7681,5385,5327,=AVERAGE(G84:H84),
9.7,298.592,299.488,598.08,12.3722,10.1049,5370,5391,=AVERAGE(G85:H85),
9.8,298.816,298.816,597.632,12.6963,9.41996,5355,5374,=AVERAGE(G86:H86),
9.9,298.144,299.376,597.52,13.0036,8.71391,5419,5440,=AVERAGE(G87:H87),
10,298.816,298.816,597.632,13.2946,7.9872,5324,5343,=AVERAGE(G88:H88),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(D7:D88)
