Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,14.394,15.0139,0,0,0,=AVERAGE(H2:J2),
1.5,57.232,55.328,28.56,141.12,14.394,15.0139,56795,59443,73667,=AVERAGE(H3:J3),
1.6,283.136,277.312,298.704,859.152,14.394,15.0139,5782,5841,9524,=AVERAGE(H4:J4),
1.7,298.032,298.592,296.24,892.864,14.394,15.0139,5532,5541,5558,=AVERAGE(H5:J5),
1.8,296.576,296.464,298.144,891.184,14.394,15.0139,5544,5563,5533,=AVERAGE(H6:J6),
1.9,298.816,295.792,297.024,891.632,14.394,15.0139,5521,5564,5540,=AVERAGE(H7:J7),
2,296.8,297.696,298.256,892.752,14.2957,15.0676,5544,5564,5547,=AVERAGE(H8:J8),
2.1,295.904,295.232,298.928,890.064,14.0655,15.1842,5547,5576,5539,=AVERAGE(H9:J9),
2.2,297.36,298.48,298.592,894.432,13.8206,15.2962,5539,5552,5535,=AVERAGE(H10:J10),
2.3,297.696,296.352,296.352,890.4,13.5605,15.4034,5536,5566,5560,=AVERAGE(H11:J11),
2.4,297.92,296.688,297.024,891.632,13.2848,15.5056,5527,5570,5550,=AVERAGE(H12:J12),
2.5,297.92,296.128,296.576,890.624,12.9932,15.6027,5547,5565,5568,=AVERAGE(H13:J13),
2.6,297.92,297.248,297.696,892.864,12.6853,15.6945,5531,5570,5548,=AVERAGE(H14:J14),
2.7,298.368,295.68,297.696,891.744,12.3607,15.7808,5546,5565,5565,=AVERAGE(H15:J15),
2.8,296.352,297.696,297.92,891.968,12.019,15.8615,5537,5550,5543,=AVERAGE(H16:J16),
2.9,297.024,299.488,295.456,891.968,11.6597,15.9363,5526,5549,5558,=AVERAGE(H17:J17),
3,297.024,297.808,296.688,891.52,11.2826,16.0051,5538,5551,5540,=AVERAGE(H18:J18),
3.1,298.928,298.592,296.688,894.208,10.8871,16.0676,5545,5536,5553,=AVERAGE(H19:J19),
3.2,296.688,296.688,296.016,889.392,10.4728,16.1237,5527,5580,5568,=AVERAGE(H20:J20),
3.3,296.576,295.456,297.808,889.84,10.0394,16.1731,5543,5560,5552,=AVERAGE(H21:J21),
3.4,296.688,296.8,298.144,891.632,9.58647,16.2156,5556,5574,5542,=AVERAGE(H22:J22),
3.5,296.128,298.032,298.592,892.752,9.11348,16.2511,5540,5558,5541,=AVERAGE(H23:J23),
3.6,297.472,298.256,296.016,891.744,8.62009,16.2793,5532,5546,5544,=AVERAGE(H24:J24),
3.7,297.808,297.36,299.488,894.656,8.10584,16.2999,5529,5561,5544,=AVERAGE(H25:J25),
3.8,298.816,299.152,299.04,897.008,7.57031,16.3127,5556,5543,5543,=AVERAGE(H26:J26),
3.9,296.912,298.256,299.04,894.208,7.01304,16.3175,5515,5572,5549,=AVERAGE(H27:J27),
4,299.376,295.456,297.584,892.416,6.43368,16.3141,5556,5557,5534,=AVERAGE(H28:J28),
4.1,292.992,296.128,295.68,884.8,5.83174,16.3021,5515,5576,5574,=AVERAGE(H29:J29),
4.2,22.176,21.952,20.944,65.072,7.23397,13.572,5924,5600,5581,=AVERAGE(H30:J30),
4.3,297.696,286.608,291.984,876.288,7.24909,13.572,16906,17780,17321,=AVERAGE(H31:J31),
4.4,296.352,296.8,297.472,890.624,7.98104,13.297,5535,5556,5546,=AVERAGE(H32:J32),
4.5,295.68,297.248,298.144,891.072,8.70794,13.0061,5565,5587,5548,=AVERAGE(H33:J33),
4.6,296.912,296.24,297.248,890.4,9.41415,12.6989,5518,5562,5552,=AVERAGE(H34:J34),
4.7,296.8,297.584,297.472,891.856,10.0992,12.375,5562,5547,5565,=AVERAGE(H35:J35),
4.8,297.024,298.032,296.464,891.52,10.7627,12.034,5551,5564,5549,=AVERAGE(H36:J36),
4.9,298.592,296.688,297.808,893.088,11.404,11.6755,5512,5550,5541,=AVERAGE(H37:J37),
5,296.688,297.472,296.576,890.736,12.0229,11.2991,5534,5544,5530,=AVERAGE(H38:J38),
5.1,298.928,296.576,297.472,892.976,12.6187,10.9045,5536,5572,5563,=AVERAGE(H39:J39),
