Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,0,=AVERAGE(L2:R2),
1.5,57.232,43.232,28.56,28.56,28.56,28.56,28.56,243.264,14.394,15.0139,57039,72179,73891,76162,75017,74431,75601,=AVERAGE(L3:R3),
1.6,241.696,245.952,258.048,224.784,244.048,245.728,233.856,1694.11,14.394,15.0139,8259,8731,12437,14412,13255,12967,13784,=AVERAGE(L4:R4),
1.7,242.592,244.16,243.152,253.12,249.424,253.568,258.384,1744.4,14.394,15.0139,8676,8666,8878,8506,8763,8723,8615,=AVERAGE(L5:R5),
1.8,247.968,252.896,248.416,247.408,245.728,243.488,247.072,1732.98,14.394,15.0139,8577,8600,8785,8760,8748,8494,8649,=AVERAGE(L6:R6),
1.9,255.024,249.536,246.288,244.608,257.264,257.712,249.312,1759.74,14.394,15.0139,8604,8625,8559,8917,8590,8486,8722,=AVERAGE(L7:R7),
2,249.76,247.968,249.312,247.184,247.632,247.856,243.936,1733.65,14.2957,15.0676,8706,8563,8810,8901,8774,8824,8549,=AVERAGE(L8:R8),
2.1,247.408,253.68,250.656,249.76,240.912,246.96,252.112,1741.49,14.0656,15.1842,8765,8534,8780,8932,8644,8840,8495,=AVERAGE(L9:R9),
2.2,250.992,250.992,251.664,244.944,247.856,252.112,251.44,1750,13.8206,15.2962,8955,8818,8417,8885,8684,8752,8551,=AVERAGE(L10:R10),
2.3,248.304,249.872,250.208,250.88,251.888,252.112,249.312,1752.58,13.5605,15.4034,8543,8838,8343,8977,8752,8767,8826,=AVERAGE(L11:R11),
2.4,251.888,245.84,248.08,254.464,254.8,247.408,247.856,1750.34,13.2848,15.5056,8857,8523,8917,8757,8757,8880,8964,=AVERAGE(L12:R12),
2.5,250.432,244.048,244.72,245.84,245.056,252.56,253.904,1736.56,12.9932,15.6027,8590,8894,8849,8733,8797,8432,8776,=AVERAGE(L13:R13),
2.6,251.664,254.8,252.896,250.096,245.84,252.336,243.488,1751.12,12.6853,15.6945,8400,8716,8717,8735,8648,8579,8670,=AVERAGE(L14:R14),
2.7,254.016,246.512,242.704,256.144,254.128,240.24,250.656,1744.4,12.3607,15.7808,8722,8636,8842,8625,8760,8751,8606,=AVERAGE(L15:R15),
2.8,244.496,247.072,248.864,240.576,254.128,251.216,252.224,1738.58,12.019,15.8615,8564,8577,8918,8563,8494,8586,8633,=AVERAGE(L16:R16),
2.9,252,250.32,249.312,248.976,243.488,250.096,253.008,1747.2,11.6597,15.9363,8799,8621,8737,8849,8727,8783,8915,=AVERAGE(L17:R17),
3,247.184,253.456,257.04,247.184,251.216,254.576,243.936,1754.59,11.2825,16.0051,8690,8685,8700,8682,8510,8729,8648,=AVERAGE(L18:R18),
3.1,253.008,252.336,250.88,249.984,246.736,242.368,249.088,1744.4,10.887,16.0676,8499,8771,8645,8799,8741,8783,8837,=AVERAGE(L19:R19),
3.2,251.776,249.536,248.416,250.768,249.872,256.928,252,1759.3,10.4728,16.1237,8692,8703,8653,8596,8761,8606,8811,=AVERAGE(L20:R20),
3.3,247.744,250.096,251.44,251.328,254.016,246.176,245.728,1746.53,10.0394,16.1731,8681,9009,8842,8589,8550,8583,8680,=AVERAGE(L21:R21),
3.4,252.896,250.432,251.104,245.616,252.336,255.136,247.632,1755.15,9.58644,16.2156,8969,8728,8914,9061,8429,8637,8930,=AVERAGE(L22:R22),
3.5,251.776,249.312,250.544,250.88,249.312,249.76,254.576,1756.16,9.11347,16.2511,8637,8726,8767,8650,8702,8769,8599,=AVERAGE(L23:R23),
3.6,247.184,250.768,253.344,251.328,251.776,250.88,249.872,1755.15,8.62008,16.2793,8823,8970,8822,8530,8606,8551,8844,=AVERAGE(L24:R24),
3.7,252.56,254.8,237.328,240.912,234.864,247.632,252.672,1720.77,8.1058,16.2999,8641,8535,8581,8612,8588,8518,8607,=AVERAGE(L25:R25),
3.8,242.256,244.608,263.088,255.584,255.92,247.184,241.696,1750.34,7.57031,16.3127,8616,8371,8545,8859,8518,8570,8440,=AVERAGE(L26:R26),
3.9,256.928,244.72,239.232,247.744,244.944,247.856,256.256,1737.68,7.01306,16.3175,8860,8745,8662,8681,8645,8761,8651,=AVERAGE(L27:R27),
4,250.208,244.16,246.4,254.912,248.976,255.36,242.816,1742.83,6.43366,16.3141,8451,8376,8736,8524,8610,8640,8723,=AVERAGE(L28:R28),
4.1,247.296,253.232,254.688,245.952,247.744,244.496,252.224,1745.63,5.83169,16.3021,8495,8524,8766,8488,8616,8469,8575,=AVERAGE(L29:R29),
4.2,2.352,20.72,8.4,26.88,17.36,23.072,19.824,118.608,7.23404,13.572,14649,10673,13043,11885,10622,11663,10815,=AVERAGE(L30:R30),
4.3,262.528,237.888,258.944,230.608,252.56,231.28,242.816,1716.62,7.24976,13.572,21899,23754,21818,23987,22765,24322,22857,=AVERAGE(L31:R31),
4.4,248.64,249.2,241.36,248.192,242.592,248.416,248.192,1726.59,8.00113,13.297,8781,8738,8658,8782,8824,8847,8818,=AVERAGE(L32:R32),
4.5,245.056,252.448,251.328,244.608,250.096,252,245.056,1740.59,8.70794,13.0061,8565,8802,8658,8552,8473,8744,8747,=AVERAGE(L33:R33),
4.6,256.032,245.168,250.992,250.88,247.968,244.72,248.976,1744.74,9.41417,12.6989,8482,8572,8861,8592,8900,8997,8610,=AVERAGE(L34:R34),
4.7,250.432,252.448,248.976,248.864,246.4,249.536,244.272,1740.93,10.0992,12.375,8794,8659,8401,8760,8411,8908,8874,=AVERAGE(L35:R35),
4.8,249.424,248.752,249.312,251.328,252.112,250.32,252.56,1753.81,10.7627,12.034,8360,8623,8489,8363,8651,8163,8188,=AVERAGE(L36:R36),
4.9,248.528,246.4,257.04,245.84,255.248,245.28,253.008,1751.34,11.4041,11.6755,8421,8292,8424,8458,8866,8722,8300,=AVERAGE(L37:R37),
5,246.4,251.104,243.824,249.088,243.6,250.544,253.456,1738.02,12.0229,11.2991,8561,8482,8860,8917,8520,8795,8799,=AVERAGE(L38:R38),
5.1,253.904,249.2,249.984,249.984,250.544,248.416,249.984,1752.02,12.6187,10.9044,8330,8630,8665,8744,8317,8784,8539,=AVERAGE(L39:R39),
5.2,253.12,253.232,251.776,252.336,243.488,248.08,248.976,1751.01,13.1911,10.491,8338,8634,8734,8529,8738,8782,8556,=AVERAGE(L40:R40),
5.3,249.536,249.424,253.568,249.872,246.736,256.928,247.184,1753.25,13.7397,10.0584,8715,8357,8481,8945,8861,8516,8614,=AVERAGE(L41:R41),
5.4,245.28,245.952,254.912,245.168,254.24,245.28,250.88,1741.71,14.2639,9.60632,8751,8831,8548,8908,8774,8849,8697,=AVERAGE(L42:R42),
5.5,248.864,253.456,244.72,249.536,246.288,248.192,250.656,1741.71,14.7636,9.13421,8888,8588,8470,8655,9039,8592,8777,=AVERAGE(L43:R43),
5.6,245.168,253.904,249.76,251.552,247.52,248.64,250.656,1747.2,15.2382,8.64169,8945,8710,8685,8740,8984,8996,8588,=AVERAGE(L44:R44),
5.7,246.064,244.496,252.896,247.968,251.104,253.456,255.248,1751.23,15.6874,8.12834,8972,8741,8498,8532,8686,8580,8684,=AVERAGE(L45:R45),
5.8,249.872,250.544,249.2,243.6,248.304,246.96,242.928,1731.41,16.1108,7.59372,8751,8602,8784,8861,8562,8862,8619,=AVERAGE(L46:R46),
5.9,254.8,248.976,244.608,245.168,254.688,246.624,251.104,1745.97,16.5081,7.03742,8270,8912,8839,8753,8714,8665,8738,=AVERAGE(L47:R47),
6,255.36,247.968,252.896,249.76,248.976,253.008,247.408,1755.38,16.8791,6.45899,8616,8672,8877,8604,8716,8652,8660,=AVERAGE(L48:R48),
6.1,15.232,26.096,24.864,25.536,26.656,22.064,27.776,168.224,18.4098,5.80459,9209,8814,9261,8903,9278,9290,9269,=AVERAGE(L49:R49),
6.2,214.592,195.888,196.56,204.96,187.488,213.248,191.296,1404.03,17.8146,7.67851,25777,28701,28953,27679,30508,26271,29690,=AVERAGE(L50:R50),
6.3,246.96,253.792,247.856,241.248,240.912,248.416,250.88,1730.06,17.5229,8.41368,8963,8579,8723,9005,8872,8964,8793,=AVERAGE(L51:R51),
6.4,247.856,247.632,254.016,253.344,253.456,249.536,245.056,1750.9,17.2041,9.12841,8751,8652,8614,8501,8785,8421,8738,=AVERAGE(L52:R52),
