Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,0,=AVERAGE(K2:P2),
1.5,57.232,32.816,35.728,28.56,28.56,28.56,211.456,16.1833,10.8819,56960,75510,76609,74490,75085,75757,=AVERAGE(K3:P3),
1.6,263.312,273.392,270.928,270.48,265.216,257.936,1601.26,16.1833,10.8819,7500,10082,9323,11733,12069,12497,=AVERAGE(K4:P4),
1.7,276.864,273.952,281.456,276.08,276.528,278.656,1663.54,16.1833,10.8819,7391,7653,7513,7577,7352,7436,=AVERAGE(K5:P5),
1.8,273.84,277.312,273.28,277.312,276.416,280.784,1658.94,16.1833,10.8819,7581,7592,7599,7404,7617,7580,=AVERAGE(K6:P6),
1.9,280.672,278.656,276.752,273.056,275.408,274.848,1659.39,16.1833,10.8819,7395,7384,7537,7553,7489,7398,=AVERAGE(K7:P7),
2,274.176,277.088,276.864,280.784,278.992,280.448,1668.35,16.3097,11.7278,7475,7556,7451,7366,7492,7566,=AVERAGE(K8:P8),
2.1,270.144,275.52,280,276.304,275.52,276.528,1654.02,15.9825,13.4635,7752,7469,7458,7523,7481,7435,=AVERAGE(K9:P9),
2.2,275.072,275.408,280.448,276.416,282.464,276.864,1666.67,14.5862,14.9015,7527,7503,7447,7370,7483,7510,=AVERAGE(K10:P10),
2.3,281.904,279.552,272.384,277.424,271.824,277.088,1660.18,11.792,15.9099,7401,7533,7614,7580,7549,7576,=AVERAGE(K11:P11),
2.4,243.152,239.568,240.464,244.496,234.528,234.64,1436.85,6.59793,16.3159,7628,7506,7694,7583,7726,7680,=AVERAGE(K12:P12),
2.5,0,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,0,=AVERAGE(K13:P13),
2.6,170.24,155.456,148.176,152.32,170.016,165.536,961.744,16.9441,6.35896,34023,38087,40554,39274,35035,36129,=AVERAGE(K14:P14),
2.7,181.104,169.344,149.184,164.64,159.04,157.248,980.56,18.0955,6.87199,18932,20352,23377,20690,21730,22023,=AVERAGE(K15:P15),
2.8,175.952,168.448,179.872,162.4,160.272,182,1028.94,6.77794,18.1258,8980,10097,9486,10948,10793,9431,=AVERAGE(K16:P16),
2.9,0,0,0,0,0,0,0,6.39803,16.9157,0,0,0,0,0,0,=AVERAGE(K17:P17),
3,195.776,184.128,170.464,182.448,192.752,168.672,1094.24,13.7425,6.7462,32714,35235,37937,35614,33282,38376,=AVERAGE(K18:P18),
3.1,0,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,0,=AVERAGE(K19:P19),
3.2,271.712,260.736,267.792,249.088,246.4,250.544,1546.27,13.8148,15.7739,23138,24361,23715,25446,26183,25273,=AVERAGE(K20:P20),
3.3,282.016,278.432,273.728,278.32,277.088,277.984,1667.57,12.0224,16.3173,7266,7499,7388,7380,7260,7475,=AVERAGE(K21:P21),
3.4,279.888,279.44,281.456,274.176,281.904,275.968,1672.83,11.8397,16.315,7596,7500,7343,7460,7454,7448,=AVERAGE(K22:P22),
3.5,276.528,277.872,278.768,276.864,281.232,278.656,1669.92,11.6551,16.3046,7596,7574,7596,7552,7463,7538,=AVERAGE(K23:P23),
3.6,280.56,280.896,279.328,277.424,276.528,280.448,1675.18,11.4684,16.2864,7655,7598,7549,7611,7591,7587,=AVERAGE(K24:P24),
3.7,270.816,275.408,280.784,279.216,280,274.176,1660.4,11.28,16.2605,7478,7483,7316,7716,7419,7519,=AVERAGE(K25:P25),
3.8,282.352,273.168,274.96,280.224,266.336,270.032,1647.07,11.2554,16.2566,7518,7483,7430,7502,7451,7438,=AVERAGE(K26:P26),
3.9,271.376,274.176,282.128,268.688,273.728,287.28,1657.38,11.2554,16.2566,7481,7541,7532,7444,7332,7329,=AVERAGE(K27:P27),
4,273.728,273.728,272.384,279.104,273.952,266.224,1639.12,11.2554,16.2566,7520,7406,7576,7447,7421,7428,=AVERAGE(K28:P28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(H7:H28)
