Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,0,=AVERAGE(L2:R2),
1.5,57.232,49.392,28.56,28.56,28.56,28.56,28.56,249.424,14.394,15.0139,56901,65597,73800,74427,75052,75630,76202,=AVERAGE(L3:R3),
1.6,234.976,241.472,253.232,255.472,238.56,236.768,229.376,1689.86,14.394,15.0139,8092,8607,12441,12748,13242,13684,14306,=AVERAGE(L4:R4),
1.7,248.416,249.648,262.64,248.976,255.472,245.728,245.952,1756.83,14.394,15.0139,8716,8674,8450,8781,8833,8809,8433,=AVERAGE(L5:R5),
1.8,252.672,244.384,245.056,245.952,244.496,256.48,257.152,1746.19,14.394,15.0139,8645,8752,8544,8312,8582,8541,8694,=AVERAGE(L6:R6),
1.9,249.088,250.096,246.064,248.528,253.792,244.944,251.104,1743.62,14.394,15.0139,8733,8982,8950,8574,8466,8208,8570,=AVERAGE(L7:R7),
2,247.968,250.656,247.184,249.872,247.856,252.224,244.048,1739.81,14.2957,15.0676,8892,8811,8946,8781,8365,8828,8472,=AVERAGE(L8:R8),
2.1,250.208,253.008,250.544,250.992,249.872,254.576,248.752,1757.95,14.0655,15.1842,8940,8894,8595,8640,8776,8736,8854,=AVERAGE(L9:R9),
2.2,253.008,248.752,253.904,251.552,246.4,248.976,255.92,1758.51,13.8206,15.2962,8524,8348,8928,8847,8929,8571,8721,=AVERAGE(L10:R10),
2.3,242.928,250.656,243.04,246.736,248.416,247.296,248.864,1727.94,13.5605,15.4034,9103,8727,8995,8862,9129,8739,8758,=AVERAGE(L11:R11),
2.4,255.36,243.264,248.08,248.08,247.968,254.576,242.032,1739.36,13.2848,15.5056,8618,8716,8875,8905,8770,8723,8929,=AVERAGE(L12:R12),
2.5,246.4,257.04,251.552,249.76,247.856,244.608,256.592,1753.81,12.9932,15.6027,8511,8573,8627,8678,8698,8646,8623,=AVERAGE(L13:R13),
2.6,254.464,249.872,244.72,244.608,245.616,253.344,241.808,1734.43,12.6853,15.6945,8526,8264,8484,8526,8285,8274,8671,=AVERAGE(L14:R14),
2.7,241.808,242.032,250.096,260.176,248.64,250.992,245.168,1738.91,12.3607,15.7809,8675,8550,8935,8381,8703,8555,8365,=AVERAGE(L15:R15),
2.8,248.64,246.064,252,247.408,250.096,253.456,252.224,1749.89,12.019,15.8615,8519,8548,8898,8514,8729,8551,8268,=AVERAGE(L16:R16),
2.9,248.64,255.024,250.88,244.944,246.512,243.6,255.696,1745.3,11.6597,15.9363,8373,8359,8578,8637,8569,8671,8541,=AVERAGE(L17:R17),
3,250.992,251.104,247.856,243.376,252.336,253.568,246.512,1745.74,11.2825,16.0051,8934,8838,9027,8783,8804,8703,8969,=AVERAGE(L18:R18),
3.1,247.744,250.768,247.52,256.48,246.4,250.32,249.872,1749.1,10.8871,16.0676,8669,8631,8779,8666,8980,8699,8790,=AVERAGE(L19:R19),
3.2,253.904,250.88,249.536,244.832,247.52,251.44,253.904,1752.02,10.4728,16.1237,8598,8725,8558,8898,8749,8729,8780,=AVERAGE(L20:R20),
3.3,246.848,250.768,255.248,247.072,253.008,248.304,252.784,1754.03,10.0394,16.1731,8746,8671,8472,8645,8665,8679,8662,=AVERAGE(L21:R21),
3.4,251.776,249.872,247.744,255.92,247.296,254.688,246.288,1753.58,9.58643,16.2156,8925,8790,8916,8592,9120,8847,9214,=AVERAGE(L22:R22),
3.5,253.008,252.784,248.192,252.448,250.768,244.944,248.528,1750.67,9.11347,16.2511,8711,8606,8669,8444,8679,8860,8737,=AVERAGE(L23:R23),
3.6,245.392,247.408,251.44,240.352,249.872,251.44,253.008,1738.91,8.62007,16.2793,9028,8656,8737,8865,8861,8662,8644,=AVERAGE(L24:R24),
3.7,243.152,242.704,245.28,253.568,248.976,230.608,250.544,1714.83,8.10584,16.2999,8917,8662,8466,8720,8219,8978,8725,=AVERAGE(L25:R25),
3.8,258.608,252.56,253.568,239.344,246.064,252.336,248.528,1751.01,7.57029,16.3127,8417,8819,8375,8669,8248,8887,8808,=AVERAGE(L26:R26),
3.9,231.056,247.968,251.552,244.944,252.448,258.272,249.76,1736,7.01302,16.3175,8514,8224,8843,8465,8591,8726,8553,=AVERAGE(L27:R27),
4,263.984,256.48,241.808,251.664,242.144,236.656,239.12,1731.86,6.43365,16.3141,8807,8570,8617,8774,8539,8639,8699,=AVERAGE(L28:R28),
4.1,238.112,244.272,248.08,256.704,253.008,254.8,253.68,1748.66,5.83171,16.3021,8387,8446,8929,8498,8850,8688,8817,=AVERAGE(L29:R29),
4.2,20.72,36.176,35.392,25.984,25.2,20.496,27.888,191.856,7.23397,13.572,10991,10697,11007,11873,11731,11382,11994,=AVERAGE(L30:R30),
4.3,261.632,232.4,225.344,243.152,250.208,255.808,241.136,1709.68,7.25009,13.572,21162,22849,23961,21744,21485,21723,22131,=AVERAGE(L31:R31),
