Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),User8_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),User8_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,0,0,=AVERAGE(M2:T2),
1.5,57.232,42.784,28.56,28.56,28.56,28.56,28.56,28.56,271.376,14.394,15.0139,56910,72704,73841,74282,74876,75518,76060,76614,=AVERAGE(M3:T3),
1.6,210.784,219.296,236.656,235.424,225.12,218.512,220.192,208.432,1774.42,14.394,15.0139,9325,9630,13618,13825,14355,14561,15181,16086,=AVERAGE(M4:T4),
1.7,230.272,231.952,226.464,223.104,223.328,234.192,210.784,219.744,1799.84,14.394,15.0139,9937,9929,10212,10384,9931,9976,10097,10488,=AVERAGE(M5:T5),
1.8,224.448,225.344,216.272,223.44,226.576,219.632,232.512,228.032,1796.26,14.394,15.0139,9767,10281,10556,9923,9551,9661,9918,10355,=AVERAGE(M6:T6),
1.9,228.144,225.904,237.664,221.312,231.952,227.92,217.392,223.216,1813.5,14.394,15.0139,10195,9736,9479,9876,9650,9760,10360,9617,=AVERAGE(M7:T7),
2,226.352,234.192,216.048,232.736,220.864,224.672,225.12,232.624,1812.61,14.2957,15.0676,9722,9747,9988,9838,9858,9836,10372,9717,=AVERAGE(M8:T8),
2.1,226.24,229.488,229.264,217.056,230.72,227.36,224.896,221.536,1806.56,14.0655,15.1842,9879,9535,9813,9985,9907,10066,10044,10304,=AVERAGE(M9:T9),
2.2,223.216,221.648,233.408,228.928,222.88,228.704,228.48,222.768,1810.03,13.8206,15.2962,10004,9961,9629,9982,9268,10028,10263,9722,=AVERAGE(M10:T10),
2.3,232.4,227.248,224.112,221.088,226.912,218.848,235.424,225.232,1811.26,13.5605,15.4034,10263,9878,10144,10164,10312,9834,9753,9946,=AVERAGE(M11:T11),
2.4,221.2,226.016,222.544,232.848,227.136,229.152,217.28,222.768,1798.94,13.2848,15.5056,10146,10003,10275,10137,10074,10165,10000,9542,=AVERAGE(M12:T12),
2.5,220.752,222.096,225.792,225.568,219.184,231.952,230.272,234.416,1810.03,12.9932,15.6027,9577,9848,10381,10067,10100,9969,10031,9987,=AVERAGE(M13:T13),
2.6,235.312,231.84,218.4,223.44,228.368,222.992,219.072,219.296,1798.72,12.6853,15.6945,9828,9762,10020,10015,9601,9607,10220,10107,=AVERAGE(M14:T14),
2.7,220.192,217.84,232.736,225.456,224.896,227.136,239.456,219.968,1807.68,12.3607,15.7808,10154,10222,10242,10137,10167,9887,10032,10110,=AVERAGE(M15:T15),
2.8,233.744,239.232,218.512,220.08,229.376,224.896,215.488,225.904,1807.23,12.019,15.8615,10099,9863,9822,9911,9883,9841,9543,9811,=AVERAGE(M16:T16),
2.9,229.488,218.96,225.68,227.92,233.968,225.008,227.584,229.152,1817.76,11.6597,15.9363,9780,9730,10121,9698,9636,9971,10114,10037,=AVERAGE(M17:T17),
3,211.232,220.192,230.832,227.696,221.872,228.592,226.464,219.408,1786.29,11.2825,16.0051,9786,9750,9475,9562,9705,9501,9536,9812,=AVERAGE(M18:T18),
3.1,227.808,221.312,227.024,222.208,219.968,215.824,231.84,233.744,1799.73,10.8871,16.0676,10204,10062,10097,10141,10059,10142,10078,9840,=AVERAGE(M19:T19),
3.2,223.328,230.832,228.48,224.784,237.776,230.944,223.776,222.096,1822.02,10.4728,16.1237,10221,10050,10083,10380,9607,10128,9874,10355,=AVERAGE(M20:T20),
3.3,227.136,222.768,222.096,225.008,222.32,222.768,229.376,228.592,1800.06,10.0394,16.1731,9798,10370,10134,10138,9907,10262,9962,10437,=AVERAGE(M21:T21),
3.4,227.584,225.68,229.04,226.128,223.888,228.592,227.248,225.68,1813.84,9.58644,16.2156,10375,10542,9957,10268,10072,10362,10296,9687,=AVERAGE(M22:T22),
3.5,221.984,222.096,224.896,229.824,225.456,225.568,218.4,230.832,1799.06,9.11346,16.2511,10286,9514,10232,10211,10047,10190,10043,10007,=AVERAGE(M23:T23),
3.6,217.616,225.568,228.48,222.544,228.368,218.736,226.352,216.608,1784.27,8.62007,16.2793,10077,10128,9843,10214,9840,10200,10190,10301,=AVERAGE(M24:T24),
