Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,=AVERAGE(J2:N2),
1.5,42.896,57.232,28.56,28.56,28.56,185.808,16.1833,10.8819,72583,56973,74043,74556,75145,=AVERAGE(J3:N3),
1.6,281.456,276.752,286.72,279.776,276.304,1401.01,16.1833,10.8819,7052,6479,10584,10835,11063,=AVERAGE(J4:N4),
1.7,288.288,291.2,295.12,294.672,290.864,1460.14,16.1833,10.8819,6538,6449,6440,6397,6523,=AVERAGE(J5:N5),
1.8,292.88,290.304,292.432,294.224,288.848,1458.69,16.1833,10.8819,6467,6395,6350,6342,6455,=AVERAGE(J6:N6),
1.9,288.624,293.664,294.56,292.768,289.968,1459.58,16.1833,10.8819,6456,6433,6406,6368,6453,=AVERAGE(J7:N7),
2,290.64,289.856,296.688,293.44,292.208,1462.83,16.3097,11.7277,6476,6441,6411,6381,6445,=AVERAGE(J8:N8),
2.1,287.616,290.528,294.336,293.776,292.32,1458.58,15.9825,13.4635,6462,6422,6359,6433,6397,=AVERAGE(J9:N9),
2.2,296.576,296.128,289.408,288.4,289.632,1460.14,14.5861,14.9015,6412,6376,6473,6433,6405,=AVERAGE(J10:N10),
2.3,292.88,294.448,292.88,290.976,294.112,1465.3,11.7921,15.9099,6419,6392,6407,6430,6401,=AVERAGE(J11:N11),
2.4,253.008,256.256,254.912,256.368,255.92,1276.46,6.59796,16.3159,6472,6497,6501,6456,6462,=AVERAGE(J12:N12),
2.5,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,=AVERAGE(J13:N13),
2.6,183.792,159.936,177.856,166.096,171.136,858.816,16.9437,6.35831,31061,36289,32307,34896,33633,=AVERAGE(J14:N14),
2.7,182.336,164.416,177.184,170.352,178.08,872.368,18.0955,6.87199,17750,21147,18999,19936,18810,=AVERAGE(J15:N15),
2.8,224.112,222.656,224.336,228.032,228.592,1127.73,6.77921,18.1259,6502,6492,6487,6540,6504,=AVERAGE(J16:N16),
2.9,190.4,181.44,173.376,174.048,165.424,884.688,6.39803,16.9157,16945,18023,18902,19009,19988,=AVERAGE(J17:N17),
3,213.696,196.448,207.312,201.376,211.568,1030.4,13.7423,6.74737,7578,8807,8125,8513,7702,=AVERAGE(J18:N18),
3.1,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,=AVERAGE(J19:N19),
3.2,282.912,272.944,263.648,267.12,279.776,1366.4,13.8147,15.7738,21501,22631,23553,22984,21954,=AVERAGE(J20:N20),
3.3,289.52,293.552,295.568,290.304,294.784,1463.73,12.0224,16.3173,6463,6459,6405,6459,6440,=AVERAGE(J21:N21),
3.4,290.416,290.08,294.784,292.096,293.552,1460.93,11.8397,16.315,6458,6446,6424,6443,6422,=AVERAGE(J22:N22),
3.5,291.536,294.224,292.432,295.68,288.064,1461.94,11.6551,16.3046,6479,6411,6446,6384,6466,=AVERAGE(J23:N23),
3.6,292.432,291.76,291.2,293.664,294.224,1463.28,11.4685,16.2864,6484,6492,6494,6454,6471,=AVERAGE(J24:N24),
3.7,295.792,296.464,296.128,295.904,296.128,1480.42,11.28,16.2605,6388,6329,6468,6464,6432,=AVERAGE(J25:N25),
3.8,293.664,296.688,290.976,292.208,293.328,1466.86,11.2554,16.2566,6408,6410,6461,6421,6458,=AVERAGE(J26:N26),
3.9,291.424,290.08,292.32,287.168,285.376,1446.37,11.2554,16.2566,6453,6377,6431,6328,6427,=AVERAGE(J27:N27),
4,291.2,289.968,283.136,294.336,287.168,1445.81,11.2554,16.2566,6406,6326,6404,6324,6407,=AVERAGE(J28:N28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(G7:G28)
