Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,14.394,15.0139,0,0,0,=AVERAGE(H2:J2),
1.5,57.232,38.976,28.56,124.768,14.394,15.0139,57048,76208,74014,=AVERAGE(H3:J3),
1.6,281.68,293.776,296.128,871.584,14.394,15.0139,5792,6693,9624,=AVERAGE(H4:J4),
1.7,298.368,296.688,296.688,891.744,14.394,15.0139,5541,5545,5555,=AVERAGE(H5:J5),
1.8,297.136,296.24,299.152,892.528,14.394,15.0139,5532,5538,5529,=AVERAGE(H6:J6),
1.9,297.36,295.904,297.808,891.072,14.394,15.0139,5554,5555,5547,=AVERAGE(H7:J7),
2,297.36,297.472,298.592,893.424,14.2957,15.0676,5540,5539,5539,=AVERAGE(H8:J8),
2.1,296.576,297.024,295.904,889.504,14.0656,15.1842,5552,5543,5558,=AVERAGE(H9:J9),
2.2,299.488,298.144,298.032,895.664,13.8206,15.2962,5529,5530,5548,=AVERAGE(H10:J10),
2.3,297.472,297.36,296.576,891.408,13.5605,15.4034,5536,5545,5551,=AVERAGE(H11:J11),
2.4,297.024,298.256,296.8,892.08,13.2848,15.5056,5541,5543,5548,=AVERAGE(H12:J12),
2.5,296.464,296.128,297.136,889.728,12.9932,15.6027,5552,5536,5545,=AVERAGE(H13:J13),
2.6,296.352,297.584,297.472,891.408,12.6853,15.6945,5548,5538,5558,=AVERAGE(H14:J14),
2.7,296.464,298.48,296.688,891.632,12.3607,15.7808,5565,5524,5549,=AVERAGE(H15:J15),
2.8,296.8,298.816,297.36,892.976,12.019,15.8615,5538,5524,5550,=AVERAGE(H16:J16),
2.9,296.576,298.816,296.24,891.632,11.6597,15.9363,5551,5530,5554,=AVERAGE(H17:J17),
3,297.584,297.024,298.48,893.088,11.2826,16.0051,5552,5548,5537,=AVERAGE(H18:J18),
3.1,298.368,297.92,296.688,892.976,10.8871,16.0676,5524,5534,5543,=AVERAGE(H19:J19),
3.2,298.032,296.24,296.352,890.624,10.4728,16.1237,5540,5548,5557,=AVERAGE(H20:J20),
3.3,297.024,297.92,296.576,891.52,10.0394,16.1731,5554,5532,5572,=AVERAGE(H21:J21),
3.4,295.792,296.24,297.024,889.056,9.58643,16.2156,5546,5537,5545,=AVERAGE(H22:J22),
3.5,297.472,296.464,298.256,892.192,9.1135,16.2511,5551,5558,5546,=AVERAGE(H23:J23),
3.6,297.472,297.584,296.576,891.632,8.62008,16.2793,5542,5550,5550,=AVERAGE(H24:J24),
3.7,297.248,299.152,297.248,893.648,8.10582,16.2999,5537,5505,5568,=AVERAGE(H25:J25),
3.8,299.264,299.488,299.6,898.352,7.57029,16.3127,5543,5549,5527,=AVERAGE(H26:J26),
3.9,296.688,296.24,297.696,890.624,7.01304,16.3175,5547,5528,5552,=AVERAGE(H27:J27),
4,295.456,298.368,297.696,891.52,6.43368,16.3141,5560,5544,5539,=AVERAGE(H28:J28),
4.1,297.696,296.352,294.112,888.16,5.83174,16.3021,5531,5533,5551,=AVERAGE(H29:J29),
4.2,17.696,17.36,19.488,54.544,7.23397,13.572,5492,5937,5957,=AVERAGE(H30:J30),
4.3,297.808,292.432,286.72,876.96,7.24998,13.572,17009,17429,17878,=AVERAGE(H31:J31),
4.4,295.232,293.664,296.24,885.136,7.98101,13.297,5601,5611,5562,=AVERAGE(H32:J32),
4.5,296.8,295.68,297.92,890.4,8.70789,13.0061,5553,5535,5567,=AVERAGE(H33:J33),
4.6,296.352,298.48,296.464,891.296,9.41411,12.6989,5561,5549,5539,=AVERAGE(H34:J34),
4.7,297.248,298.032,296.016,891.296,10.0992,12.375,5546,5528,5580,=AVERAGE(H35:J35),
4.8,297.472,298.704,296.576,892.752,10.7627,12.034,5533,5546,5567,=AVERAGE(H36:J36),
4.9,295.68,298.704,297.808,892.192,11.404,11.6755,5551,5502,5526,=AVERAGE(H37:J37),
5,296.912,297.136,297.808,891.856,12.0229,11.2991,5548,5557,5550,=AVERAGE(H38:J38),
5.1,298.816,298.144,296.912,893.872,12.6187,10.9045,5514,5521,5544,=AVERAGE(H39:J39),
5.2,297.024,296.576,296.352,889.952,13.1911,10.491,5545,5552,5541,=AVERAGE(H40:J40),
5.3,298.928,297.808,297.024,893.76,13.7397,10.0584,5515,5521,5543,=AVERAGE(H41:J41),
5.4,297.024,296.576,296.576,890.176,14.2639,9.60634,5553,5561,5546,=AVERAGE(H42:J42),
5.5,297.024,297.92,296.912,891.856,14.7636,9.13424,5562,5533,5554,=AVERAGE(H43:J43),
5.6,298.704,297.472,296.352,892.528,15.2382,8.64172,5537,5542,5563,=AVERAGE(H44:J44),
5.7,295.456,296.352,297.248,889.056,15.6873,8.12837,5545,5554,5578,=AVERAGE(H45:J45),
5.8,297.472,297.696,296.688,891.856,16.1108,7.59376,5565,5530,5551,=AVERAGE(H46:J46),
5.9,297.584,296.576,297.136,891.296,16.5081,7.03744,5541,5588,5569,=AVERAGE(H47:J47),
6,297.808,297.248,297.136,892.192,16.8791,6.45904,5517,5523,5545,=AVERAGE(H48:J48),
6.1,18.592,18.816,19.264,56.672,18.4098,5.80459,6035,6042,5381,=AVERAGE(H49:J49),
6.2,259.616,256.368,250.208,766.192,17.8146,7.67848,20400,20788,21514,=AVERAGE(H50:J50),
6.3,296.576,296.8,298.816,892.192,17.5229,8.41364,5573,5585,5527,=AVERAGE(H51:J51),
6.4,298.592,296.912,297.136,892.64,17.2041,9.12836,5499,5506,5533,=AVERAGE(H52:J52),
6.5,297.36,296.8,298.256,892.416,16.8583,9.82214,5558,5568,5550,=AVERAGE(H53:J53),
6.6,297.36,296.24,298.48,892.08,16.4858,10.4945,5528,5537,5518,=AVERAGE(H54:J54),
6.7,296.8,298.368,298.816,893.984,16.0869,11.145,5547,5562,5537,=AVERAGE(H55:J55),
6.8,298.592,298.592,297.024,894.208,15.662,11.773,5523,5534,5554,=AVERAGE(H56:J56),
6.9,298.816,297.584,295.12,891.52,15.2113,12.3783,5547,5504,5573,=AVERAGE(H57:J57),
7,296.24,297.92,296.912,891.072,14.7353,12.9603,5569,5530,5552,=AVERAGE(H58:J58),
7.1,297.584,297.696,296.464,891.744,14.2342,13.5186,5548,5557,5579,=AVERAGE(H59:J59),
7.2,297.136,298.368,295.68,891.184,13.7085,14.0529,5523,5535,5553,=AVERAGE(H60:J60),
7.3,298.816,297.472,296.464,892.752,13.1585,14.5626,5558,5509,5531,=AVERAGE(H61:J61),
7.4,296.24,299.152,297.248,892.64,12.5848,15.0475,5531,5545,5565,=AVERAGE(H62:J62),
7.5,297.248,297.808,296.912,891.968,11.9875,15.5071,5569,5520,5543,=AVERAGE(H63:J63),
7.6,295.792,299.264,296.464,891.52,11.3674,15.9411,5546,5560,5579,=AVERAGE(H64:J64),
7.7,297.36,298.48,297.36,893.2,10.7247,16.3491,5529,5479,5501,=AVERAGE(H65:J65),
7.8,296.128,296.8,297.92,890.848,10.06,16.7308,5568,5576,5541,=AVERAGE(H66:J66),
7.9,297.024,299.6,298.144,894.768,9.37371,17.0861,5552,5501,5521,=AVERAGE(H67:J67),
8,299.488,298.816,299.376,897.68,8.66629,17.4143,5476,5542,5566,=AVERAGE(H68:J68),
8.1,299.376,298.592,296.464,894.432,7.93818,17.7155,5583,5524,5543,=AVERAGE(H69:J69),
8.2,296.128,299.04,297.024,892.192,7.19003,17.9894,5561,5507,5591,=AVERAGE(H70:J70),
8.3,296.8,297.696,296.688,891.184,6.4222,18.2356,5547,5552,5574,=AVERAGE(H71:J71),
8.4,18.592,18.592,18.704,55.888,7.03269,16.5113,5010,6073,5045,=AVERAGE(H72:J72),
8.5,295.232,289.632,284.368,869.232,7.58922,16.1142,17028,17382,17935,=AVERAGE(H73:J73),
8.6,261.632,259.056,253.12,773.808,7.65704,16.1142,6926,7096,7379,=AVERAGE(H74:J74),
8.7,296.688,297.584,297.136,891.408,8.12399,15.691,5546,5558,5520,=AVERAGE(H75:J75),
8.8,298.256,296.912,296.016,891.184,8.63753,15.242,5530,5536,5565,=AVERAGE(H76:J76),
8.9,295.904,296.912,299.04,891.856,9.13019,14.7676,5505,5516,5552,=AVERAGE(H77:J77),
9,296.576,298.256,296.464,891.296,9.60247,14.2682,5558,5571,5598,=AVERAGE(H78:J78),
9.1,298.928,296.8,296.24,891.968,10.0548,13.7442,5545,5550,5506,=AVERAGE(H79:J79),
9.2,297.584,296.016,297.248,890.848,10.4875,13.1958,5525,5530,5563,=AVERAGE(H80:J80),
9.3,298.144,297.584,295.344,891.072,10.9011,12.6236,5583,5591,5540,=AVERAGE(H81:J81),
9.4,296.688,296.352,298.256,891.296,11.2959,12.0279,5564,5496,5605,=AVERAGE(H82:J82),
9.5,299.152,297.248,296.688,893.088,11.6724,11.4093,5476,5557,5508,=AVERAGE(H83:J83),
9.6,296.352,298.704,295.68,890.736,12.0311,10.7681,5608,5544,5566,=AVERAGE(H84:J84),
9.7,298.816,297.472,296.128,892.416,12.3722,10.1048,5520,5525,5551,=AVERAGE(H85:J85),
9.8,299.376,297.584,296.8,893.76,12.6963,9.41996,5505,5510,5537,=AVERAGE(H86:J86),
9.9,295.456,298.368,298.032,891.856,13.0036,8.71385,5562,5576,5604,=AVERAGE(H87:J87),
10,297.36,297.584,296.352,891.296,13.2946,7.98715,5552,5479,5505,=AVERAGE(H88:J88),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(E7:E88)
