Time [s],User1_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),Avg_latency(µs),
1.4,0,14.394,15.0139,0,=AVERAGE(F2:F2),
1.5,57.232,14.394,15.0139,57109,=AVERAGE(F3:F3),
1.6,285.264,14.394,15.0139,5510,=AVERAGE(F4:F4),
1.7,299.936,14.394,15.0139,5267,=AVERAGE(F5:F5),
1.8,299.824,14.394,15.0139,5267,=AVERAGE(F6:F6),
1.9,300.048,14.394,15.0139,5268,=AVERAGE(F7:F7),
2,299.824,14.2957,15.0676,5268,=AVERAGE(F8:F8),
2.1,299.936,14.0656,15.1842,5271,=AVERAGE(F9:F9),
2.2,299.6,13.8206,15.2962,5265,=AVERAGE(F10:F10),
2.3,300.16,13.5605,15.4034,5270,=AVERAGE(F11:F11),
2.4,300.048,13.2848,15.5056,5269,=AVERAGE(F12:F12),
2.5,299.936,12.9932,15.6027,5270,=AVERAGE(F13:F13),
2.6,299.712,12.6853,15.6945,5263,=AVERAGE(F14:F14),
2.7,299.712,12.3607,15.7808,5277,=AVERAGE(F15:F15),
2.8,300.048,12.019,15.8615,5262,=AVERAGE(F16:F16),
2.9,299.936,11.6597,15.9363,5261,=AVERAGE(F17:F17),
3,299.824,11.2826,16.0051,5272,=AVERAGE(F18:F18),
3.1,299.824,10.8871,16.0676,5275,=AVERAGE(F19:F19),
3.2,299.936,10.4728,16.1237,5261,=AVERAGE(F20:F20),
3.3,299.936,10.0394,16.1731,5278,=AVERAGE(F21:F21),
3.4,299.824,9.58647,16.2156,5271,=AVERAGE(F22:F22),
3.5,299.824,9.1135,16.2511,5254,=AVERAGE(F23:F23),
3.6,300.048,8.62009,16.2793,5284,=AVERAGE(F24:F24),
3.7,299.824,8.10584,16.2999,5260,=AVERAGE(F25:F25),
3.8,300.048,7.57031,16.3127,5263,=AVERAGE(F26:F26),
3.9,299.936,7.01306,16.3175,5271,=AVERAGE(F27:F27),
4,299.712,6.43368,16.3141,5285,=AVERAGE(F28:F28),
4.1,299.824,5.83174,16.3021,5253,=AVERAGE(F29:F29),
4.2,17.92,7.23397,13.572,5217,=AVERAGE(F30:F30),
4.3,298.48,7.24946,13.572,16749,=AVERAGE(F31:F31),
4.4,300.048,7.98101,13.297,5271,=AVERAGE(F32:F32),
4.5,299.712,8.70792,13.0061,5273,=AVERAGE(F33:F33),
4.6,299.936,9.41411,12.6989,5282,=AVERAGE(F34:F34),
4.7,299.936,10.0992,12.375,5265,=AVERAGE(F35:F35),
4.8,299.936,10.7627,12.034,5251,=AVERAGE(F36:F36),
4.9,299.152,11.404,11.6755,5272,=AVERAGE(F37:F37),
5,299.936,12.0229,11.2991,5268,=AVERAGE(F38:F38),
5.1,300.384,12.6187,10.9045,5266,=AVERAGE(F39:F39),
5.2,299.712,13.1911,10.491,5265,=AVERAGE(F40:F40),
5.3,299.712,13.7397,10.0585,5268,=AVERAGE(F41:F41),
5.4,299.936,14.2639,9.60634,5275,=AVERAGE(F42:F42),
5.5,299.488,14.7636,9.13424,5283,=AVERAGE(F43:F43),
5.6,299.936,15.2382,8.64172,5256,=AVERAGE(F44:F44),
5.7,299.936,15.6873,8.12837,5269,=AVERAGE(F45:F45),
5.8,299.712,16.1108,7.59376,5285,=AVERAGE(F46:F46),
5.9,299.824,16.5081,7.03746,5261,=AVERAGE(F47:F47),
6,177.744,16.8791,6.45904,13155,=AVERAGE(F48:F48),
6.1,18.592,18.4098,5.80459,5160,=AVERAGE(F49:F49),
6.2,268.128,17.8146,7.67848,19478,=AVERAGE(F50:F50),
6.3,300.048,17.5229,8.41364,5270,=AVERAGE(F51:F51),
6.4,299.712,17.2041,9.12841,5278,=AVERAGE(F52:F52),
6.5,299.936,16.8583,9.82213,5242,=AVERAGE(F53:F53),
6.6,299.936,16.4858,10.4945,5304,=AVERAGE(F54:F54),
6.7,299.936,16.0869,11.1449,5222,=AVERAGE(F55:F55),
6.8,300.048,15.662,11.773,5290,=AVERAGE(F56:F56),
6.9,299.824,15.2113,12.3783,5259,=AVERAGE(F57:F57),
7,299.936,14.7353,12.9603,5282,=AVERAGE(F58:F58),
7.1,299.936,14.2342,13.5186,5254,=AVERAGE(F59:F59),
7.2,299.936,13.7085,14.0529,5281,=AVERAGE(F60:F60),
7.3,299.6,13.1585,14.5626,5254,=AVERAGE(F61:F61),
7.4,300.048,12.5848,15.0475,5286,=AVERAGE(F62:F62),
7.5,299.6,11.9876,15.5071,5261,=AVERAGE(F63:F63),
7.6,300.272,11.3674,15.9411,5238,=AVERAGE(F64:F64),
7.7,299.712,10.7247,16.3491,5273,=AVERAGE(F65:F65),
7.8,299.936,10.06,16.7308,5312,=AVERAGE(F66:F66),
7.9,299.824,9.37372,17.086,5230,=AVERAGE(F67:F67),
8,299.936,8.66627,17.4143,5271,=AVERAGE(F68:F68),
8.1,300.048,7.93823,17.7156,5315,=AVERAGE(F69:F69),
8.2,299.824,7.19003,17.9894,5232,=AVERAGE(F70:F70),
8.3,299.936,6.4222,18.2356,5278,=AVERAGE(F71:F71),
8.4,17.36,7.03269,16.5113,4724,=AVERAGE(F72:F72),
8.5,266.448,7.58919,16.1142,19596,=AVERAGE(F73:F73),
8.6,300.944,7.60003,16.1142,5300,=AVERAGE(F74:F74),
8.7,294.336,8.12397,15.691,5332,=AVERAGE(F75:F75),
8.8,299.824,8.6375,15.242,5255,=AVERAGE(F76:F76),
8.9,299.712,9.13019,14.7677,5233,=AVERAGE(F77:F77),
9,299.936,9.60246,14.2682,5283,=AVERAGE(F78:F78),
9.1,300.048,10.0548,13.7442,5263,=AVERAGE(F79:F79),
9.2,299.488,10.4875,13.1958,5316,=AVERAGE(F80:F80),
9.3,300.272,10.9011,12.6236,5225,=AVERAGE(F81:F81),
9.4,299.824,11.2959,12.028,5279,=AVERAGE(F82:F82),
9.5,299.824,11.6724,11.4093,5261,=AVERAGE(F83:F83),
9.6,299.936,12.0311,10.7681,5321,=AVERAGE(F84:F84),
9.7,299.824,12.3722,10.1049,5226,=AVERAGE(F85:F85),
9.8,300.048,12.6963,9.41996,5288,=AVERAGE(F86:F86),
9.9,299.936,13.0036,8.71391,5272,=AVERAGE(F87:F87),
10,299.936,13.2946,7.9872,5256,=AVERAGE(F88:F88),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(C7:C88)
