Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),User8_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),User8_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,0,0,0,=AVERAGE(M2:T2),
1.5,57.232,42.672,28.56,28.56,28.56,28.56,28.56,28.56,271.264,16.1833,10.8819,56808,72695,73755,74238,74861,75484,76057,76615,=AVERAGE(M3:T3),
1.6,209.888,217.168,231.28,226.352,225.568,220.976,216.944,200.144,1748.32,16.1833,10.8819,9928,10266,13964,14506,15013,15452,15551,16674,=AVERAGE(M4:T4),
1.7,225.456,231.056,230.272,233.52,221.536,222.88,215.264,237.664,1817.65,16.1833,10.8819,10099,9668,10019,10241,9949,10160,10382,10035,=AVERAGE(M5:T5),
1.8,220.528,227.808,228.928,217.952,223.888,225.792,228.144,215.936,1788.98,16.1833,10.8819,10115,9818,10067,10009,10401,10146,9730,10294,=AVERAGE(M6:T6),
1.9,229.04,221.2,222.992,224,225.344,224.896,233.632,225.456,1806.56,16.1833,10.8819,10080,10180,10049,10070,9973,10213,10047,10064,=AVERAGE(M7:T7),
2,221.648,236.32,226.464,224.784,228.032,229.712,220.864,227.92,1815.74,16.3097,11.7277,9868,9853,10333,10270,10219,9829,10025,10125,=AVERAGE(M8:T8),
2.1,229.488,213.584,226.464,223.776,231.28,225.68,233.184,222.992,1806.45,15.9825,13.4635,10159,10451,10105,9975,9904,10352,9890,10016,=AVERAGE(M9:T9),
2.2,226.352,228.592,224.336,231.84,224.896,220.64,227.248,230.944,1814.85,14.5863,14.9015,10104,10029,9912,9641,9902,10112,9543,9456,=AVERAGE(M10:T10),
2.3,227.584,222.432,226.912,222.096,223.552,227.024,218.96,216.944,1785.5,11.792,15.9099,9894,10193,10042,10026,10132,9993,10096,10051,=AVERAGE(M11:T11),
2.4,194.544,206.192,209.216,202.944,196.112,202.496,206.528,215.6,1633.63,6.59816,16.3159,10086,9825,9543,9459,9959,10039,10163,9862,=AVERAGE(M12:T12),
2.5,0,0,0,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,0,0,0,=AVERAGE(M13:T13),
2.6,147.392,133.728,126.56,156.464,152.992,144.48,126.336,125.216,1113.17,16.9445,6.35826,39880,44796,47118,38514,38344,41916,47576,48100,=AVERAGE(M14:T14),
2.7,151.648,145.6,157.584,120.4,133.728,123.312,122.08,132.384,1086.74,18.0955,6.87199,23256,24314,22252,29119,26508,28894,28694,26134,=AVERAGE(M15:T15),
2.8,149.744,160.944,165.984,151.648,167.552,150.864,178.08,168.336,1293.15,6.77899,18.1258,10524,10608,10557,10607,10630,10923,11089,10526,=AVERAGE(M16:T16),
2.9,167.104,149.632,133.392,141.344,141.68,149.296,114.128,130.032,1126.61,6.39803,16.9157,22428,24102,26545,25254,25646,24053,29902,27156,=AVERAGE(M17:T17),
3,161.952,174.384,177.184,179.536,168.56,170.464,179.536,192.864,1404.48,13.7425,6.74622,10448,11235,10917,11212,10923,10961,10365,10873,=AVERAGE(M18:T18),
3.1,0,0,0,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,0,0,0,=AVERAGE(M19:T19),
3.2,232.624,213.248,202.72,217.056,212.8,229.264,225.008,193.648,1726.37,13.815,15.7739,28094,30895,32570,29837,30452,28514,29155,33640,=AVERAGE(M20:T20),
3.3,231.616,223.104,224.784,230.832,228.032,229.152,224.112,221.648,1813.28,12.0224,16.3173,9498,9931,10319,10467,9972,9543,9923,10219,=AVERAGE(M21:T21),
3.4,218.064,223.552,222.096,225.904,221.648,226.576,225.232,233.52,1796.59,11.8397,16.315,10525,10386,10468,10047,10362,10118,10588,10049,=AVERAGE(M22:T22),
3.5,227.024,231.28,218.288,226.352,229.488,220.08,222.096,222.544,1797.15,11.6551,16.3046,10267,10039,10149,10018,9998,10153,10101,9985,=AVERAGE(M23:T23),
3.6,228.592,214.816,230.944,220.416,224.448,220.304,225.344,220.192,1785.06,11.4685,16.2864,10219,10005,10108,10070,9991,10265,10093,10138,=AVERAGE(M24:T24),
3.7,220.416,228.704,234.192,227.584,215.824,234.416,228.48,225.344,1814.96,11.28,16.2605,10028,10205,10074,10185,9984,10160,10285,10009,=AVERAGE(M25:T25),
3.8,227.36,217.616,215.936,231.84,233.184,227.36,218.848,226.912,1799.06,11.2554,16.2566,10100,9903,10179,10116,9931,10246,10216,9814,=AVERAGE(M26:T26),
3.9,231.056,224.672,229.488,204.624,221.648,209.888,239.792,233.856,1795.02,11.2554,16.2566,10243,10217,10406,10081,10233,9632,9647,9870,=AVERAGE(M27:T27),
4,217.392,229.152,214.032,227.92,223.888,238.56,216.608,222.768,1790.32,11.2554,16.2566,9791,10149,10064,10128,10032,10296,9830,9712,=AVERAGE(M28:T28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(J7:J28)
