Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,0,=AVERAGE(L2:R2),
1.5,57.232,39.984,28.56,28.56,28.56,28.56,28.56,240.016,14.394,15.0139,56891,75355,73857,74453,75003,75536,76090,=AVERAGE(L3:R3),
1.6,235.872,249.312,256.256,246.288,240.8,236.432,226.128,1691.09,14.394,15.0139,8507,9358,12643,12921,13590,14036,14142,=AVERAGE(L4:R4),
1.7,241.472,248.64,246.736,260.064,247.408,252.784,252.672,1749.78,14.394,15.0139,8869,8519,8828,8703,8442,8592,8876,=AVERAGE(L5:R5),
1.8,250.32,248.192,245.28,242.592,253.568,248.864,253.456,1742.27,14.394,15.0139,8771,8456,8290,8521,8875,8745,8592,=AVERAGE(L6:R6),
1.9,251.216,253.344,248.416,258.832,251.44,246.176,243.264,1752.69,14.394,15.0139,8675,8726,8696,8582,8655,8857,8569,=AVERAGE(L7:R7),
2,249.424,249.984,252.112,247.52,245.952,245.728,247.968,1738.69,14.2957,15.0676,8910,8784,8849,8841,8387,8698,8884,=AVERAGE(L8:R8),
2.1,248.864,249.088,251.104,243.376,249.424,258.272,249.312,1749.44,14.0655,15.1842,8826,8598,8865,8721,8975,8553,8541,=AVERAGE(L9:R9),
2.2,249.648,251.776,245.28,249.088,249.312,246.736,253.904,1745.74,13.8206,15.2962,8734,8580,8762,8663,8906,8785,8528,=AVERAGE(L10:R10),
2.3,255.024,249.424,249.312,250.88,247.296,244.16,249.648,1745.74,13.5605,15.4034,8558,8791,8953,8783,8784,8749,8885,=AVERAGE(L11:R11),
2.4,244.384,250.096,249.76,249.088,250.88,252.672,245.728,1742.61,13.2848,15.5056,8598,8833,8834,8913,8752,8570,9025,=AVERAGE(L12:R12),
2.5,248.528,247.632,242.592,247.856,248.752,247.632,244.048,1727.04,12.9932,15.6027,8610,8600,8731,8926,8753,8465,8714,=AVERAGE(L13:R13),
2.6,248.304,252.896,251.44,245.28,243.376,250.88,255.248,1747.42,12.6853,15.6945,8709,8406,8385,8965,8926,8703,8800,=AVERAGE(L14:R14),
2.7,256.704,240.688,241.36,238.672,261.856,248.64,246.064,1733.98,12.3607,15.7808,8575,8719,8846,8901,8403,8831,8801,=AVERAGE(L15:R15),
2.8,245.504,256.368,251.44,252.56,239.008,256.592,247.856,1749.33,12.0189,15.8615,8641,8679,8321,8794,8721,8761,8644,=AVERAGE(L16:R16),
2.9,250.208,246.96,258.272,251.888,246.176,237.552,249.872,1740.93,11.6597,15.9363,8868,8304,8679,8994,8375,8661,8966,=AVERAGE(L17:R17),
3,246.96,247.408,244.16,246.288,251.44,252.224,248.752,1737.23,11.2826,16.0051,8673,8796,8525,8715,8804,8836,8767,=AVERAGE(L18:R18),
3.1,251.328,249.424,248.64,245.84,251.44,241.584,246.736,1734.99,10.887,16.0676,8886,8590,9028,8970,8511,9098,8981,=AVERAGE(L19:R19),
3.2,254.016,256.48,252.784,249.088,248.864,245.952,246.624,1753.81,10.4728,16.1237,8622,8831,8730,8906,8836,8845,8905,=AVERAGE(L20:R20),
3.3,246.736,249.088,253.344,248.864,253.568,250.096,246.736,1748.43,10.0394,16.1731,8562,8720,8471,8725,8562,8275,8647,=AVERAGE(L21:R21),
3.4,250.432,251.104,246.176,249.648,252.112,249.648,254.016,1753.14,9.58647,16.2156,8526,8737,8691,8776,8631,8766,8819,=AVERAGE(L22:R22),
3.5,252,252.448,248.304,251.328,250.656,249.984,250.992,1755.71,9.11348,16.2511,8648,8843,8691,8790,8549,8798,8741,=AVERAGE(L23:R23),
3.6,248.528,246.96,253.232,251.328,246.96,252.224,251.888,1751.12,8.62007,16.2793,8386,8859,8809,8937,8864,8683,8923,=AVERAGE(L24:R24),
3.7,254.8,249.2,253.232,237.552,251.888,244.16,234.976,1725.81,8.1058,16.2999,8631,8628,8743,8593,8569,8642,8563,=AVERAGE(L25:R25),
3.8,238.448,243.264,239.344,255.808,250.768,250.88,250.656,1729.17,7.57027,16.3127,8492,8514,8380,8693,8525,8692,8544,=AVERAGE(L26:R26),
3.9,253.232,254.352,249.088,247.52,245.056,250.656,252.336,1752.24,7.01306,16.3175,8500,8748,8463,8616,8447,8759,8598,=AVERAGE(L27:R27),
4,246.064,243.6,246.736,252.784,247.856,245.28,259.84,1742.16,6.43365,16.3141,8452,8542,8548,8649,8494,8477,8582,=AVERAGE(L28:R28),
4.1,254.128,254.016,255.248,247.184,248.976,251.776,254.128,1765.46,5.83171,16.3021,8755,8572,8725,8479,8522,8617,8585,=AVERAGE(L29:R29),
4.2,11.2,17.024,14.224,26.32,22.064,18.48,17.92,127.232,7.23397,13.572,11996,9475,11868,11443,11195,9890,9950,=AVERAGE(L30:R30),
4.3,262.416,246.064,254.464,232.064,238.448,248.08,230.608,1712.14,7.24909,13.572,21240,22954,21986,23774,23173,22608,24190,=AVERAGE(L31:R31),
4.4,249.984,246.4,254.24,246.96,246.96,252.896,244.944,1742.38,7.99583,13.297,8817,8593,8610,8701,8406,8657,9082,=AVERAGE(L32:R32),
4.5,250.656,248.416,244.16,251.44,248.752,238.896,246.4,1728.72,8.72244,13.0061,8796,8854,8854,8936,8854,8826,8863,=AVERAGE(L33:R33),
4.6,252.224,246.512,253.232,245.952,253.904,249.312,251.216,1752.35,9.41417,12.6989,8781,8801,8683,8714,8552,8626,8524,=AVERAGE(L34:R34),
4.7,244.608,259.728,249.312,248.304,247.184,246.848,250.88,1746.86,10.0992,12.375,8551,8640,8612,8537,8771,8769,8722,=AVERAGE(L35:R35),
4.8,252.336,244.16,251.552,258.048,246.96,251.104,246.064,1750.22,10.7627,12.034,8713,8527,8690,8539,8593,8667,8579,=AVERAGE(L36:R36),
4.9,249.648,248.528,247.072,243.712,256.256,247.632,255.248,1748.1,11.4041,11.6755,8260,8519,8726,8544,8860,9065,8423,=AVERAGE(L37:R37),
5,251.216,255.696,247.744,254.688,245.28,248.416,248.528,1751.57,12.0229,11.2991,8673,8422,8580,8227,8898,8696,8661,=AVERAGE(L38:R38),
5.1,247.968,251.776,250.656,248.304,249.648,249.088,247.856,1745.3,12.6187,10.9044,8551,8731,8925,8821,8841,8721,8501,=AVERAGE(L39:R39),
5.2,246.848,250.432,248.752,250.096,244.944,250.32,248.192,1739.58,13.1911,10.491,8501,8581,8857,8896,8722,8717,8842,=AVERAGE(L40:R40),
5.3,252.448,252.336,247.072,242.704,251.328,247.632,252.224,1745.74,13.7397,10.0584,8732,8469,8636,8579,8628,8816,8780,=AVERAGE(L41:R41),
5.4,246.176,249.424,249.536,251.888,251.664,249.536,248.416,1746.64,14.264,9.60632,9073,8411,8718,8867,8587,8710,8502,=AVERAGE(L42:R42),
5.5,247.52,248.64,253.008,245.504,250.432,258.72,251.328,1755.15,14.7636,9.13424,8706,8911,8384,8624,8619,8660,8618,=AVERAGE(L43:R43),
5.6,249.984,248.864,252.784,250.544,249.984,244.608,249.872,1746.64,15.2382,8.64168,8682,8609,8650,8719,8740,8822,8612,=AVERAGE(L44:R44),
5.7,239.232,246.512,246.624,252.896,249.648,249.76,248.416,1733.09,15.6874,8.12834,8797,8861,8933,8975,8668,8806,8896,=AVERAGE(L45:R45),
