Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,16.1833,10.8819,0,0,0,0,=AVERAGE(I2:L2),
1.5,57.232,44.464,28.56,28.56,158.816,16.1833,10.8819,56993,70977,73862,74354,=AVERAGE(I3:L3),
1.6,280.224,282.8,293.104,287.728,1143.86,16.1833,10.8819,6034,6436,9963,10157,=AVERAGE(I4:L4),
1.7,297.136,296.24,295.008,293.216,1181.6,16.1833,10.8819,5801,5813,5837,5868,=AVERAGE(I5:L5),
1.8,299.152,296.688,293.776,295.008,1184.62,16.1833,10.8819,5782,5792,5847,5825,=AVERAGE(I6:L6),
1.9,293.664,297.248,294.896,297.696,1183.5,16.1833,10.8819,5839,5825,5836,5782,=AVERAGE(I7:L7),
2,297.36,294.224,295.792,293.328,1180.7,16.3097,11.7279,5810,5844,5841,5859,=AVERAGE(I8:L8),
2.1,293.104,296.464,294.448,298.368,1182.38,15.9825,13.4634,5829,5826,5842,5791,=AVERAGE(I9:L9),
2.2,297.024,294,295.344,296.24,1182.61,14.5863,14.9015,5798,5838,5840,5825,=AVERAGE(I10:L10),
2.3,297.584,293.664,293.776,295.68,1180.7,11.7921,15.9099,5790,5831,5854,5800,=AVERAGE(I11:L11),
2.4,257.04,259.616,260.848,263.088,1040.59,6.59818,16.3159,5853,5847,5855,5846,=AVERAGE(I12:L12),
2.5,0,0,0,0,0,6.87199,13.6971,0,0,0,0,=AVERAGE(I13:L13),
2.6,179.088,169.12,164.08,159.04,671.328,16.9441,6.35896,31301,33220,34449,35724,=AVERAGE(I14:L14),
2.7,193.984,184.016,176.512,172.704,727.216,18.0955,6.87199,16934,18232,19344,19963,=AVERAGE(I15:L15),
2.8,221.424,223.216,224.784,222.88,892.304,6.77824,18.1253,6042,6062,6083,6079,=AVERAGE(I16:L16),
2.9,195.216,186.032,173.936,177.968,733.152,6.39803,16.9157,16529,17549,19009,18418,=AVERAGE(I17:L17),
3,244.16,247.184,244.496,245.728,981.568,13.742,6.74597,6024,6036,6039,6007,=AVERAGE(I18:L18),
3.1,0,0,0,0,0,16.3136,6.39803,0,0,0,0,=AVERAGE(I19:L19),
3.2,290.304,271.152,281.568,278.768,1121.79,13.8152,15.7737,20762,22646,21432,21976,=AVERAGE(I20:L20),
3.3,297.808,293.664,294.112,297.136,1182.72,12.0224,16.3173,5802,5810,5832,5812,=AVERAGE(I21:L21),
3.4,292.88,294.672,295.568,297.472,1180.59,11.8397,16.315,5825,5843,5822,5811,=AVERAGE(I22:L22),
3.5,294.112,296.016,294,295.456,1179.58,11.6551,16.3046,5840,5834,5853,5824,=AVERAGE(I23:L23),
3.6,299.264,293.328,296.464,294.56,1183.62,11.4685,16.2864,5771,5849,5835,5824,=AVERAGE(I24:L24),
3.7,296.464,298.48,298.704,297.248,1190.9,11.28,16.2605,5792,5801,5772,5803,=AVERAGE(I25:L25),
3.8,298.144,297.136,298.256,298.816,1192.35,11.2554,16.2566,5816,5843,5847,5806,=AVERAGE(I26:L26),
3.9,295.568,291.76,295.568,296.352,1179.25,11.2554,16.2566,5792,5834,5853,5845,=AVERAGE(I27:L27),
4,295.792,296.016,292.208,296.24,1180.26,11.2554,16.2566,5820,5803,5847,5822,=AVERAGE(I28:L28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(F7:F28)
