Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,16.1833,10.8819,0,0,0,0,=AVERAGE(I2:L2),
1.5,57.232,48.944,28.56,28.56,163.296,16.1833,10.8819,57068,65762,73836,74210,=AVERAGE(I3:L3),
1.6,277.76,284.144,294.336,289.296,1145.54,16.1833,10.8819,6065,6217,9922,10090,=AVERAGE(I4:L4),
1.7,296.912,296.8,294.448,293.664,1181.82,16.1833,10.8819,5791,5800,5843,5844,=AVERAGE(I5:L5),
1.8,294.784,296.912,295.12,296.128,1182.94,16.1833,10.8819,5824,5791,5835,5841,=AVERAGE(I6:L6),
1.9,294.112,296.912,295.568,295.12,1181.71,16.1833,10.8819,5829,5798,5819,5834,=AVERAGE(I7:L7),
2,297.248,294.448,296.24,295.232,1183.17,16.3097,11.7278,5798,5828,5811,5832,=AVERAGE(I8:L8),
2.1,297.584,294.56,292.992,295.232,1180.37,15.9825,13.4634,5794,5851,5852,5837,=AVERAGE(I9:L9),
2.2,296.576,294.784,296.128,294.672,1182.16,14.5863,14.9015,5803,5830,5822,5834,=AVERAGE(I10:L10),
2.3,296.24,293.776,296.128,294.448,1180.59,11.7922,15.9099,5831,5857,5841,5849,=AVERAGE(I11:L11),
2.4,260.512,258.832,257.376,258.048,1034.77,6.59847,16.3159,5828,5826,5863,5855,=AVERAGE(I12:L12),
2.5,0,0,0,0,0,6.87199,13.6971,0,0,0,0,=AVERAGE(I13:L13),
2.6,182.672,178.528,166.544,171.92,699.664,16.9437,6.35896,30432,31629,34238,32957,=AVERAGE(I14:L14),
2.7,190.4,176.512,181.216,188.048,736.176,18.0955,6.87199,17262,19143,18451,17692,=AVERAGE(I15:L15),
2.8,223.216,222.88,222.32,222.32,890.736,6.77921,18.1259,5893,5872,5900,5863,=AVERAGE(I16:L16),
2.9,196.448,176.736,182,186.256,741.44,6.39803,16.9157,16236,18769,17944,17478,=AVERAGE(I17:L17),
3,245.952,247.184,245.056,247.296,985.488,13.7425,6.74737,5859,5855,5849,5855,=AVERAGE(I18:L18),
3.1,0,0,0,0,0,16.3136,6.39803,0,0,0,0,=AVERAGE(I19:L19),
3.2,293.664,282.912,285.376,274.736,1136.69,13.8152,15.7739,20402,21413,21116,22068,=AVERAGE(I20:L20),
3.3,297.024,293.216,295.232,295.456,1180.93,12.0224,16.3173,5813,5841,5832,5828,=AVERAGE(I21:L21),
3.4,293.104,295.456,298.48,297.808,1184.85,11.8397,16.315,5816,5795,5783,5782,=AVERAGE(I22:L22),
3.5,294.896,296.24,295.12,294.224,1180.48,11.6551,16.3046,5827,5842,5827,5860,=AVERAGE(I23:L23),
3.6,294.896,294.784,295.008,296.24,1180.93,11.4684,16.2864,5846,5843,5840,5817,=AVERAGE(I24:L24),
3.7,297.92,297.248,297.36,297.584,1190.11,11.28,16.2605,5822,5823,5831,5847,=AVERAGE(I25:L25),
3.8,298.704,297.584,296.576,296.016,1188.88,11.2554,16.2566,5823,5833,5848,5838,=AVERAGE(I26:L26),
3.9,294.896,294.56,293.104,296.352,1178.91,11.2554,16.2566,5833,5788,5798,5826,=AVERAGE(I27:L27),
4,292.656,295.68,297.808,291.424,1177.57,11.2554,16.2566,5827,5829,5851,5810,=AVERAGE(I28:L28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(F7:F28)
