Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,14.394,15.0139,0,0,0,0,=AVERAGE(I2:L2),
1.5,57.232,39.872,28.56,28.56,154.224,14.394,15.0139,56936,75578,73860,74411,=AVERAGE(I3:L3),
1.6,277.648,286.944,294.56,286.608,1145.76,14.394,15.0139,6055,6837,9848,10200,=AVERAGE(I4:L4),
1.7,294,296.576,294.224,296.576,1181.38,14.394,15.0139,5854,5830,5858,5825,=AVERAGE(I5:L5),
1.8,297.36,294,293.664,293.552,1178.58,14.394,15.0139,5785,5827,5826,5840,=AVERAGE(I6:L6),
1.9,294.224,295.568,295.456,296.8,1182.05,14.394,15.0139,5850,5839,5839,5831,=AVERAGE(I7:L7),
2,295.232,294,297.36,294.448,1181.04,14.2957,15.0676,5813,5846,5815,5860,=AVERAGE(I8:L8),
2.1,295.568,296.912,295.008,294.224,1181.71,14.0656,15.1842,5830,5800,5852,5846,=AVERAGE(I9:L9),
2.2,295.232,292.768,293.888,296.352,1178.24,13.8206,15.2962,5843,5840,5844,5822,=AVERAGE(I10:L10),
2.3,296.8,297.808,293.104,295.344,1183.06,13.5605,15.4034,5822,5815,5817,5818,=AVERAGE(I11:L11),
2.4,293.328,293.664,296.016,295.12,1178.13,13.2848,15.5056,5840,5838,5832,5821,=AVERAGE(I12:L12),
2.5,295.008,295.456,292.88,294,1177.34,12.9932,15.6027,5812,5830,5843,5839,=AVERAGE(I13:L13),
2.6,295.008,295.904,294.896,295.568,1181.38,12.6853,15.6945,5857,5806,5822,5863,=AVERAGE(I14:L14),
2.7,294,297.584,295.344,294.672,1181.6,12.3607,15.7808,5838,5790,5825,5827,=AVERAGE(I15:L15),
2.8,293.44,293.104,295.456,298.928,1180.93,12.019,15.8615,5847,5837,5835,5794,=AVERAGE(I16:L16),
2.9,296.352,294.224,293.776,295.456,1179.81,11.6597,15.9363,5830,5826,5837,5791,=AVERAGE(I17:L17),
3,298.144,296.8,295.344,294.672,1184.96,11.2826,16.0051,5799,5841,5848,5846,=AVERAGE(I18:L18),
3.1,295.68,297.36,293.776,294.112,1180.93,10.8871,16.0676,5806,5794,5827,5842,=AVERAGE(I19:L19),
3.2,293.776,293.216,295.904,298.48,1181.38,10.4728,16.1237,5853,5832,5829,5815,=AVERAGE(I20:L20),
3.3,294.672,297.248,294.896,296.128,1182.94,10.0394,16.1731,5839,5821,5803,5817,=AVERAGE(I21:L21),
3.4,296.688,295.344,294.56,295.344,1181.94,9.58644,16.2156,5798,5825,5845,5839,=AVERAGE(I22:L22),
3.5,293.888,296.24,294.448,295.008,1179.58,9.11346,16.2511,5832,5827,5825,5817,=AVERAGE(I23:L23),
3.6,295.792,294.896,294.336,293.888,1178.91,8.62005,16.2793,5804,5813,5875,5862,=AVERAGE(I24:L24),
3.7,297.92,297.808,297.248,297.472,1190.45,8.1058,16.2999,5824,5856,5833,5842,=AVERAGE(I25:L25),
3.8,298.032,295.792,298.592,296.912,1189.33,7.57031,16.3127,5849,5811,5835,5818,=AVERAGE(I26:L26),
3.9,293.888,295.232,293.776,295.68,1178.58,7.01306,16.3175,5829,5864,5834,5820,=AVERAGE(I27:L27),
4,294,291.984,291.424,297.36,1174.77,6.43364,16.3141,5844,5826,5843,5808,=AVERAGE(I28:L28),
4.1,292.208,286.832,292.208,285.712,1156.96,5.83174,16.3021,5809,5757,5810,5751,=AVERAGE(I29:L29),
4.2,20.16,28.784,23.072,29.344,101.36,7.23397,13.572,6599,6760,6575,7033,=AVERAGE(I30:L30),
4.3,298.144,291.2,280.224,285.04,1154.61,7.24924,13.572,17129,17576,18565,18051,=AVERAGE(I31:L31),
4.4,294.336,294.224,295.008,293.776,1177.34,7.98101,13.297,5999,6043,5999,6016,=AVERAGE(I32:L32),
4.5,298.144,294.896,294.672,294,1181.71,8.70792,13.0061,5818,5827,5863,5854,=AVERAGE(I33:L33),
4.6,294.448,294.448,297.248,298.144,1184.29,9.41411,12.6989,5845,5832,5816,5811,=AVERAGE(I34:L34),
4.7,294.784,296.24,296.128,294,1181.15,10.0992,12.375,5830,5818,5790,5808,=AVERAGE(I35:L35),
4.8,296.688,294,295.568,293.552,1179.81,10.7627,12.034,5820,5829,5864,5854,=AVERAGE(I36:L36),
4.9,296.576,295.904,293.888,294.448,1180.82,11.4041,11.6755,5809,5823,5816,5845,=AVERAGE(I37:L37),
5,294.56,296.912,292.544,297.136,1181.15,12.0229,11.2991,5831,5817,5838,5809,=AVERAGE(I38:L38),
5.1,295.344,293.44,295.904,294,1178.69,12.6187,10.9044,5830,5840,5841,5830,=AVERAGE(I39:L39),
5.2,295.12,296.24,295.456,298.48,1185.3,13.1911,10.491,5830,5810,5802,5802,=AVERAGE(I40:L40),
5.3,293.552,296.352,296.464,293.552,1179.92,13.7397,10.0584,5867,5811,5840,5828,=AVERAGE(I41:L41),
5.4,297.808,293.888,296.24,294.448,1182.38,14.264,9.60634,5807,5848,5805,5872,=AVERAGE(I42:L42),
5.5,294.448,293.776,295.344,295.568,1179.14,14.7636,9.13424,5847,5857,5847,5844,=AVERAGE(I43:L43),
5.6,295.792,297.136,294.784,297.024,1184.74,15.2382,8.64172,5821,5796,5816,5817,=AVERAGE(I44:L44),
5.7,297.36,293.664,295.008,293.104,1179.14,15.6873,8.12833,5837,5841,5787,5821,=AVERAGE(I45:L45),
5.8,295.008,297.696,293.776,297.472,1183.95,16.1108,7.59373,5807,5781,5881,5801,=AVERAGE(I46:L46),
5.9,292.88,294.784,295.12,295.008,1177.79,16.5081,7.03743,5864,5834,5816,5854,=AVERAGE(I47:L47),
6,294.448,297.36,296.8,294,1182.61,16.8791,6.45904,5845,5814,5837,5829,=AVERAGE(I48:L48),
6.1,18.592,18.368,18.256,18.816,74.032,18.4098,5.81411,5618,5617,5638,6349,=AVERAGE(I49:L49),
6.2,258.272,254.912,243.6,247.968,1004.75,17.8145,7.67852,20722,21165,22428,21844,=AVERAGE(I50:L50),
6.3,298.144,295.232,293.776,295.232,1182.38,17.5229,8.41364,5777,5828,5860,5855,=AVERAGE(I51:L51),
6.4,294,294,296.912,297.92,1182.83,17.2041,9.12836,5871,5838,5788,5828,=AVERAGE(I52:L52),
6.5,297.024,295.232,292.992,296.576,1181.82,16.8582,9.82217,5800,5809,5837,5790,=AVERAGE(I53:L53),
6.6,295.008,295.12,293.104,296.464,1179.7,16.4858,10.4945,5862,5875,5855,5805,=AVERAGE(I54:L54),
6.7,294.112,295.008,295.68,296.464,1181.26,16.0869,11.1449,5832,5847,5831,5873,=AVERAGE(I55:L55),
6.8,296.128,293.328,296.464,293.44,1179.36,15.662,11.773,5859,5815,5854,5837,=AVERAGE(I56:L56),
6.9,296.576,295.12,294.672,294.672,1181.04,15.2113,12.3783,5782,5843,5822,5812,=AVERAGE(I57:L57),
7,294.336,294,295.456,299.376,1183.17,14.7352,12.9603,5856,5868,5796,5796,=AVERAGE(I58:L58),
7.1,297.584,294.672,297.248,294.112,1183.62,14.2342,13.5187,5785,5791,5826,5863,=AVERAGE(I59:L59),
7.2,293.216,295.456,296.8,293.888,1179.36,13.7085,14.0529,5859,5822,5799,5839,=AVERAGE(I60:L60),
7.3,298.704,295.232,294.336,297.248,1185.52,13.1585,14.5626,5793,5797,5823,5767,=AVERAGE(I61:L61),
7.4,294,296.128,295.904,294.336,1180.37,12.5847,15.0475,5816,5832,5802,5848,=AVERAGE(I62:L62),
7.5,293.664,295.12,294.896,296.912,1180.59,11.9876,15.5071,5852,5808,5834,5831,=AVERAGE(I63:L63),
7.6,295.344,293.44,297.248,295.456,1181.49,11.3674,15.9411,5835,5901,5817,5806,=AVERAGE(I64:L64),
7.7,293.328,294.896,294,297.248,1179.47,10.7248,16.3491,5871,5826,5848,5848,=AVERAGE(I65:L65),
7.8,295.12,293.776,295.008,295.68,1179.58,10.06,16.7308,5857,5804,5830,5825,=AVERAGE(I66:L66),
7.9,296.8,294.896,298.144,295.008,1184.85,9.37372,17.0861,5780,5848,5817,5803,=AVERAGE(I67:L67),
8,298.816,299.04,298.592,299.376,1195.82,8.66629,17.4143,5827,5776,5798,5792,=AVERAGE(I68:L68),
8.1,295.904,295.344,295.232,297.36,1183.84,7.93818,17.7156,5803,5812,5835,5832,=AVERAGE(I69:L69),
8.2,296.576,294.784,293.664,297.584,1182.61,7.19003,17.9894,5851,5858,5814,5814,=AVERAGE(I70:L70),
8.3,293.888,295.456,292.432,295.008,1176.78,6.42214,18.2356,5831,5843,5793,5791,=AVERAGE(I71:L71),
8.4,17.696,18.032,21.616,21.28,78.624,7.03269,16.5113,5249,6364,6384,6378,=AVERAGE(I72:L72),
8.5,255.248,250.208,244.944,237.888,988.288,7.58918,16.1142,21024,21464,22183,22919,=AVERAGE(I73:L73),
8.6,296.912,295.456,294,299.6,1185.97,7.60002,16.1142,5797,5807,5898,5772,=AVERAGE(I74:L74),
8.7,292.544,294,295.68,295.568,1177.79,8.12401,15.691,5904,5851,5813,5806,=AVERAGE(I75:L75),
8.8,295.904,294.896,292.88,295.344,1179.02,8.6375,15.242,5823,5833,5854,5854,=AVERAGE(I76:L76),
8.9,294.112,295.232,294.448,296.24,1180.03,9.13021,14.7676,5799,5814,5838,5836,=AVERAGE(I77:L77),
9,294.448,297.472,296.8,294.784,1183.5,9.60246,14.2682,5852,5799,5752,5812,=AVERAGE(I78:L78),
9.1,296.464,294.672,293.328,297.024,1181.49,10.0548,13.7441,5838,5845,5867,5798,=AVERAGE(I79:L79),
9.2,293.552,295.456,294.112,296.912,1180.03,10.4875,13.1958,5888,5829,5851,5778,=AVERAGE(I80:L80),
9.3,296.464,295.68,293.776,297.472,1183.39,10.9011,12.6236,5803,5811,5832,5833,=AVERAGE(I81:L81),
9.4,295.68,294.784,294.336,297.136,1181.94,11.2959,12.0279,5784,5868,5816,5815,=AVERAGE(I82:L82),
9.5,293.664,294.336,296.128,292.544,1176.67,11.6725,11.4093,5838,5851,5802,5786,=AVERAGE(I83:L83),
9.6,298.368,294.896,293.552,295.344,1182.16,12.0311,10.7681,5832,5836,5856,5853,=AVERAGE(I84:L84),
9.7,292.432,293.552,296.128,297.024,1179.14,12.3722,10.1048,5804,5817,5767,5762,=AVERAGE(I85:L85),
9.8,295.568,294.672,293.664,295.68,1179.58,12.6963,9.41993,5874,5803,5823,5900,=AVERAGE(I86:L86),
9.9,294.56,293.664,295.232,296.576,1180.03,13.0036,8.71385,5859,5867,5892,5807,=AVERAGE(I87:L87),
10,294.56,295.904,294.56,298.256,1183.28,13.2946,7.98716,5845,5775,5876,5795,=AVERAGE(I88:L88),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(F7:F88)
