Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,16.1833,10.8819,0,0,0,0,0,0,=AVERAGE(K2:P2),
1.5,57.232,43.12,28.56,28.56,28.56,28.56,214.592,16.1833,10.8819,59102,63711,73834,74436,76938,77487,=AVERAGE(K3:P3),
1.6,120.064,134.288,312.592,305.312,402.64,382.592,1657.49,16.1833,10.8819,12608,16856,18520,19366,17779,18787,=AVERAGE(K4:P4),
1.7,101.92,99.12,303.856,299.488,442.736,448.224,1695.34,16.1833,10.8819,7579,7427,7710,7746,8000,8032,=AVERAGE(K5:P5),
1.8,98.224,100.464,296.688,300.832,463.68,447.664,1707.55,16.1833,10.8819,7457,7574,7630,7777,7815,7952,=AVERAGE(K6:P6),
1.9,100.576,100.24,306.32,299.712,441.952,455.056,1703.86,16.1833,10.8819,7468,7422,7632,7788,8015,7900,=AVERAGE(K7:P7),
2,100.8,98.784,297.36,300.608,451.696,447.44,1696.69,16.3097,11.7278,7503,7557,7621,7905,7906,7997,=AVERAGE(K8:P8),
2.1,98.672,100.016,296.688,300.048,455.504,448.336,1699.26,15.9825,13.4635,7491,7444,7798,7810,7962,8086,=AVERAGE(K9:P9),
2.2,99.904,100.688,303.632,297.584,440.832,456.288,1698.93,14.5863,14.9015,7201,7309,7639,7542,8075,8021,=AVERAGE(K10:P10),
2.3,100.912,100.576,301.728,304.528,450.912,440.72,1699.38,11.792,15.9099,7262,7389,7699,7716,7902,7944,=AVERAGE(K11:P11),
2.4,86.8,86.016,259.84,262.528,403.76,394.912,1493.86,6.59815,16.3159,7241,7373,7749,7894,7665,7860,=AVERAGE(K12:P12),
2.5,0,0,0,0,0,0,0,6.87199,13.6971,0,0,0,0,0,0,=AVERAGE(K13:P13),
2.6,117.712,116.032,210.896,213.808,286.16,304.08,1248.69,16.9445,6.35813,55593,57073,41388,41383,33919,31866,=AVERAGE(K14:P14),
2.7,113.232,111.328,198.464,180.656,239.344,258.944,1101.97,18.0955,6.87199,28014,32012,28071,30755,25312,23810,=AVERAGE(K15:P15),
2.8,74.256,77.392,233.408,226.464,349.552,353.808,1314.88,6.77727,18.126,7616,7497,7903,7874,7782,8082,=AVERAGE(K16:P16),
2.9,0,0,0,0,0,0,0,6.39803,16.9157,0,0,0,0,0,0,=AVERAGE(K17:P17),
3,117.264,109.312,209.216,213.808,295.792,282.464,1227.86,13.7423,6.74595,70698,76702,49809,48468,37863,38884,=AVERAGE(K18:P18),
3.1,0,0,0,0,0,0,0,16.3136,6.39803,0,0,0,0,0,0,=AVERAGE(K19:P19),
3.2,146.608,141.904,292.096,306.544,393.232,420.224,1700.61,13.815,15.7737,47968,50104,32881,31376,27053,25373,=AVERAGE(K20:P20),
3.3,100.352,99.12,299.376,301.84,447.328,447.888,1695.9,12.0224,16.3173,7460,7156,7636,7486,7998,7943,=AVERAGE(K21:P21),
3.4,101.696,100.016,303.968,302.064,459.2,441.728,1708.67,11.8397,16.315,7543,7308,7590,7650,7802,8127,=AVERAGE(K22:P22),
3.5,99.568,101.584,298.816,301.504,443.408,452.032,1696.91,11.6551,16.3046,7400,7370,7591,7649,8003,7998,=AVERAGE(K23:P23),
3.6,99.232,99.232,295.792,301.168,450.576,452.48,1698.48,11.4685,16.2864,7525,7439,7693,7598,7845,7862,=AVERAGE(K24:P24),
3.7,99.792,97.776,298.144,287.392,455.616,445.2,1683.92,11.28,16.2605,7236,7476,7663,7516,7888,7888,=AVERAGE(K25:P25),
3.8,99.008,98.896,296.464,305.088,457.632,447.216,1704.3,11.2554,16.2566,7120,7122,7570,7478,7799,7729,=AVERAGE(K26:P26),
3.9,98,99.792,295.456,297.92,452.256,453.152,1696.58,11.2554,16.2566,7350,7214,7641,7571,7753,8065,=AVERAGE(K27:P27),
4,98.112,97.776,304.864,298.816,430.752,434,1664.32,11.2554,16.2566,7305,7381,7672,7682,7820,7858,=AVERAGE(K28:P28),
1.9s-End_Avg_Tput(Mbps),=AVERAGE(H7:H28)
