Time [s],User1_Tput(Mbps),User2_Tput(Mbps),User3_Tput(Mbps),User4_Tput(Mbps),User5_Tput(Mbps),User6_Tput(Mbps),User7_Tput(Mbps),User8_Tput(Mbps),Total_Tput(Mbps),STA1-SNR(dB),STA2-SNR(dB),User1_latency(µs),User2_latency(µs),User3_latency(µs),User4_latency(µs),User5_latency(µs),User6_latency(µs),User7_latency(µs),User8_latency(µs),Avg_latency(µs),
1.4,0,0,0,0,0,0,0,0,0,14.394,15.0139,0,0,0,0,0,0,0,0,=AVERAGE(M2:T2),
1.5,42,57.232,28.56,28.56,28.56,28.56,28.56,28.56,270.592,14.394,15.0139,73684,57037,73881,74509,75095,75726,76259,76790,=AVERAGE(M3:T3),
1.6,224.784,210.896,231.168,223.888,225.008,223.664,210.56,198.912,1748.88,14.394,15.0139,9743,9172,13844,14618,14935,15026,15879,16419,=AVERAGE(M4:T4),
1.7,219.856,229.824,230.832,226.576,224.224,219.856,230.272,226.688,1808.13,14.394,15.0139,10017,9896,9743,9641,9846,9808,9568,9329,=AVERAGE(M5:T5),
1.8,231.392,215.152,224.784,228.368,222.432,221.872,220.08,239.68,1803.76,14.394,15.0139,9719,9791,9885,9878,10400,9979,9881,9636,=AVERAGE(M6:T6),
1.9,221.2,229.712,227.584,224.672,231.168,232.064,221.984,219.856,1808.24,14.394,15.0139,9475,9887,9990,9589,10152,10108,9997,10143,=AVERAGE(M7:T7),
2,226.576,224.672,222.768,228.816,216.384,222.32,229.712,221.648,1792.9,14.2957,15.0676,9979,10356,10425,9617,10150,10103,9942,10215,=AVERAGE(M8:T8),
2.1,224.224,226.912,230.72,225.12,229.712,221.2,225.904,228.144,1811.94,14.0655,15.1842,10241,10288,10064,10135,10145,10435,10375,9813,=AVERAGE(M9:T9),
2.2,221.424,229.824,222.992,222.208,221.312,221.312,228.48,224,1791.55,13.8206,15.2962,10233,10251,9867,9877,10080,10092,10182,9741,=AVERAGE(M10:T10),
2.3,229.824,220.976,231.168,223.888,220.752,226.8,219.072,225.68,1798.16,13.5605,15.4034,10279,10080,9917,10399,10482,9925,10380,10227,=AVERAGE(M11:T11),
2.4,213.808,228.928,219.072,224.896,234.528,225.12,227.696,229.824,1803.87,13.2848,15.5056,10338,10318,10365,10173,10200,10200,9745,9800,=AVERAGE(M12:T12),
2.5,225.12,222.096,226.8,224.224,219.408,222.768,222.432,228.256,1791.1,12.9932,15.6027,10077,10410,10273,10284,9656,10005,10276,10399,=AVERAGE(M13:T13),
2.6,224.896,234.304,219.744,233.968,223.216,234.304,224.784,216.944,1812.16,12.6853,15.6945,10346,9678,9960,9972,10130,9970,9853,10091,=AVERAGE(M14:T14),
2.7,230.608,220.976,238,228.368,219.632,216.272,227.36,225.344,1806.56,12.3607,15.7808,9873,9585,9905,9794,10102,9950,10055,9813,=AVERAGE(M15:T15),
2.8,210.784,227.36,217.392,220.416,235.536,232.176,229.152,226.688,1799.5,12.019,15.8615,10248,9924,9990,9919,9663,9857,9834,10028,=AVERAGE(M16:T16),
2.9,226.016,222.208,234.08,221.2,223.664,219.184,212.464,231.616,1790.43,11.6597,15.9363,9601,10117,10269,10166,9690,9996,9848,9597,=AVERAGE(M17:T17),
3,226.8,231.504,214.928,222.32,227.696,224.224,227.36,221.2,1796.03,11.2825,16.0051,10178,10086,10128,10219,10072,10100,10166,9982,=AVERAGE(M18:T18),
3.1,226.912,226.8,231.28,234.752,218.736,224.896,222.32,229.488,1815.18,10.8871,16.0676,10168,10035,10228,10138,10210,9794,9681,10415,=AVERAGE(M19:T19),
3.2,230.832,220.528,230.384,218.96,230.16,225.456,228.368,228.592,1813.28,10.4728,16.1237,9715,10186,9996,10212,9808,9844,10081,10003,=AVERAGE(M20:T20),
3.3,230.72,232.848,222.656,232.176,216.72,220.08,223.44,228.928,1807.57,10.0394,16.1731,10014,10065,10314,10180,10440,10495,10426,9871,=AVERAGE(M21:T21),
3.4,220.528,214.816,226.352,221.536,229.264,231.952,229.712,219.968,1794.13,9.58645,16.2156,10392,10100,10312,10381,10177,10034,10301,10416,=AVERAGE(M22:T22),
3.5,227.248,233.184,223.664,224.336,229.488,217.392,225.12,225.792,1806.22,9.11347,16.2511,9853,10324,10201,9886,9993,10070,10379,10171,=AVERAGE(M23:T23),
3.6,221.424,224,215.712,227.696,223.328,231.616,222.544,225.12,1791.44,8.62007,16.2793,9946,10428,10066,9881,10192,9781,10422,10179,=AVERAGE(M24:T24),
3.7,222.88,221.088,238.784,225.568,217.168,223.664,218.848,218.96,1786.96,8.1058,16.2999,10134,9547,10448,9888,10287,9969,10364,10344,=AVERAGE(M25:T25),
3.8,231.504,226.24,219.52,216.384,228.704,223.664,228.928,223.104,1798.05,7.57028,16.3127,10268,10287,9885,10152,9976,10070,10461,10275,=AVERAGE(M26:T26),
3.9,226.24,215.488,218.288,234.416,219.52,219.632,229.264,229.152,1792,7.01304,16.3175,10211,10199,10366,9871,9959,9864,10416,10371,=AVERAGE(M27:T27),
4,227.92,242.144,217.952,213.584,227.696,225.792,229.6,224,1808.69,6.43368,16.3141,9688,10280,10320,9769,10547,10523,9557,10419,=AVERAGE(M28:T28),
4.1,225.456,214.816,229.152,228.816,229.936,227.472,214.256,226.688,1796.59,5.8317,16.3021,10003,9785,10440,10406,10363,10210,9849,10224,=AVERAGE(M29:T29),
4.2,7.392,25.2,18.592,19.376,23.52,21.28,33.488,30.24,179.088,7.23402,13.572,7289,11442,13133,12943,12614,13045,11844,13526,=AVERAGE(M30:T30),
4.3,236.88,224.56,233.072,232.624,211.568,219.968,204.064,203.056,1765.79,7.24913,13.572,23556,25112,24414,24338,25863,25801,26930,27061,=AVERAGE(M31:T31),
4.4,216.496,225.456,218.4,227.584,232.736,228.928,218.96,229.488,1798.05,7.99586,13.297,9955,10245,10246,10141,10191,9980,10070,10000,=AVERAGE(M32:T32),
4.5,223.664,219.744,229.936,218.288,217.728,211.904,223.328,225.232,1769.82,8.70795,13.0061,10241,10048,10029,10281,10266,10178,10249,10069,=AVERAGE(M33:T33),
